gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.1301143;-0.65935266;-0.14676037;-34.38;-4.02;-35.399998;4.024653;1.5586253;7.889194;
-0.56016344;-0.7729736;-0.47112983;-34.62;-5.2799997;-35.76;5.1334677;1.0342951;7.166145;
-0.58276546;-0.67951125;-0.57864213;-36.18;-5.58;-34.559998;7.343316;1.4053963;7.0177045;
-0.9816604;-1.1498774;-1.0728321;-37.5;-6.12;-33.42;6.905177;1.4532804;6.9722147;
-0.7800749;-1.0417544;-0.99036527;-38.82;-7.56;-31.619999;10.846033;0.9696517;8.77026;
-0.90408057;-1.5756506;-1.7252362;-39.719997;-8.4;-30.179998;12.378322;2.1021092;7.1278377;
-1.4471397;-1.2341769;-2.7276661;-39.96;-11.639999;-28.38;11.578659;1.5682021;8.109461;
-0.8576548;-0.9220247;-2.441781;-39.12;-15.42;-26.939999;10.561123;1.0271125;7.3624697;
-0.002443461;-1.4314864;-2.2707388;-38.04;-19.74;-26.279999;11.885117;3.4165258;5.6673746;
-0.5681047;-1.8878027;-2.5975518;-34.14;-23.1;-24.24;11.640908;3.5098996;7.4462667;
-0.05375614;-1.8700876;-2.7246118;-32.28;-26.82;-25.14;10.728717;3.6607344;10.620978;
0.15210545;-1.6562848;-2.8602238;-31.32;-32.88;-24.3;10.388741;5.255572;10.185233;
0.15210545;-0.93729633;-3.2664492;-28.8;-38.34;-18.48;9.299378;5.868488;9.598654;
0.67073005;-1.1266646;-3.339142;-22.5;-42.54;-15.36;7.6952634;5.3680997;9.440637;
1.1404854;-1.0631346;-3.0196595;-15.48;-44.879997;-11.759999;7.982568;7.108684;9.22037;
0.86620694;-1.143158;-3.6018143;-8.16;-46.26;-9.42;6.083966;7.522881;5.9235544;
0.63224554;-1.1358275;-3.303712;-1.14;-46.8;-7.62;3.8618474;5.815815;7.570765;
1.0323622;0.40049854;-2.6158776;8.04;-45.719997;-4.98;2.2409728;6.6657567;7.690475;
0.7360926;1.1677452;-2.5798366;12.719999;-44.94;-3.1799998;1.5945383;7.826945;5.040094;
0.784351;1.59474;-2.8254044;19.8;-41.579998;0.24;0.5386954;7.340922;4.6232033;
0.3378085;1.7590629;-2.5608997;24.6;-38.64;3.54;-1.412579;6.2587423;4.343082;
0.711658;2.2214878;-2.3257167;27.779999;-34.68;7.5;-1.2761095;5.928343;3.107674;
0.22296582;2.5281422;-2.3660338;30.3;-30.72;12.059999;-1.5155296;5.6793456;1.9369092;
0.03970624;2.77371;-2.1241312;30.539999;-26.88;16.38;-2.6839;4.759673;1.0366893;
0.71837753;2.9881237;-2.2634084;30.539999;-24.6;20.34;-2.3654714;4.7022123;1.9177556;
-0.1423316;2.77371;-1.9610301;28.439999;-19.8;27.9;-2.1859062;4.697424;-2.3535004;
-0.19486602;2.9032135;-1.667204;24.6;-18.0;30.96;-0.79966336;4.5298295;-0.63206923;
-0.4251622;3.1646638;-1.4607315;20.16;-16.859999;34.92;-1.7262194;3.0621839;-3.9193082;
