gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.25411993;-0.049098294;-0.012370021;-19.8;3.6599998;-40.739998;7.1254435;2.566584;6.265925;
-0.18020524;9.92656E-4;0.007788532;-20.699999;3.84;-41.28;6.833351;2.2744915;5.885247;
-0.07696902;-0.15172365;0.1611157;-20.52;3.4199998;-40.86;7.712023;2.408567;6.512528;
-0.59742624;-0.081474155;-0.013591751;-20.82;5.46;-40.92;8.41113;2.7700913;4.5322237;
-0.16126843;-0.9739483;-0.4992296;-22.14;5.1;-41.64;11.497256;4.1683054;2.791639;
-1.4966198;-0.9788352;-1.513266;-23.4;5.4;-39.899998;12.316072;3.217807;0.4333505;
-1.187522;-1.9311742;-1.5419766;-25.619999;5.58;-38.219997;12.505215;2.9831753;1.1061212;
-1.1905763;-2.357558;-1.6849191;-30.179998;5.1;-35.28;13.721469;4.0677485;1.958457;
-1.4367551;-2.257987;-1.8327484;-32.76;3.9599998;-31.14;14.262559;4.414908;4.1515455;
-0.95233893;-2.0643427;-2.0520492;-36.96;1.9799999;-27.359999;14.047081;5.0472765;5.720047;
-0.35185838;-1.6966019;-2.6213756;-38.64;-1.3199999;-24.24;13.453319;6.467038;6.5891423;
0.27183503;-1.7656296;-3.498578;-40.079998;-7.02;-20.279999;12.8092785;8.901941;7.4103537;
0.2932153;-1.2531137;-3.847382;-38.879997;-12.84;-18.0;10.635344;8.602666;8.226776;
1.7330247;-2.1608593;-3.7771325;-36.899998;-22.26;-13.5;8.600272;8.447042;6.854899;
0.9211848;-0.9122509;-3.3800702;-32.64;-31.019999;-10.559999;5.1047373;8.971373;3.0214825;
1.0366384;-0.9140835;-3.3513594;-27.359999;-37.8;-6.42;6.16058;9.850045;4.357447;
0.4465425;-0.43944117;-3.2609513;-20.46;-43.86;-4.5;2.5737667;9.031228;4.630386;
1.1936307;1.2398274;-2.8009698;-13.139999;-47.7;-3.0;2.0901382;8.152556;5.4830213;
2.2791383;0.14393513;-2.9805644;-7.7999997;-49.379997;-0.06;0.9528923;8.090307;1.2258313;
0.5467244;0.6026949;-3.5944839;-0.48;-48.539997;4.14;0.6943185;7.5156984;-0.18914193;
0.6469063;-0.118126065;-3.9909353;7.9199996;-47.82;6.3599997;-0.9600749;4.8147397;0.18435353;
0.5821546;0.57581687;-3.2933273;16.74;-43.92;8.46;-3.0621839;4.036624;-1.0534488;
0.2706133;0.49457178;-2.8510609;22.619999;-40.98;11.4;-4.5418005;3.0334535;-3.0765493;
-0.9896017;1.5611424;-2.5499043;27.96;-36.84;13.679999;-4.8722005;2.2577322;-3.4955344;
-0.19303341;1.3100768;-2.4191792;30.779999;-33.3;15.0;-4.185065;2.255338;-2.3822308;
-0.6542367;2.2581398;-1.8284724;32.04;-30.24;17.34;-4.8219223;1.6352397;-4.355053;
-0.13561209;1.8390862;-1.802816;32.219997;-28.26;20.34;-2.3630772;2.5306711;-3.9336734;
-0.49296826;2.2563071;-1.5749633;32.399998;-26.16;22.08;-4.2544966;1.4915876;-5.2890906;
-0.14721853;2.1194732;-1.6403259;30.84;-24.72;26.16;-0.8834604;2.2888567;-6.390424;
-0.24984388;2.5397487;-1.5712981;29.699999;-22.98;28.92;-1.091756;1.4580688;-7.2451534;
-0.82833326;2.4224625;-1.7734945;28.619999;-21.359999;32.46;0.39025488;0.82599956;-7.012916;
-1.1557571;2.9013808;-1.4747814;24.539999;-20.1;34.559998;0.7182605;0.37828386;-6.5652003;
-1.3041973;2.9019916;-1.2243266;21.359999;-20.64;36.6;1.6591818;1.1133038;-8.178892;
-1.3628404;2.7449994;-1.8223637;17.82;-21.6;37.559998;5.504569;3.3662477;-11.035175;
-2.9975157;2.4444537;-1.8681786;14.7;-22.619999;39.239998;1.6783354;1.6927006;-11.370363;
-4.2229114;2.5977807;-1.3935363;11.4;-25.68;37.5;5.028123;3.1890767;-7.046435;
-3.753767;2.931924;-0.6892087;8.22;-31.859999;33.059998;3.6607344;2.9113493;-4.687847;
-2.9260445;2.6344328;-0.28420505;5.52;-37.14;27.84;5.018546;4.944326;-3.2561142;
