gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.5888741;-0.209145;-0.20906863;-28.56;-15.54;-33.18;4.06296;0.7134721;9.074324;
-0.35979962;-0.37468946;-0.29458976;-27.48;-15.179999;-34.02;4.2760444;0.02633622;9.548376;
-0.48075095;-0.38568506;-0.39599338;-26.939999;-15.719999;-34.38;4.333505;0.062249243;7.9298954;
-0.49602258;-0.5396231;-0.6232353;-28.14;-15.059999;-34.079998;5.2603602;0.31603462;7.994539;
-0.77579886;-0.5500078;-0.7502952;-26.22;-15.42;-34.38;5.3752823;0.5243302;8.765471;
-0.7770206;-0.36125043;-1.0386237;-27.599998;-13.98;-33.54;9.366416;1.1420342;9.948207;
-1.0842859;-0.37346774;-1.8235855;-25.859999;-13.92;-33.899998;9.68724;0.5530606;8.135797;
-0.5186246;-1.1810316;-2.7948613;-23.699999;-13.2;-33.36;11.593024;0.32561144;6.320992;
-1.2455542;-1.4424819;-3.0972395;-20.76;-10.44;-32.88;12.921805;0.51475334;5.7966614;
-1.0793989;-1.6159676;-3.339753;-19.8;-4.74;-33.0;12.768577;0.23463176;10.017639;
-0.6951646;-1.6666695;-3.4961345;-30.24;-6.12;-30.779999;14.044686;1.8435353;10.5084505;
-0.5235115;-1.6801085;-4.09295;-27.9;-15.78;-31.019999;12.991238;1.4915876;11.808502;
0.053145275;-1.6526196;-3.8088975;-22.92;-23.939999;-34.14;10.281001;1.4628572;14.104542;
0.883922;-1.5341117;-3.3745723;-17.279999;-29.76;-32.46;9.117419;2.815581;14.3295965;
1.0537425;-0.7870235;-3.3886223;-9.66;-32.52;-28.199999;7.723994;4.1156325;14.676756;
1.3158038;-0.14500414;-3.5541668;-4.7999997;-33.6;-27.18;5.257966;3.7972038;12.905046;
1.9095647;-0.0753655;-3.1803172;2.76;-34.8;-24.9;2.8275523;3.9815574;10.494085;
1.5509869;0.6307947;-3.0104966;9.3;-35.88;-21.779999;2.195483;4.9634795;8.205229;
1.251052;1.7865517;-2.7814221;15.9;-37.2;-19.56;1.496376;4.280833;9.021651;
1.8429805;1.626505;-2.8480065;21.0;-35.219997;-17.46;1.0127473;6.048053;4.934749;
0.88086766;1.6234508;-3.0874658;28.38;-32.94;-10.5;-1.6017209;4.4077253;3.964798;
0.9266826;2.3332763;-2.2866213;33.6;-30.42;-7.08;-2.6839;4.3837833;4.594473;
0.87109387;2.1970532;-2.1998785;36.96;-27.66;0.48;-3.2609026;5.430349;-0.18195933;
-0.06780604;2.5617397;-1.9579759;38.76;-23.76;5.7599998;-4.8362875;4.1491513;0.37828386;
-0.01160644;3.077921;-1.3031282;40.02;-20.699999;10.44;-4.261679;3.98874;0.6368576;
0.462425;2.8445704;-1.1815661;37.5;-18.42;17.64;-3.1004913;4.584896;-0.21547815;
0.17470746;2.9239829;-1.2554808;35.82;-16.199999;23.519999;-1.7142484;5.004181;-2.0159178;
0.4166101;2.4719427;-1.5670221;33.12;-13.5;30.66;-3.3087866;4.2425256;-2.4827871;
0.037873644;2.650926;-0.9469938;28.26;-12.12;35.7;-1.2593501;5.370494;-3.1962593;
-0.13927728;2.6185503;-0.9298896;21.779999;-9.42;40.26;-0.30406362;5.348946;-5.3441577;
-0.8753699;2.8580093;-0.93416566;18.06;-10.139999;42.6;0.18914193;4.7788267;-4.630386;
-1.2504412;2.8567877;-0.7130325;9.84;-10.2;44.879997;-0.093373865;4.2640734;-5.4040127;
-1.5632042;2.977739;-0.36483926;3.1799998;-13.259999;45.18;-0.8738836;4.268862;-4.345476;
-1.1667526;2.941087;0.27229318;-2.7;-15.599999;43.68;5.7751136;9.131784;-1.3215994;
-1.0928379;3.7627008;-1.0147998;-9.96;-19.38;40.32;5.7368064;8.377611;-7.4893622;
-2.403144;3.031495;-0.97387195;-16.199999;-21.06;37.26;4.0414124;6.1294556;-6.938696;
-1.8185458;2.655813;-0.57742035;-21.06;-26.46;31.859999;1.2401965;6.6011133;-5.7846904;
-2.5870142;1.9331595;-0.061850104;-24.779999;-29.039999;26.76;5.456685;7.8724346;-5.1813517;
-2.352442;1.6161203;0.40973786;-26.16;-32.7;20.16;4.1491513;7.343316;-0.3184288;
-2.1410828;1.0565678;0.3791946;-29.4;-34.62;15.12;6.5915365;8.27466;-5.68174;
-3.3835826;0.45791987;0.8257371;-30.119999;-35.52;7.14;4.525041;6.08636;1.5035586;
-2.0836613;-0.09063713;1.3125967;-31.14;-35.7;2.82;6.440702;7.1589622;0.39264908;
