gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.062308256;-0.617203;0.36270124;-43.5;-9.96;-23.1;6.9937625;1.9991584;4.209007;
-0.65057147;-0.80168426;0.1421789;-42.96;-9.96;-22.38;8.116643;1.6591818;5.5452704;
-0.16615535;-1.2812135;-0.6574437;-43.62;-8.5199995;-21.48;10.877157;2.9233203;5.6051254;
-1.1276573;-1.2952634;-1.1473577;-43.739998;-9.24;-20.64;8.676887;2.1547816;4.805163;
0.22113322;-1.7741817;-0.4980079;-44.46;-10.2;-17.699999;12.476484;4.31914;8.336909;
-0.55833083;-1.6568956;-1.300074;-45.12;-11.5199995;-14.58;13.405435;6.0097456;3.8259344;
-0.55771995;-1.3594042;-1.8553505;-44.16;-13.38;-13.32;14.10933;6.1031194;7.25473;
0.045814894;-2.0985513;-2.5205827;-43.5;-14.639999;-13.74;12.87871;5.758354;6.2395887;
-0.3549127;-1.7308103;-2.6433666;-44.46;-20.64;-16.08;12.572252;4.345476;8.2315645;
0.2846632;-1.509677;-2.6525297;-43.559998;-29.64;-11.46;12.2442465;5.1765633;9.735124;
0.45814893;-1.1162798;-2.8938215;-37.32;-34.92;-5.2799997;10.910676;7.0560117;7.4342957;
0.8472701;-0.9189704;-3.5016322;-29.34;-37.32;-1.8;11.40867;7.367258;9.390358;
0.83260936;-0.09002627;-3.3959527;-21.119999;-39.0;0.65999997;7.1972694;6.122273;7.764695;
1.3634512;0.19402607;-2.8742738;-13.38;-40.32;4.74;5.3800707;6.148609;8.391976;
1.568091;0.39622247;-2.823572;-6.96;-39.36;6.48;5.174169;7.264307;6.392818;
1.0757337;1.0156398;-3.0508137;0.06;-38.82;10.32;3.1387985;6.6992755;4.9132013;
1.0464121;1.4695127;-2.9072604;7.14;-36.42;15.9;0.9744401;5.9714384;3.6990416;
1.1264355;1.617953;-2.6293168;11.759999;-33.719997;17.52;0.7517793;6.0696006;2.7365725;
0.36285394;2.0785453;-2.7521007;15.42;-30.0;22.439999;-0.23702596;5.588366;1.6232687;
0.68661255;2.4768295;-2.4179573;16.98;-25.68;27.359999;-1.316811;5.0257287;1.2473791;
0.086132;2.4719427;-2.4204009;17.94;-22.38;31.32;-1.5945383;4.220978;-1.0654198;
-0.1563815;3.0259974;-1.6543758;17.64;-19.5;34.92;-3.4859576;2.5594015;0.7086837;
0.82894415;2.5513551;-0.905455;14.7;-17.699999;38.82;-0.7326257;3.775656;-1.3742718;
0.16493362;3.1115184;-0.9274462;10.8;-16.5;42.0;-0.21547815;3.7181952;-2.540248;
1.2632693;2.206216;-1.0477866;4.56;-15.059999;44.1;-0.50996494;4.7189717;-6.004957;
0.10262536;2.5770113;-0.8388707;0.96;-14.219999;45.96;1.2234371;5.9379196;-7.0799537;
-0.8594874;2.3125067;-1.0355693;-3.84;-14.4;46.26;-0.92895025;4.197036;-5.4758387;
-0.3921755;2.5672376;-0.90117896;-7.98;-15.78;45.899998;1.6639702;5.2866964;-7.678504;
-0.34391713;2.5721245;-0.4662429;-12.12;-17.1;44.46;1.99437;5.028123;-4.8578353;
-0.44104472;2.5000424;-0.474795;-18.6;-17.64;43.5;2.243367;4.4364557;-6.335357;
-0.44226643;2.9795716;-0.13087788;-23.699999;-18.72;40.8;2.8562827;3.7325604;-6.5292873;
-0.4831944;2.6264915;0.094531395;-29.58;-19.68;37.44;3.6056678;5.1933227;-7.237971;
-0.9450085;2.9936216;0.01817324;-32.94;-19.619999;35.04;4.381389;5.650615;-9.565135;
-1.8362609;1.91239;-0.23900102;-37.68;-21.06;29.16;4.0940847;5.102343;-7.680898;
-2.8130345;2.2007184;0.12996158;-36.899998;-24.24;21.66;4.817134;5.18614;-5.174169;
-2.3793201;1.2306644;0.5459608;-39.48;-26.76;15.12;6.143821;5.432743;-3.2561142;
-2.9077187;1.1988994;0.89476484;-41.579998;-27.18;8.639999;6.9458785;5.4495025;-1.8602947;
-2.2192733;0.7755698;1.4982997;-43.92;-26.099998;2.76;8.41113;6.751948;-0.1604115;
-4.491081;1.0101421;1.4317154;-42.3;-24.24;-5.16;9.1629095;6.6513915;0.90261406;
-2.525317;0.37056613;1.6003143;-44.219997;-19.56;-10.679999;10.247482;6.2635307;6.383241;
-1.7128662;-0.41378483;1.4677565;-45.84;-13.139999;-14.28;12.780548;9.057565;-2.0015526;
-4.6621237;-0.15661058;0.2209805;-47.16;-10.26;-15.12;11.224317;5.5692124;3.7565024;
-3.563788;-0.7925213;0.0016798794;-48.18;-4.62;-16.38;10.163686;4.453215;7.901165;
-3.4153476;-0.13156511;-0.3623958;-47.94;-2.22;-16.74;10.053553;4.283227;8.904335;
-2.2944098;-0.31604642;-0.56337047;-48.66;0.71999997;-17.82;9.885958;2.8682537;10.805331;
-1.9071213;-0.14439327;-0.8718574;-47.16;3.4199998;-15.42;8.662521;3.3039982;9.000103;
-2.5076017;0.07307476;-1.2127203;-47.399998;2.58;-15.179999;5.5811834;1.9416976;8.849269;
-1.0317514;-0.29894218;-0.6910413;-47.34;2.76;-15.719999;6.2467713;2.0925324;10.005669;
-0.7788532;-0.426613;-0.4821254;-47.64;2.46;-15.179999;4.829105;1.9369092;8.619426;
-0.1777618;-0.27206412;-0.22800545;-47.76;1.14;-15.0;6.1055136;2.5737667;7.3624697;
0.20463985;0.25328;-0.27565295;-46.98;1.14;-13.679999;6.9363017;2.0470424;9.574712;
0.014049901;0.29115364;-0.12782355;-48.42;0.12;-14.34;6.148609;3.0262709;5.873276;
-0.32559118;-0.18348865;-0.25610524;-48.36;0.78;-14.759999;6.9602437;2.6743233;6.9674263;
-0.18142697;0.07490735;-0.26282477;-47.16;-0.78;-14.4;6.455067;2.2720973;6.8740525;
-0.09590584;0.003436117;-0.16691893;-48.239998;-0.53999996;-14.5199995;6.8596873;2.2457612;6.8165917;
-0.05009095;0.047418416;-0.12782355;-47.94;-0.12;-15.36;6.634632;2.0470424;6.6657567;
0.13927728;0.05719226;-0.0025961774;-46.739998;-0.78;-14.5199995;7.0991073;2.1763294;7.0655885;
0.1777618;-0.013057245;0.16783522;-46.68;-1.4399999;-15.66;6.998551;2.2337902;6.8046207;
0.2510656;0.16959146;0.23075435;-47.219997;-0.71999997;-15.24;6.9003887;2.2409728;7.0631943;
0.36835176;0.3308599;0.55573463;-48.0;-0.17999999;-15.059999;5.281908;1.946486;7.0536175;
1.1533136;0.23861924;0.7652614;-47.46;0.71999997;-15.24;7.230788;2.6001031;9.074324;
