gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.17287487;-0.2616794;0.09025534;-13.92;-18.96;-35.7;6.088754;2.1787236;7.5659766;
-0.7171558;-0.4760931;-0.61468315;-12.78;-18.96;-35.94;7.0631943;2.1811178;6.136638;
-0.66889745;-1.1688143;-0.57864213;-12.719999;-18.42;-35.76;7.573159;1.733402;6.1390324;
-1.2620476;-1.8157206;-1.0758864;-15.36;-18.3;-36.36;15.254058;4.3646297;-0.7302315;
-5.915008;-1.6575065;-3.6097555;-17.279999;-16.619999;-37.26;15.270817;1.0510546;0.12928689;
-0.61636305;-1.7601318;-2.4955373;-18.18;-13.92;-41.82;16.580446;2.540248;13.185168;
-0.3371976;-2.644054;-2.4759896;-20.76;-15.839999;-41.64;16.38412;5.1430445;2.5115175;
-0.9419542;-3.2659147;-3.4283285;-24.84;-17.039999;-39.66;21.287445;4.185065;6.9363017;
-0.2510656;-2.738738;-3.55661;-27.359999;-20.76;-38.34;14.437336;2.6408045;14.166791;
0.9101892;-1.2512811;-3.512017;-28.32;-26.519999;-35.46;15.895703;6.136638;10.027216;
0.61941737;-1.0643563;-4.332409;-27.42;-31.56;-31.8;14.30326;5.7751136;9.809343;
0.44959682;-0.3386484;-4.6390634;-23.46;-36.6;-29.039999;11.573871;4.5274353;9.450213;
1.4709635;-0.05642868;-5.3702693;-15.78;-39.54;-28.38;10.869975;5.5452704;7.891588;
0.57726765;-0.58727056;-4.9878674;-9.42;-41.76;-25.38;3.8355112;5.480627;2.111686;
-0.54000485;-0.11690433;-4.419152;-2.76;-43.92;-24.06;1.8124107;5.346552;4.831499;
0.105068825;0.6466772;-3.588986;3.48;-43.92;-24.24;1.0342951;6.1414266;7.5994954;
-0.24801129;1.5800793;-3.2365167;12.179999;-44.7;-24.72;1.0965444;6.6873045;4.5633483;
-0.6249151;2.3595433;-3.2194126;19.74;-43.14;-24.779999;0.0047884034;4.721366;3.9001546;
-1.641395;3.0150018;-2.9878945;30.9;-37.14;-21.6;-1.1204864;4.1491513;-0.04309563;
-3.8918226;3.730325;-3.376405;39.48;-28.5;-17.22;-1.8483237;1.9991584;-1.1468226;
-3.730554;2.8934395;-2.0667098;44.28;-19.02;-11.46;-5.856517;-0.40701428;0.6536171;
-1.7892243;2.9630783;-0.56031615;47.16;-12.599999;-5.22;-2.9352913;1.9632454;2.432509;
-1.6328428;3.2336915;-0.17669277;46.8;-11.46;3.6;-1.0271125;3.9360676;-2.360683;
-1.6022996;3.7199402;-0.06307184;45.66;-11.46;11.46;-1.6424223;4.2640734;-0.8523358;
-0.9957104;4.115781;-0.10827587;42.12;-13.0199995;19.859999;0.8523358;4.7309427;-5.576395;
-1.5308284;3.5195765;-0.036193766;35.219997;-13.5;28.8;-0.6967127;5.0807953;-7.937078;
-2.2437081;2.9923997;0.16600263;28.92;-16.56;33.54;1.5346833;6.4502788;-6.7974377;
-2.7171285;3.131066;0.1348485;21.84;-22.08;36.48;0.91458505;6.3976064;-5.466262;
-2.8356364;2.451173;0.2875648;16.92;-25.56;36.899998;0.8858546;6.2707133;-4.4077253;
-4.3267584;2.6716955;0.49220467;10.26;-32.1;34.62;1.7022774;5.3776765;-3.6703112;
-4.1673226;1.5660294;0.6052147;4.7999997;-39.54;28.439999;3.040636;3.8307228;-0.581791;
-3.1789427;1.3833807;2.4732406;0.9;-45.96;20.76;4.0078936;6.098331;2.9257145;
-1.5815301;0.8824712;2.3742805;-5.52;-48.719997;14.58;7.0919247;10.257059;2.1404164;
-3.1948252;0.393779;3.088382;-11.94;-47.64;8.639999;7.4295073;9.330503;0.59615624;
-2.9480357;-0.17249307;1.7206547;-18.539999;-46.8;4.2599998;14.9068985;11.406276;-5.0975547;
-4.2913284;-1.4137713;1.9961549;-21.779999;-45.12;-1.38;8.734347;6.8979945;7.9418664;
-1.047023;-2.1663573;1.5282321;-25.619999;-43.2;-8.58;11.631331;7.984962;9.268254;
-2.0677788;-1.3868932;1.5074627;-30.3;-40.739998;-8.639999;10.199598;8.107066;3.454833;
-4.034154;-0.05215262;1.0377073;-32.399998;-36.6;-12.179999;11.286566;7.202058;8.300997;
-3.4397821;-0.88964885;-0.8223773;-32.7;-31.8;-17.1;7.8604636;4.795586;8.12622;
-3.5845573;-0.5267949;-0.54626626;-32.28;-26.88;-21.42;6.754342;2.9520507;13.352762;
-1.4782939;0.14760031;-1.2249376;-31.38;-23.279999;-24.24;9.842862;2.9951463;12.744635;
-1.8570304;0.021762075;-1.3263412;-30.66;-22.92;-24.66;6.3736644;2.0757728;8.664915;
-1.6316211;1.0785589;-1.3715452;-27.48;-23.22;-28.26;6.5891423;1.472434;9.493309;
-1.1148291;0.18364136;-1.2090551;-25.56;-23.46;-30.9;4.1706996;1.3431472;7.7096286;
-0.54611355;-0.43516514;-0.9958631;-24.66;-22.8;-31.14;6.5819597;0.82121116;8.933065;
-0.54428095;-0.2561816;-0.46929723;-23.22;-22.38;-31.8;3.727772;0.8882488;7.240365;
0.2761111;0.24533875;-0.66416323;-21.84;-23.34;-32.64;5.720047;2.89459;8.241141;
0.099571034;0.016875152;-0.023365596;-22.439999;-24.18;-32.1;5.4614735;4.369418;6.1653686;
0.2003638;0.10667235;0.19349156;-22.02;-24.42;-30.84;6.2348003;2.822764;7.879617;
0.6078109;0.37667477;0.45677447;-21.84;-23.699999;-31.5;5.3776765;1.2785037;7.6593504;
0.56321776;0.39011383;0.41706824;-22.02;-24.6;-30.539999;6.5891423;2.44448;6.438308;
0.03604105;0.57031906;0.15683965;-21.779999;-25.199999;-31.08;4.9778447;2.2960393;7.4319015;
0.7293731;0.7040986;0.61010164;-21.42;-24.9;-31.32;5.729624;2.5498247;10.453383;
