gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.024281893;-0.32146785;-0.383547;0.35999998;-23.34;-40.379997;1.6543933;2.171541;8.674492;
-0.66996646;0.6962337;-1.5356388;0.24;-23.4;-39.84;5.490204;2.9759927;10.122984;
-0.20082195;1.0737484;-2.0579286;1.9799999;-21.9;-40.44;2.8323407;3.3039982;11.976096;
0.49189925;1.7805195;-2.446439;4.2;-20.279999;-40.14;4.6040497;4.426879;13.108554;
1.0270172;0.33765575;-1.7793741;7.62;-19.8;-39.239998;0.8834604;4.5920787;13.046305;
2.3037255;-1.5163202;-0.71463597;10.5;-22.14;-37.62;-1.0510546;4.1036615;11.566688;
2.5804474;-2.3373232;-0.14042264;9.54;-28.26;-36.6;0.33758244;4.6351743;16.214132;
2.5651758;-1.761888;-1.0298425;9.24;-34.2;-33.18;2.078167;5.4734445;15.000272;
2.85045;-1.5529722;-1.12697;9.12;-36.96;-29.22;-1.2904748;3.8426938;14.521132;
3.09052;-1.562746;0.1259146;11.4;-39.54;-25.859999;-2.767697;3.9935284;11.971308;
3.0129402;-1.490053;0.30978504;9.54;-42.3;-20.939999;-0.4357447;6.6059017;10.927436;
2.7924178;-0.9421069;-0.051236324;8.94;-44.52;-15.059999;0.20350714;7.142203;10.09186;
2.709951;-0.4821254;-0.6156758;10.5;-46.26;-10.44;0.011971008;7.4079595;7.5300636;
2.578615;0.045662176;-0.7360163;12.42;-46.2;-5.46;-1.8435353;7.4797854;6.13185;
2.8687758;-0.055741455;-0.07506007;15.54;-46.02;-0.59999996;-1.0103531;8.071154;4.510676;
2.773481;0.22953261;-0.21616994;16.74;-46.079998;5.7;-0.15562311;9.270648;1.8794483;
2.7337747;0.33948836;-0.36766452;16.32;-44.399998;11.58;0.1412579;9.572318;1.5849615;
2.564565;0.8428413;-0.6822601;17.699999;-43.32;16.859999;-0.41180268;9.131784;0.5434838;
2.4882069;0.8801041;-0.67859495;16.98;-40.379997;22.8;-0.272939;8.14298;0.22744916;
2.4045184;1.4769194;-0.96631247;16.98;-37.44;28.439999;0.31603462;7.0799537;-1.0127473;
1.7582229;1.8752036;-1.2466996;13.559999;-33.54;33.78;-0.0023942017;5.3896475;-2.2026656;
1.3800973;2.1207714;-1.1257483;10.08;-29.58;36.899998;-0.59376204;4.0677485;-1.757344;
1.5920676;2.4414756;-0.80198973;5.7;-25.5;40.26;1.2545617;3.9145198;-0.6488287;
1.4595097;2.8086057;-1.0487792;-0.06;-22.38;42.3;1.400608;3.1842883;-1.721431;
1.3416128;3.314402;-0.9901362;-7.14;-18.96;43.02;3.5673606;2.6072857;-0.89543146;
1.2560917;3.4432948;-1.4085789;-13.08;-16.56;42.12;3.8187518;1.1899183;-3.289633;
0.52488595;3.9625301;-0.96447986;-21.9;-15.42;38.34;5.734412;1.7381904;-1.7262194;
0.26832256;3.7713294;-1.1972195;-30.599998;-14.639999;33.78;6.7112465;1.9895816;-1.7381904;
-0.18921551;3.7426186;-1.8789451;-36.42;-15.36;27.359999;7.597101;2.9496565;-1.0869676;
-0.98700553;3.885561;-1.8459585;-40.26;-19.08;18.84;7.3935943;3.7134068;1.9057846;
-1.0468704;3.428023;-2.043268;-40.86;-23.279999;10.74;7.984962;4.630386;2.815581;
-1.510517;3.06578;-2.056096;-40.98;-27.48;2.22;7.534852;5.526117;1.5945383;
-2.272266;2.765845;-2.454991;-38.64;-31.74;-6.06;6.256348;5.758354;3.964798;
-2.3620632;1.4799738;-1.6046666;-34.02;-34.44;-14.4;4.2521024;6.584354;6.4837976;
-2.2747095;0.9418015;-1.000521;-31.32;-35.1;-20.4;4.3885717;8.509292;6.7830725;
-2.3645067;0.4616614;-1.0371728;-27.359999;-34.92;-25.68;4.7429137;9.158121;9.998486;
