gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.04390594;0.106214195;-0.24396431;19.92;8.639999;-35.76;-1.4437037;-2.4013844;9.986514;
0.5724571;0.5582545;-0.69722635;20.82;9.059999;-36.0;2.2457612;-0.6392518;13.297695;
0.76610136;0.922941;-2.9213867;21.359999;10.08;-37.44;6.550835;1.2808979;14.126089;
2.0538054;0.8001571;-3.4754415;21.84;10.38;-35.88;3.3686419;2.8443117;20.174143;
3.1820734;-0.86872673;-1.972102;23.699999;8.639999;-37.14;-1.4796166;4.63278;24.22992;
3.8240929;-0.9548587;-1.0722976;21.96;3.6599998;-38.04;-5.71047;4.1922474;22.968176;
4.4129667;-1.1558334;-0.35758525;21.42;-4.2599998;-37.92;-8.17171;4.6471453;25.503935;
5.246187;-0.9957867;0.6088036;19.14;-11.7;-36.0;-14.20031;3.1603463;27.172693;
5.7104445;-0.2138792;1.717524;16.199999;-20.34;-30.48;-20.023308;-0.866701;25.475204;
6.1832542;0.8337547;2.864118;14.04;-29.4;-21.48;-17.219698;-6.763919;20.334553;
5.717164;1.0719922;3.3882403;9.9;-38.52;-9.9;-9.847651;-9.538799;14.296078;
4.8002553;1.3028992;2.8219683;1.68;-41.46;3.1799998;-4.6686935;-9.112631;10.039187;
4.164345;2.5337927;1.6576592;-6.48;-40.5;15.179999;-0.17477672;-7.5635824;6.7926493;
3.1490867;3.5319464;0.9673815;-12.3;-37.68;24.119999;1.127669;-6.488586;5.162198;
3.0641763;4.5502586;0.38889208;-18.3;-32.16;27.48;3.241749;-5.7990556;5.3106384;
2.1649828;5.11592;0.3039818;-26.4;-28.019999;27.539999;2.207454;-5.269937;2.7724855;
1.5803847;4.571639;1.3308463;-33.0;-24.48;25.08;4.6495395;-4.1132383;6.052841;
0.8241336;4.490394;1.0089203;-39.0;-20.64;15.96;8.447042;-2.4396915;6.8501105;
0.5938374;5.3101754;-0.65874183;-42.66;-18.6;9.12;10.3336735;0.1364695;8.418312;
-0.034742963;5.06644;-1.8102227;-41.16;-19.619999;-3.12;4.9036245;-0.49559975;3.9791632;
-1.6266578;3.9345067;-1.0289261;-37.98;-22.32;-12.42;2.0015526;-1.079785;7.3026147;
-2.1184044;3.4757469;-1.4290429;-32.88;-21.9;-22.02;4.144363;-0.93373865;13.278542;
-2.691396;3.2747722;-2.0618992;-26.82;-20.76;-29.22;2.9951463;-3.406949;13.611336;
-3.1599295;2.106187;-1.8609246;-18.06;-18.84;-36.719997;0.90261406;-4.9419317;14.501979;
-3.3358588;1.3652074;-2.3404539;-10.98;-14.5199995;-40.8;3.2130187;-4.4843397;15.895703;
-2.732324;0.9742537;-3.5829537;-3.48;-8.04;-43.86;2.4396915;-5.722441;17.001825;
-2.4024568;1.7360027;-5.1919727;2.82;-0.9;-44.52;-5.420772;-4.225766;18.452711;
-1.0371728;1.8826103;-4.742376;9.48;6.96;-41.399998;-15.625159;-3.193865;21.9674;
0.7325038;-0.17417295;-2.5322654;12.84;13.38;-39.18;-6.4239426;-3.7014358;8.6697035;
-0.7726682;0.25404358;-2.6739862;11.88;13.32;-37.86;-7.4055653;-3.8115692;10.197205;
-0.16974418;0.59063035;-2.8047113;9.9;15.179999;-37.86;-1.4030021;-3.6846764;7.994539;
-0.1605812;0.6333909;-2.7894397;9.179999;15.96;-37.38;-5.3010616;-5.418378;9.486126;
0.098425664;0.27420214;-2.058845;7.5;16.74;-37.739998;-4.970662;-4.841076;9.914688;
-0.24549147;0.5051092;-1.6654477;7.5;16.619999;-38.52;-4.2185836;-3.4284968;10.297761;
0.28779387;0.21006128;-1.1358275;6.96;17.16;-39.18;-3.1771057;-3.2872388;8.746318;
0.19188805;0.43180537;-1.1126146;7.74;16.26;-38.34;-2.2098482;-2.4349031;10.108619;
0.38308886;0.60468024;-1.047863;7.68;16.92;-38.52;-2.6551697;-2.7748797;10.096648;
0.14546229;0.9669233;-1.0606911;8.88;16.08;-39.54;-1.9895816;-3.0454245;8.741529;
0.43928847;0.5350416;-0.48403436;9.84;15.42;-39.18;-2.4636335;-3.526659;9.689633;
0.33177617;0.38171443;-0.18471038;11.16;14.5199995;-39.36;-0.5291186;-3.7373488;9.093477;
0.42279512;0.26198483;-0.1474476;11.7;14.7;-38.579998;-0.61291564;-3.7062242;9.565135;
0.14546229;0.23388503;-0.22197317;12.599999;13.92;-39.239998;-0.2777274;-3.5098996;8.518868;
0.22853996;0.18623754;-0.13034338;12.599999;13.139999;-39.059998;-1.1994951;-3.5577838;9.634567;
0.086819224;0.12454015;-0.051541757;12.78;13.98;-39.3;-1.2090719;-3.5290532;8.657733;
0.20288362;-0.0959822;0.17997618;13.74;12.96;-38.64;-1.0247183;-3.3446999;9.4143;
0.094149604;0.070173144;0.054748796;12.719999;12.599999;-39.12;-0.9911995;-3.2968156;8.949825;
0.18150334;0.02985604;0.051083606;13.259999;12.9;-39.12;-0.7661445;-3.430891;9.399935;
0.076434515;0.08361218;-0.047265697;12.9;11.5199995;-38.82;-1.1611878;-3.620033;8.727164;
-0.010308351;-0.004352415;0.038255434;13.32;11.7;-38.94;-1.163582;-3.4835634;8.794202;
0.09353874;-0.050167307;0.019318614;13.2;11.639999;-39.059998;-0.62009823;-3.4093432;8.461408;
