gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.38362336;-0.2683989;-0.16814066;-15.42;-14.82;-32.52;6.320992;1.3072342;7.132626;
-0.29260445;-0.45104763;-0.11010846;-15.36;-15.0;-34.02;6.763919;1.8267759;6.622661;
-0.48197266;-0.5616142;-0.20906863;-15.96;-14.94;-33.36;6.9075713;1.8962077;6.1294556;
-0.66523224;-0.49808425;-0.38072178;-16.38;-13.92;-34.559998;7.0536175;1.3503298;6.857293;
-0.64934975;-0.6520223;-0.31230485;-16.92;-13.259999;-34.02;8.025663;1.7764976;6.5173163;
-0.36285394;-0.6220899;-0.5725334;-17.039999;-12.9;-35.88;10.118196;3.0789435;5.7392006;
-1.3023647;-0.78335834;-1.4185818;-17.4;-12.78;-34.68;10.5323925;2.6384103;3.904943;
-0.8576548;-0.68256557;-1.3196217;-18.3;-11.88;-35.64;11.274595;2.7724855;6.890812;
-0.6230826;-1.2323443;-1.658041;-18.779999;-11.58;-35.88;11.61936;4.1060557;4.197036;
-0.6817256;-1.2885438;-1.8810068;-18.72;-12.059999;-34.739998;12.318467;4.1706996;5.614702;
-0.28160888;-1.5573245;-2.088701;-18.84;-12.84;-34.68;12.974479;4.982633;6.292261;
-0.82711154;-1.6251307;-2.2194262;-19.26;-15.12;-34.62;12.469302;5.9953804;3.9193082;
-1.3078625;-1.9036852;-2.9872837;-20.1;-15.12;-33.3;13.482049;5.4016185;7.412748;
-0.4184427;-1.256168;-3.2835534;-19.8;-16.08;-33.059998;11.327268;4.793192;9.56753;
0.84421575;-1.4455363;-2.6934576;-17.94;-18.6;-32.82;9.160515;5.626673;7.692869;
1.5961909;-1.3991104;-2.5492933;-16.56;-22.08;-29.16;9.881169;7.5635824;7.343316;
0.788627;-2.21767;-2.7655396;-15.36;-24.539999;-24.359999;8.377611;7.9921446;3.7900212;
0.28405234;-1.2940416;-3.3880115;-12.78;-26.699999;-22.08;7.9801736;6.5532293;6.5412583;
0.29749137;-0.8456666;-3.1552718;-10.44;-27.84;-20.76;5.308244;6.7088523;6.0576296;
0.657291;-0.3111595;-3.2090278;-6.06;-29.88;-19.859999;2.6264393;7.230788;3.0142999;
-0.026267206;0.53611064;-3.009275;-4.3199997;-30.96;-18.119999;2.7748797;8.042423;2.9472623;
-0.7678576;1.4200326;-3.131448;2.34;-32.04;-18.84;1.5586253;6.8405337;2.1380222;
-0.36835176;1.6472745;-3.2994359;8.16;-31.92;-21.359999;-0.36870706;6.076783;3.4859576;
-0.8582657;2.1494057;-2.887102;18.9;-31.92;-21.539999;-1.8842367;5.777508;-0.22744916;
-1.8729129;2.5189793;-2.3751967;28.8;-26.519999;-20.88;-4.247314;4.867412;0.062249243;
-2.1343632;2.1042018;-1.5804611;35.34;-23.4;-19.02;-6.170157;3.1890767;0.40940848;
-1.6603317;1.6515505;-0.17547104;40.32;-18.6;-16.98;-5.976227;1.6136919;5.3393693;
-0.26939157;2.859842;0.150731;43.559998;-20.4;-14.219999;-1.2330139;4.910807;1.436521;
-0.88514376;3.3931274;-0.4448626;45.42;-20.88;-7.98;-0.7637503;6.0193224;-0.31603462;
-1.3970488;3.93863;-0.6250679;45.12;-19.68;-1.0799999;-1.0749966;5.4518967;-3.787627;
-1.8808541;4.1420484;-0.5169447;44.1;-19.5;8.82;-1.70946;5.2268414;-1.9560628;
-1.3603969;3.8134027;0.04444045;41.94;-19.14;15.839999;-2.0015526;5.444714;-3.976769;
-1.9700404;3.702836;0.07437284;38.04;-20.4;23.4;-1.091756;6.119879;-3.904943;
-1.7849482;3.6338084;0.18310685;32.94;-22.199999;26.82;2.7341783;6.6896987;-4.7189717;
-1.6597209;2.936811;0.29733866;26.76;-24.9;30.42;-0.11731588;4.9299607;-0.79008657;
-1.0714576;3.6008215;0.78542;21.0;-28.199999;31.619999;2.0278888;6.890812;-6.100725;
-1.9407189;2.832964;0.82512623;13.62;-31.08;32.82;2.1045034;5.9474964;-5.5811834;
-1.4679092;2.5953374;1.9448422;8.04;-33.96;30.359999;2.8634653;6.390424;-1.697489;
-2.6468792;1.6796503;2.1849122;-0.59999996;-36.239998;27.24;4.0940847;8.195652;-5.2148705;
-2.7568347;2.1946096;2.5630379;-5.8199997;-38.34;24.24;8.265083;8.973767;2.6192567;
-2.248595;1.2227231;2.258827;-13.08;-40.02;17.039999;9.794978;9.270648;1.1707647;
-3.0775392;2.0626628;2.1959078;-18.96;-39.66;10.0199995;11.911452;9.012074;0.39743748;
-2.856406;0.010155635;1.614975;-24.539999;-36.719997;1.9799999;11.391911;6.4861917;6.01214;
-1.6853772;-0.67951125;1.8159497;-27.48;-34.44;-2.8799999;9.713575;6.100725;4.7764325;
