gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
0.06291912;0.19952387;0.10125092;-29.22;-11.5199995;-29.279999;7.1829042;-0.076614454;4.699818;
0.03359759;-0.2830597;0.06887506;-28.08;-11.639999;-28.74;8.116643;0.095768064;5.004181;
0.02321288;-0.3197116;-0.39293906;-28.8;-12.24;-29.279999;10.192416;0.82599956;4.4699745;
-1.378112;-0.4657084;-1.2206615;-28.92;-12.179999;-28.68;12.004827;2.066196;-0.62249243;
-1.91323;-0.9201921;-1.8113682;-27.119999;-11.04;-29.82;12.95293;1.4796166;2.2888567;
-0.7086037;-2.0655644;-1.6067283;-28.8;-11.82;-29.939999;14.827889;3.6727054;2.9759927;
-0.5662721;-2.489505;-2.1943808;-29.88;-12.78;-27.96;15.857396;5.645827;1.4389153;
-1.0085385;-2.4925592;-2.7386615;-30.42;-18.3;-25.14;16.386515;5.1933227;5.3441577;
-0.4007276;-1.8279378;-3.1302261;-30.9;-22.74;-25.08;15.208568;4.6830587;6.1893106;
-0.009162978;-1.1755338;-3.3837354;-28.14;-28.199999;-22.199999;14.705786;5.4734445;5.1693807;
0.24984388;-1.011211;-3.5462255;-24.24;-31.019999;-22.02;12.857162;5.2603602;5.978621;
0.3848451;-0.3392593;-3.3464725;-18.84;-34.14;-20.4;11.183616;5.96665;5.526117;
0.87964594;0.58742326;-3.4460435;-13.38;-36.78;-19.5;9.828497;6.3401456;5.96665;
1.0885619;-0.2934444;-3.435048;-5.22;-38.34;-19.68;7.355287;6.9363017;4.6471453;
0.9486737;0.28382325;-3.2884402;0.96;-38.879997;-19.14;5.006575;7.0895305;5.0329113;
1.3170254;0.27893636;-3.226743;7.9199996;-38.52;-18.539999;3.3566709;7.3026147;3.4237084;
0.90102625;0.98204225;-3.0746374;13.74;-39.059998;-17.82;2.4181437;7.132626;2.3535004;
0.89980453;1.0211376;-2.8748846;21.42;-39.0;-14.099999;0.6751649;6.2587423;1.13964;
0.8222246;1.2404382;-2.6128235;27.84;-37.8;-9.059999;-0.34715924;6.107908;-0.45250413;
