gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
0.478842;-0.31604642;-1.2562444;1.02;10.62;-49.02;3.9384618;2.4540567;9.79019;
0.5277112;-0.40889794;-1.8493946;0.24;8.7;-49.98;2.0566192;3.643975;12.184392;
0.6578255;-1.2531137;-0.5476407;-1.1999999;8.639999;-48.42;3.8043866;8.083124;15.538967;
1.5545757;-1.6556739;-0.89461213;-5.22;4.7999997;-49.559998;7.0919247;11.746253;18.747198;
2.6785676;-1.8627572;-1.3888022;-8.7;1.8;-49.8;2.267309;9.332897;21.071968;
2.3120487;-1.5267813;-1.3301591;-12.96;-4.74;-49.5;-3.881001;7.8844056;18.483835;
3.3334153;-1.8236618;-0.005192355;-16.199999;-11.88;-47.82;-5.1286793;7.331345;21.670519;
3.9455023;-1.143158;-0.026572637;-19.859999;-17.94;-44.04;-5.1550155;5.981015;20.114286;
4.6712103;-0.48586693;-0.11881329;-21.779999;-24.96;-39.36;-5.8493342;3.0382419;17.31786;
4.7194686;0.3204752;0.07422013;-23.16;-32.34;-33.899998;-5.6649804;0.11971009;12.66802;
4.299804;0.99548125;0.10903945;-22.92;-40.079998;-27.06;-3.8953662;-1.079785;7.0392523;
3.5734854;1.4255304;0.03634648;-20.4;-44.04;-17.58;-1.8100165;-0.62967503;4.8841715;
2.9595656;2.2495875;0.058948494;-20.58;-46.739998;-11.7;-1.2808979;-0.58897364;1.7142484;
2.550286;2.53364;0.19761491;-18.66;-48.059998;-4.98;0.38307226;0.61530983;0.90979666;
2.2491295;2.8745027;0.06383542;-20.1;-47.34;-1.3199999;1.8052281;1.4652514;-0.074220255;
1.8355737;2.9814043;0.109650314;-21.539999;-47.46;1.92;3.0573955;1.7166426;0.11731588;
1.7714329;2.9942324;0.14263703;-22.74;-45.899998;2.28;3.3901896;1.721431;0.059855044;
1.3450489;3.4151185;-0.2611449;-25.199999;-44.52;2.1599998;4.6926355;2.1523874;-0.5291186;
0.8606328;3.7400987;-0.9569204;-24.9;-44.52;-1.26;5.1765633;2.56419;0.5746084;
0.40798163;3.7492619;-0.9263771;-23.279999;-44.94;-4.3199997;5.7727194;2.837129;2.2697031;
0.1923462;3.5482872;-1.2030991;-21.18;-44.64;-8.16;6.0097456;3.2249897;1.2162545;
-0.35376734;3.399236;-1.325883;-17.76;-46.02;-12.0;5.930737;3.8857894;2.2026656;
-0.76671225;2.733393;-1.3057245;-13.259999;-46.32;-14.58;6.596325;5.078401;2.360683;
-1.6732363;2.2764657;-1.8689423;-7.8599997;-46.8;-18.3;6.3090205;6.1988873;3.2609026;
-2.1979694;1.8555795;-2.6386325;-1.1999999;-45.719997;-22.199999;5.042488;5.329792;7.716811;
-2.711707;1.5739707;-2.7186558;5.4;-43.559998;-26.519999;2.2984335;5.308244;8.413524;
-3.0635655;0.69188124;-2.1053472;12.719999;-38.46;-31.08;1.7262194;5.2172647;12.517186;
-2.6365707;0.57031906;-2.4113905;19.56;-31.859999;-34.559998;0.82599956;5.490204;12.703934;
-2.8375454;-0.3618613;-1.8616118;22.56;-25.439999;-37.5;-1.0414777;5.207688;13.561058;
-2.0855703;-0.5115233;-2.1542163;24.42;-18.24;-41.04;-0.6488287;5.2866964;14.506767;
-1.7392097;-0.771141;-2.450486;23.88;-12.12;-43.26;-1.4532804;5.11192;13.407828;
-1.3720797;-0.73387825;-2.9190195;24.119999;-6.42;-44.46;-3.8115692;3.1771057;13.44853;
-1.2047026;-1.0130436;-2.1450534;22.199999;0.24;-45.3;-5.674557;2.0111294;13.975255;
-0.72822773;-1.138271;-1.8866574;19.68;4.7999997;-46.92;-3.4620156;1.6065093;12.158055;
-0.84001607;-0.56894463;-2.8053987;15.36;8.28;-46.92;-2.4947581;1.508347;12.914623;
-0.058108557;-0.33376148;-3.2433891;12.599999;11.28;-45.6;-4.7405195;1.1731589;12.038345;
0.26992607;0.112780996;-2.9856038;10.139999;13.679999;-46.559998;-6.1749454;0.3854665;10.221147;
0.06650795;-0.068645984;-1.7730364;6.7799997;14.7;-46.92;-6.13185;0.7469909;10.412683;
-0.030619621;-0.06009387;-0.8970556;5.04;13.799999;-46.68;-3.8594532;1.1372458;8.69604;
-0.08132143;-0.06620252;-0.40530908;3.8999999;14.88;-47.399998;-2.7844565;1.2210429;10.022428;
-0.18272507;0.013209961;-0.37782016;4.02;15.059999;-46.26;-1.7788919;1.1611878;10.664074;
0.0023671028;0.14943291;-0.4370741;3.8999999;15.24;-45.66;-1.8794483;0.78529817;9.440637;
0.23510677;-0.03932445;0.019242255;3.72;15.12;-46.68;-1.8028339;0.30885202;9.914688;
-0.059941154;0.35773796;-0.1872302;3.6;14.28;-46.92;-1.0103531;0.2705448;9.727941;
0.2503784;0.057803124;-0.13225232;4.68;14.7;-46.68;-1.1971009;0.17717093;9.335292;
-0.04100433;0.20624338;-0.26542094;3.9599998;14.34;-47.16;-1.4269443;0.021547815;9.862016;
0.0622319;0.030314188;-0.057726767;3.06;14.639999;-47.1;-1.5155296;0.12928689;9.217976;
-0.155847;0.02359467;-0.05222898;4.5;15.42;-46.14;-1.3623008;0.23702596;9.914688;
-0.0067958757;0.0028252518;-0.011301007;3.9599998;15.54;-46.44;-1.2808979;0.32800564;9.708787;
-0.010461068;0.105450615;-0.18112154;4.14;14.7;-45.719997;-1.1779473;0.4261679;10.355222;
