gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.513585;0.36025777;-1.3230578;-6.3599997;-26.939999;-39.42;3.1555579;3.2728736;7.486968;
-0.35414913;1.1158981;-1.7946458;-3.8999999;-27.06;-39.3;2.3678656;1.8531121;10.984897;
-0.15928312;-0.2640465;-1.3138947;-1.14;-25.5;-40.26;0.9888053;1.8195933;7.427113;
-0.04444045;-1.7655532;-0.81542873;-0.17999999;-22.98;-39.48;3.8738184;3.5769374;11.789349;
0.17119499;-2.8473957;-1.349325;-2.22;-21.48;-39.18;10.391134;5.8421516;14.9308405;
1.1351403;-2.1784983;-3.1923053;-6.7799997;-22.02;-38.82;9.313744;5.210082;12.330438;
0.87796605;-1.5163202;-2.939407;-6.7799997;-24.3;-36.66;3.4213142;4.8027687;17.1359;
2.0129538;-1.86207;-1.4440091;-1.86;-28.8;-34.079998;3.3135753;5.56203;12.272977;
1.7814357;-1.9665279;-1.7818176;-0.35999998;-32.28;-30.179998;5.478233;6.7711015;13.999197;
2.2762365;-1.658041;-1.7329483;2.9399998;-33.6;-27.3;1.2593501;5.803844;14.22904;
2.4210117;-1.2530373;-1.1795044;5.94;-35.579998;-23.4;1.3263878;6.644209;11.576264;
2.628706;-1.091158;-1.0267881;6.66;-37.5;-19.5;0.842759;6.7495537;12.076653;
2.9249754;-0.54076844;-0.9760863;10.74;-39.66;-13.92;-1.067814;6.7016697;9.610625;
2.6861272;0.20021108;-1.1507938;13.559999;-40.26;-8.4;-1.7429788;7.664139;6.716035;
2.9164233;0.27229318;-0.9516517;17.279999;-40.26;-1.9799999;-1.2569559;8.36564;5.0927663;
2.9481883;0.5893322;-0.63278;19.439999;-39.48;3.54;-0.37349546;9.395146;3.9240966;
3.0520356;0.49648073;-0.7580074;20.82;-38.16;12.0;0.92416185;10.151714;1.8698715;
2.777146;1.1238394;-1.2210432;21.539999;-36.42;17.1;0.46686932;9.732729;1.3096284;
2.9530754;1.0621419;-1.4849371;23.279999;-31.5;25.38;0.050278235;7.96102;0.22744916;
2.523637;1.7573066;-1.8099173;22.619999;-28.32;29.939999;-0.60573304;6.37127;0.074220255;
2.2267566;2.0792327;-1.6944638;20.58;-21.3;37.02;-1.1204864;4.2161894;-0.7757214;
1.6378825;2.702926;-1.8319085;16.38;-16.32;41.46;-0.6727707;2.3798366;-1.8626889;
1.4307991;3.1268666;-1.7494417;11.7;-11.82;43.44;-0.37588966;0.80445176;-1.2617443;
1.2224941;2.9484937;-0.6840927;4.98;-8.88;44.7;1.9440918;1.9081788;-1.6160861;
1.159575;3.6564867;-2.1581106;-3.12;-6.06;44.46;4.9730563;2.1547816;-2.6408045;
-0.45982882;4.176944;-2.5967119;-11.34;-4.7999997;43.5;2.0805612;0.19393034;-0.4189853;
-0.48915035;4.222148;-2.0194442;-19.619999;-7.14;38.34;8.360851;3.8355112;2.7581203;
-1.3529139;4.1152463;-2.5625033;-26.82;-11.639999;31.619999;3.620033;1.2689269;-3.9456444;
-1.927738;3.940539;-1.820913;-31.439999;-17.34;24.119999;8.403947;5.933131;2.3918076;
-2.4500277;3.332117;-2.0322723;-32.579998;-22.02;14.28;5.564424;6.9578495;0.5722142;
-2.472019;2.7127;-1.7353919;-32.1;-26.699999;5.4;10.0751;8.662521;5.4949923;
-2.9381092;2.2777638;-2.2845597;-29.4;-31.199999;-5.52;2.8898015;7.0153103;3.857059;
-2.770732;1.32909;-0.9498191;-26.46;-33.6;-12.179999;3.9193082;8.703222;6.845322;
-2.702315;0.8190176;-1.0157925;-23.22;-32.34;-21.0;4.5681367;9.739912;7.9897504;
-2.4017694;0.29245174;-0.34750596;-21.66;-30.24;-25.5;6.024111;10.058341;9.972149;
-2.974761;0.8000808;-1.4965435;-20.16;-28.74;-30.84;3.0933087;7.958626;8.265083;
-1.9833268;0.01817324;-1.3047318;-16.98;-25.38;-34.62;1.3551182;6.9195423;12.105383;
-1.3388638;-0.50961435;-0.9217193;-15.9;-24.48;-37.44;2.822764;7.022493;10.790966;
-1.506241;-0.9579894;-1.4256831;-15.599999;-23.039999;-38.28;1.0941502;5.4351373;7.927501;
-1.2454015;-0.8535315;-1.5356388;-15.599999;-22.32;-39.36;1.0366893;6.1773396;12.66802;
-1.079857;-0.20723604;-2.0298288;-16.26;-20.76;-39.54;-0.18674773;4.6591167;10.254665;
-0.7475463;-0.19929479;-2.1263456;-14.5199995;-20.46;-40.32;-1.6543933;4.0198646;10.182839;
-0.377362;-1.3422236;-1.530752;-11.88;-19.199999;-40.92;-1.6232687;4.1419687;11.707946;
-0.21426098;-1.267698;-1.322447;-12.0;-19.5;-40.8;-1.7669208;2.5091233;9.136573;
-0.8978192;-1.5529722;-1.6449838;-13.44;-19.439999;-39.36;-0.39025488;4.015076;11.626543;
-0.39202276;-0.46135598;-1.5209781;-13.559999;-19.38;-39.48;-1.4820108;2.0231004;11.569082;
-0.1470658;-0.5652031;-1.2485322;-12.3;-19.74;-39.12;-0.50278234;3.4476504;9.450213;
-0.27046058;-0.50656;-1.2063825;-12.36;-20.34;-39.059998;-1.0151415;2.4899697;10.47972;
0.17730364;-0.26221392;-0.56986094;-12.3;-20.46;-38.16;0.0023942017;2.3798366;10.185233;
0.23289238;-0.16875152;-0.5759696;-12.179999;-21.119999;-39.66;1.1133038;2.5474305;11.628937;
