gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.87529355;-0.79969895;-0.31054863;-33.6;4.2;-28.019999;7.7814546;3.1842883;3.881001;
-1.8893298;-0.8613964;-1.4815773;-35.219997;4.38;-26.58;10.048764;3.4572272;4.548983;
-2.2130885;-1.8161787;-1.7686839;-34.739998;4.44;-25.859999;10.283396;3.9097314;4.8338933;
-1.929647;-2.3830616;-2.7026968;-35.399998;2.1;-23.34;14.279318;5.4710503;6.3138094;
-1.9461403;-1.1228467;-2.733851;-36.66;-5.7;-20.699999;15.282788;6.799832;8.81575;
0.13324498;-1.3134366;-3.3660965;-36.42;-10.38;-20.039999;17.353773;8.344092;11.475708;
0.18150334;-1.4576008;-4.148004;-35.579998;-19.32;-18.96;15.029002;7.6138606;9.316138;
0.14973834;-0.56634843;-4.4039564;-33.42;-28.98;-15.059999;15.718533;6.3114147;17.435175;
1.4771485;-0.38858664;-4.9170833;-29.58;-37.44;-12.78;15.814301;7.79582;16.443975;
-0.82398087;1.9742401;-5.432654;-21.539999;-44.34;-9.12;14.775217;4.3957543;17.076046;
0.41851905;2.9644527;-4.8382816;-10.2;-47.879997;-11.4;11.693581;-0.91219085;18.792688;
1.76059;4.1703005;-3.9989529;0.71999997;-49.92;-12.12;10.932224;-3.2704794;13.525145;
2.3604596;4.306524;-2.9397125;11.7;-49.32;-6.8999996;6.9003887;-5.078401;8.107066;
3.007366;4.153807;-1.7442493;18.24;-47.219997;1.9799999;4.307169;-5.234024;5.267543;
3.5039995;3.8844156;-0.92630076;19.439999;-43.86;12.24;7.364864;-2.4708161;1.6184803;
2.3012056;3.7451384;-1.2775483;16.5;-39.6;23.279999;6.4119716;-0.3878607;-2.7868507;
0.6683629;3.914959;-2.1608593;13.679999;-34.98;31.199999;5.753566;-0.11252748;-3.4572272;
0.46005788;4.123875;-1.2897656;9.66;-33.0;35.64;4.2521024;0.16519992;-3.2345665;
-0.78305286;4.450688;-1.5848135;2.6399999;-30.539999;37.559998;4.6160207;1.4460979;-9.079112;
-1.6126078;4.026747;-0.60376394;-2.6399999;-32.46;36.0;5.1813517;2.8634653;-9.361628;
-2.0829742;3.7524688;-0.199982;-9.48;-35.94;30.179998;6.184522;3.9863458;-6.9937625;
-1.3340533;3.4629188;0.37850738;-14.88;-39.0;25.019999;8.135797;4.0533834;-8.712799;
-2.056096;2.922303;0.87514085;-21.24;-39.84;17.1;6.5316815;4.3287168;-9.455002;
-2.2863922;2.0854175;1.4212544;-25.08;-40.26;10.2;8.50211;5.624279;-9.150938;
-3.3865607;1.3132839;1.9349921;-29.34;-39.48;1.62;8.341698;4.879383;-6.902783;
-2.718885;0.46662468;2.47011;-33.239998;-36.6;-6.18;11.676821;5.1933227;-3.98874;
-3.3920584;-0.35315648;2.4218516;-38.46;-28.68;-10.98;12.29213;4.1276035;-3.1052797;
-3.6981018;-0.86872673;2.619772;-41.46;-22.26;-14.4;12.823644;2.870648;-0.39504328;
-4.3291254;-1.3183236;2.3467152;-43.62;-15.24;-14.28;14.147637;2.123657;1.3455414;
-4.9369364;-1.7850246;2.5849526;-44.34;-6.66;-13.38;15.388133;2.1571758;5.92116;
-4.086612;-1.8131244;1.7871627;-45.3;-0.71999997;-10.679999;16.977882;3.7349546;8.042423;
-3.5007923;-1.3629167;1.6411659;-45.0;3.24;-4.74;13.125313;2.5689783;7.8820114;
-2.48248;-0.7245625;0.7138724;-44.579998;6.54;0.29999998;12.902652;2.516306;7.2595186;
-1.2790755;-0.5254205;0.4621959;-42.239998;6.12;3.1799998;12.186786;2.717419;5.3441577;
-1.2961797;-0.08559749;-0.16088663;-42.6;5.94;4.74;11.080665;2.4875755;3.9432502;
-0.91011286;0.093386024;-0.30871603;-42.54;4.92;4.44;9.866804;2.1140802;3.0214825;
-0.71280336;0.2589305;-0.34658965;-42.96;3.36;5.1;9.723152;1.8195933;3.0382419;
-0.7971028;0.65354943;-0.36858082;-43.26;1.9799999;4.2599998;10.058341;1.532289;0.9983821;
-0.56986094;0.24365887;-0.41561744;-43.86;2.34;2.58;9.852439;1.1731589;1.7621324;
-0.29374984;0.5771913;-0.46265405;-42.96;1.8;2.6399999;9.862016;0.8451532;1.7238252;
-0.27786732;0.47456592;-0.2476295;-43.02;1.3199999;1.56;9.059958;0.4381389;0.9888053;
0.023900103;0.38782308;-0.19081903;-43.92;-0.06;0.78;9.119814;0.5434838;1.4197617;
-0.1288162;0.17096591;-0.03443753;-43.62;0.24;-0.06;8.957007;0.33758244;0.59615624;
-0.10377073;0.1306488;0.0388663;-43.32;-0.24;0.17999999;9.948207;0.7517793;1.5658079;
-0.05062546;-7.6358156E-5;0.012599096;-44.1;1.14;-0.53999996;9.62499;1.0103531;1.1851299;
-0.13370313;0.11415544;-0.07780896;-43.68;0.0;-0.42;10.21157;1.2617443;1.8626889;
-0.18318321;0.11598804;-0.015500706;-44.04;-0.35999998;-1.4399999;9.565135;1.1875241;2.0087352;
0.09231701;0.02313652;-0.010613783;-43.68;-0.29999998;-0.84;9.541193;1.2952632;1.8267759;
-0.01947133;-0.054443367;0.02115121;-44.34;-0.29999998;-1.3199999;9.44303;1.2761095;1.6519991;
-0.08422305;-0.0129045285;0.10667235;-43.44;0.0;-0.59999996;9.574712;0.9696517;2.2242134;
