gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.42279512;-0.26229027;0.025350908;-43.739998;10.74;-16.56;8.336909;2.2744915;2.9592333;
-1.235246;-0.16088663;-0.40042216;-45.059998;11.58;-16.08;10.601825;4.343082;0.36870706;
-1.5718327;-0.7149414;-0.52626044;-44.52;11.4;-14.46;11.662456;4.8003745;1.4101849;
-0.38675407;-0.94645935;-0.34788775;-45.96;10.74;-12.9;15.725716;8.681675;-0.33518824;
-0.9860129;-1.9385045;-1.3570372;-45.539997;11.16;-9.42;18.242022;9.747094;-2.0350714;
-1.6573538;-2.4137576;-2.3246477;-47.28;8.94;-4.62;20.131046;10.281001;1.6448165;
-2.0800724;-2.2268329;-3.6477818;-48.78;3.54;0.65999997;20.571579;8.305785;7.7096286;
-1.0086149;-2.4369705;-4.0784416;-46.14;-4.8599997;5.22;21.201254;7.994539;10.439018;
-1.0092257;-1.58237;-5.021007;-43.14;-14.759999;9.84;18.586786;4.841076;13.685556;
0.16974418;0.6307947;-4.7100763;-34.739998;-26.939999;10.44;14.21228;1.4508862;13.486837;
1.2937362;1.422476;-4.2824707;-27.48;-34.559998;9.48;12.725481;0.37349546;9.9099;
1.4702762;2.0968714;-4.0521746;-20.46;-41.16;10.0199995;8.571542;-0.6919243;6.8525047;
1.5783994;2.320448;-3.6490035;-12.059999;-44.94;11.5199995;6.953061;-0.093373865;3.6655228;
1.6883552;2.679026;-3.3777795;-5.22;-45.899998;14.28;3.620033;-1.0749966;3.526659;
1.8190804;2.910544;-2.6209173;2.22;-45.6;19.14;1.7836803;0.2705448;1.6136919;
0.8313112;3.5598936;-2.341141;6.48;-42.48;24.72;2.2768857;0.40940848;0.60333884;
0.25526533;4.3234754;-1.8719965;8.16;-40.8;27.539999;2.0757728;-0.5506664;-0.7038953;
1.6541467;3.9459605;-1.6038266;4.98;-38.399998;31.019999;3.2465374;-0.9648633;-5.540482;
-0.37331504;4.214741;-1.0882565;1.5;-35.7;34.26;2.0159178;0.6584055;-8.521263;
-1.4899766;3.7040577;-1.1908818;-3.6599998;-36.239998;33.0;3.289633;2.3319526;-7.1110783;
-0.96707606;3.939241;-0.5177083;-7.9199996;-38.94;27.66;5.102343;2.9496565;-4.189853;
-1.2034808;3.6240344;-0.25992316;-11.4;-40.559998;23.82;6.253954;4.9730563;-8.767866;
-2.0403662;3.1396184;0.026572637;-14.099999;-41.219997;19.8;4.9730563;4.0581717;-6.8357453;
-2.1894174;2.6778042;0.8078693;-16.619999;-41.7;12.9;7.285855;5.3250036;-6.4957685;
-1.8888717;1.6918677;1.4859297;-19.14;-42.48;4.8599997;7.771878;5.2052937;-2.1332338;
-2.1423807;1.4023175;1.824349;-23.279999;-40.44;-1.5;9.672874;6.3281746;-5.4040127;
-2.7379744;0.76396334;1.9819523;-25.98;-38.219997;-8.639999;11.322479;5.964256;-2.315193;
-2.7929523;0.024205536;2.1792617;-29.88;-33.059998;-15.0;11.458948;5.858911;-1.4101849;
-3.745902;-0.39851323;2.2262983;-32.399998;-27.48;-19.74;11.856386;4.9132013;0.8858546;
-3.7617846;-0.7540368;2.154827;-36.3;-22.02;-24.539999;13.690345;5.992986;3.9600096;
-3.579136;-0.93057686;1.5323554;-41.219997;-12.48;-26.58;12.718299;5.945102;5.2052937;
-4.1704535;-1.4382058;0.87872964;-43.02;-4.3199997;-25.859999;12.284948;5.3130326;5.4231663;
-3.1545844;-1.4821881;0.93187493;-45.0;1.68;-23.039999;11.928212;3.514688;10.6042185;
-1.9230802;-1.2995394;0.7101309;-46.559998;6.8999996;-19.619999;11.396699;4.4843397;7.5061216;
-1.8033506;-0.40095666;0.18661933;-48.3;9.96;-15.839999;11.63612;4.280833;7.118261;
-0.97807163;-0.29894218;-0.17501289;-48.18;11.7;-13.44;10.467749;3.1962593;5.6649804;
-0.7887034;0.14882204;-0.47861293;-48.12;11.94;-12.719999;9.838074;2.384625;4.343082;
-0.5706245;0.24900395;-0.40775254;-48.6;10.98;-12.78;9.421483;1.8124107;3.1364043;
-0.48204905;0.28809932;-0.50488013;-48.66;10.559999;-11.88;9.629779;1.5753847;3.086126;
-0.28046352;0.28932106;-0.5897904;-48.78;10.26;-12.3;9.555558;1.2497733;2.4253263;
-0.24686591;0.23800837;-0.4034765;-48.48;9.719999;-14.04;9.004891;0.6991069;2.2026656;
-0.08926269;0.030925052;-0.160963;-48.899998;8.4;-13.559999;8.772655;0.60333884;1.8291701;
0.06650795;-0.07047858;0.053450707;-48.719997;8.5199995;-13.32;9.371204;0.90261406;2.1284454;
-0.0819323;-0.14317155;-0.03145956;-49.98;7.9199996;-12.719999;9.541193;1.1899183;1.8363527;
-0.33055446;-0.045433104;9.162979E-4;-49.379997;9.12;-12.3;9.751883;1.5227122;2.7126305;
-0.31833714;0.041309763;-0.17867808;-48.539997;9.12;-13.08;9.732729;1.6927006;2.8682537;
-0.43806675;0.08773552;-0.19700404;-49.92;8.46;-13.259999;9.359234;1.5682021;2.9257145;
-0.391641;0.23251058;-0.18417588;-49.86;8.58;-12.84;9.143756;1.7166426;3.0382419;
-0.45333838;0.23617578;0.040011674;-49.86;7.98;-12.9;9.55077;1.6543933;3.502717;
-0.1680643;0.10239629;-0.16646078;-48.84;8.76;-12.179999;9.143756;1.4700398;3.3303347;
