gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
0.19181168;-0.2561816;0.3828598;-21.119999;3.4199998;-40.379997;7.3696523;2.1739352;3.8786068;
-0.34513888;-0.6727917;-0.049632803;-21.18;4.62;-40.44;9.608231;2.7365725;4.146757;
-1.0366384;-0.7412086;-0.34529158;-22.859999;5.64;-39.0;10.781389;2.9735985;2.0398598;
-1.1844677;-1.4962381;-0.8199339;-25.08;6.72;-38.28;12.447754;2.5881321;2.5067291;
-1.496009;-1.7308103;-1.1247556;-27.42;7.5;-35.52;13.618519;2.4277205;1.460463;
-1.5173893;-2.2072852;-1.4338534;-31.5;7.8599997;-33.66;15.15829;3.8618474;2.2170308;
-2.5650232;-1.3795629;-2.5450172;-33.78;7.08;-29.699999;16.659454;4.711789;3.7253778;
-1.6145169;-2.3514495;-3.09052;-36.3;5.7599998;-26.16;14.688726;5.303456;4.910807;
-1.29198;-1.96355;-3.25301;-39.66;0.12;-24.359999;12.849979;6.038476;5.0376997;
-0.8765916;-1.7833447;-3.1119003;-41.52;-6.12;-19.26;13.886669;6.4694324;8.624214;
-0.4465425;-0.32459852;-2.9756773;-40.739998;-10.26;-18.06;10.247482;5.942708;8.624214;
0.37934732;-0.094913185;-2.7655396;-38.76;-16.619999;-17.52;8.789413;6.572383;6.8644757;
-0.48991394;0.14026994;-2.7563767;-36.3;-21.119999;-17.58;5.6314616;5.729624;5.578789;
0.29260445;0.07735081;-3.2133038;-32.399998;-26.939999;-18.779999;7.0919247;6.050447;8.700829;
1.0103711;-0.036270123;-2.7954721;-27.42;-31.92;-18.18;2.633622;6.146215;6.8381395;
0.87781334;0.8293259;-2.4772112;-22.74;-36.239998;-16.56;3.3997664;7.501333;7.520487;
0.84299403;1.0883328;-2.8962648;-16.14;-39.66;-15.96;1.3910311;6.53647;6.476615;
1.3744467;1.5703055;-2.4717135;-8.5199995;-42.84;-14.7;0.25139117;6.148609;5.5452704;
0.8765916;1.313742;-2.691014;-1.38;-44.04;-11.759999;-0.7398083;6.5292873;0.842759;
-0.45204028;2.814638;-2.5975518;4.62;-45.78;-10.44;-2.7940333;5.39683;1.5658079;
-0.055588737;1.8720729;-2.3385448;11.639999;-43.92;-10.62;-3.4332852;7.0775595;-0.7254431;
-1.0549643;2.8066967;-2.1620047;16.92;-43.559998;-9.66;-3.514688;5.3776765;1.3144168;
-0.5186246;2.8305204;-1.8962784;21.9;-42.239998;-8.34;-4.489128;4.331111;1.7717092;
-0.68783426;3.2850041;-1.3862059;26.22;-40.14;-5.46;-4.867412;3.8067808;0.50278234;
0.15943582;3.2740088;-0.77839506;29.699999;-38.34;-0.84;-1.4796166;5.0496707;-0.24899697;
-0.31703907;3.4285576;-1.014189;30.06;-38.46;4.02;-2.6384103;4.3358994;-2.6312277;
0.03604105;2.97835;-0.4185954;29.279999;-37.14;9.3;-1.7142484;4.10845;-3.5458126;
-0.48808134;3.162831;-0.5151121;28.68;-36.96;14.34;-2.4372973;3.7014358;-4.5896845;
-0.68600166;3.4322228;-0.36545014;25.98;-36.899998;16.92;1.9440918;4.185065;-6.332963;
0.061086524;2.9264264;0.13545936;23.82;-38.1;20.279999;1.9081788;4.920384;-5.624279;
-1.9297233;4.3399687;0.62964934;20.4;-37.44;21.24;1.9297266;5.638644;-4.817134;
-1.6676621;2.1915555;-1.3434454;15.24;-39.84;21.48;4.2904096;5.6554036;-9.213187;
-3.3029485;2.7168996;-0.33124167;14.759999;-42.239998;20.22;-2.9017725;1.7286136;-3.028665;
-1.9853121;3.1634421;0.47632217;13.44;-43.68;16.44;5.171775;5.4973865;-3.0142999;
-2.2284365;2.5403595;0.7377725;10.2;-44.28;12.719999;5.8301806;5.705682;-2.1883004;
-3.6071594;2.4267385;0.89720833;5.52;-46.68;9.0;6.694487;7.288249;-1.3479356;
-2.2088888;1.8861228;1.261284;3.54;-47.94;2.22;9.888352;7.3576813;1.6663644;
-4.296215;1.3632221;0.205098;-0.71999997;-47.579998;-3.6599998;4.4603977;5.430349;-1.8219875;
-2.2632558;0.054137934;1.8678732;-0.59999996;-46.5;-11.28;10.709563;7.0392523;5.346552;
-3.2192597;-0.812069;1.0554224;-5.2799997;-43.14;-17.4;9.586683;7.242759;2.2170308;
-3.5081992;-0.9153052;1.9112446;-7.7999997;-41.28;-24.119999;10.960955;5.7368064;11.844415;
-1.5125023;-0.60315305;1.1910346;-12.96;-34.739998;-29.699999;10.635344;6.8118033;7.1015015;
-2.3133466;-0.60865086;0.7267769;-16.56;-31.56;-31.38;10.113407;5.614702;7.0416465;
-2.447737;-0.5475643;0.23075435;-18.359999;-26.88;-34.44;7.1038957;5.585972;7.448661;
-2.8771753;-0.069867715;-0.7979427;-18.48;-20.64;-35.82;11.90427;4.9634795;8.492533;
-3.1282408;-0.8285623;-1.7728837;-17.82;-14.58;-38.76;7.3624697;2.3750482;9.732729;
-1.9046779;-0.2653446;-1.9573649;-17.76;-9.84;-39.78;8.001721;1.1468226;9.387964;
-2.2363777;-0.4021784;-1.4851661;-17.52;-6.12;-42.059998;6.0097456;1.2641385;8.53084;
-1.6554449;-0.22991441;-1.3764321;-17.4;-3.3;-43.02;5.293879;0.94570965;11.176433;
-0.40011674;0.35468364;-1.155299;-17.52;-0.48;-43.2;6.419154;0.21308395;10.12059;
-0.3652974;0.6851617;-0.2750421;-16.38;1.0799999;-43.5;6.3138094;2.6599581;11.846809;
