gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.22785273;-0.4003458;0.28328875;-18.84;-19.619999;-32.219997;7.9777794;2.4540567;5.3752823;
-0.35185838;-0.39484802;-0.07162395;-18.84;-19.56;-31.439999;9.402329;3.4811692;4.6830587;
-0.9266826;-0.78641266;-0.5627596;-20.64;-19.38;-31.74;10.654497;4.0174704;3.5553896;
-1.2040154;-1.6043612;-1.43141;-22.199999;-17.1;-33.0;12.304102;4.486734;3.241749;
-1.1441506;-1.895133;-1.6482671;-22.619999;-16.8;-33.12;13.841179;5.0951605;4.6495395;
-0.8191703;-2.4473553;-2.251802;-23.82;-18.539999;-32.04;13.261783;5.087978;3.2968156;
-0.9828822;-2.0783927;-2.3507621;-24.84;-23.22;-32.46;14.947599;5.1645923;5.7392006;
0.06414085;-2.515772;-3.2676709;-25.8;-24.24;-32.1;16.175825;6.172551;7.070377;
-0.3390302;-2.1523073;-3.6769507;-23.519999;-28.26;-29.34;13.424588;7.0775595;4.06296;
-0.36896262;-2.4229207;-3.983605;-21.72;-30.84;-27.84;13.486837;7.0440407;5.8900356;
-0.19914207;-1.5041794;-3.6958876;-17.16;-33.42;-27.119999;9.244312;5.9139776;6.4981627;
0.56382865;-1.2830461;-3.2927165;-14.4;-33.78;-25.98;8.368034;6.9578495;6.98658;
0.88025683;-0.41011965;-2.8064678;-8.22;-35.88;-24.359999;5.4255605;8.042423;4.0078936;
0.062308256;0.8824712;-2.5480716;-5.16;-36.0;-23.1;5.734412;9.703999;5.3633113;
1.772731;-0.8444449;-3.2377386;-0.65999997;-35.04;-23.34;2.4253263;8.473379;3.016694;
0.48380527;0.28748846;-3.068529;2.3999999;-36.78;-22.859999;0.6751649;8.336909;2.2242134;
0.7483099;0.1372156;-2.959184;6.48;-37.739998;-20.52;0.095768064;7.8221564;3.8355112;
0.51007247;1.4707345;-2.9848404;12.78;-39.6;-21.6;-0.8738836;7.118261;4.2784386;
0.70432764;1.0999392;-2.882215;19.5;-39.48;-19.02;-1.42455;7.5755534;-0.1436521;
-0.6420194;1.699198;-3.1986432;28.08;-36.36;-13.679999;-3.1364043;6.014534;-0.62728083;
-1.3048081;2.0370066;-2.8858802;37.26;-30.42;-11.16;-3.2944214;5.0855837;-0.80684596;
-1.0201449;2.27952;-2.7172813;41.64;-21.539999;-5.46;-3.9097314;4.6710877;-0.89782566;
-1.5839735;2.5079837;-2.3098342;44.34;-16.5;-0.71999997;-4.644751;2.4157495;-1.2018893;
-0.49113566;2.4945445;-1.5786285;45.6;-10.62;6.3599997;-1.2378023;2.4875755;-1.448492;
-1.0586295;3.2685108;-1.7478381;43.92;-6.7799997;13.799999;-1.3599066;0.34237084;-2.5330653;
-0.21502456;3.2019265;-1.1149818;40.32;-3.06;22.02;0.19632454;1.2641385;-4.6255975;
-1.2272283;3.7694204;-1.3098478;34.32;-1.5;30.42;-1.7980455;0.1604115;-6.682516;
-0.28221974;3.0223322;-1.4747814;27.24;0.29999998;37.92;1.7788919;2.4516625;-10.096648;
-1.3701707;3.191542;-1.0795516;20.64;0.78;41.1;1.352724;2.9759927;-8.736741;
