gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
0.037797287;-0.21586451;0.063224554;9.059999;9.24;-44.76;-2.597709;1.352724;8.832509;
-0.08559749;0.11400273;-0.22815818;10.139999;8.58;-45.66;-0.93373865;2.1212628;8.801385;
0.3114649;-0.24152085;-0.83169305;10.559999;7.3799996;-45.239998;3.5529952;3.928885;11.557111;
0.8588002;-0.12423472;-2.7430904;10.32;8.34;-46.32;4.805163;4.8937483;12.586617;
1.2699125;-1.1254429;-2.2763894;8.04;6.8399997;-47.28;3.2872388;7.288249;15.685014;
2.0328832;-1.8749745;-1.8322903;5.16;5.16;-48.0;1.3910311;9.347262;17.925987;
2.6296985;-1.3087025;-1.8341229;0.29999998;-0.48;-48.539997;-5.8876414;9.004891;18.210897;
3.5093446;-1.578094;-0.053450707;-4.8599997;-5.8799996;-47.16;-8.104672;7.8963766;18.90761;
3.524616;-0.82123196;0.16584991;-8.28;-12.9;-45.6;-9.038411;6.8165917;15.282788;
4.004145;-0.34231362;0.4841107;-9.599999;-21.539999;-41.94;-9.632173;6.61069;16.511013;
4.124486;0.6026949;0.49205196;-11.34;-29.58;-36.36;-9.514857;4.699818;12.000038;
3.9717696;0.94172513;0.82802784;-11.219999;-36.6;-30.119999;-7.3361335;4.4364557;10.151714;
3.8795288;1.7254653;0.64721173;-9.78;-41.399998;-24.72;-6.119879;3.0669725;7.7814546;
3.5288923;1.9685897;0.9221011;-9.42;-45.66;-17.039999;-4.1659107;2.6384103;4.8937483;
3.3841171;2.0418935;0.7724391;-11.16;-48.059998;-9.48;-1.2617443;2.15957;2.087744;
2.4073436;2.6503153;-0.15057829;-11.34;-48.239998;-2.8799999;-0.7422025;2.054225;0.20829555;
2.0457113;2.6411521;0.016798794;-12.24;-48.78;3.12;-0.9768343;1.1444284;0.15083471;
1.4238505;3.132288;0.01740966;-14.7;-48.12;6.42;-0.8714894;0.9672575;-0.7541735;
0.9846384;3.2257502;0.17073683;-15.599999;-47.28;7.8599997;1.2066777;1.13964;2.3894134;
0.9376018;3.7144425;-0.5531385;-18.359999;-45.42;6.6;2.767697;0.78769237;1.448492;
0.12515102;3.726049;-0.9941832;-19.199999;-45.84;4.5;2.8395233;1.5705963;3.596091;
-0.5406921;3.9282453;-1.0754282;-18.18;-45.539997;1.3199999;3.904943;2.2960393;2.5785553;
-0.7764861;3.9404626;-1.7559321;-16.68;-46.379997;-2.1;5.633856;3.1771057;4.3742065;
-1.9139172;3.2123113;-1.7699821;-9.599999;-46.14;-7.3799996;5.334581;3.8905778;4.3287168;
-2.6909378;2.8793898;-2.680782;-3.4199998;-45.18;-13.62;6.830957;4.865018;7.9562316;
-2.9560533;2.6356544;-3.025921;0.65999997;-44.34;-18.24;4.9036245;4.297592;7.910742;
-3.4942255;1.1744648;-2.9562824;11.94;-37.92;-24.72;5.040094;6.455067;17.396868;
-3.378772;0.15981762;-3.2830954;18.84;-32.52;-30.179998;-0.35194764;6.04087;13.975255;
-2.31831;-0.9177487;-2.9434543;24.06;-22.68;-33.719997;0.272939;7.25473;15.38095;
-2.1319962;-1.115669;-4.0869937;27.119999;-15.66;-37.98;-5.7248354;7.4917564;16.171038;
-1.066647;-1.7900642;-2.8609874;27.66;-8.04;-40.8;-10.108619;6.926725;15.615582;
-0.5602398;-1.1908054;-2.2721133;23.76;-1.5;-42.12;-8.830115;5.4830213;12.105383;
-0.06910413;-0.8169559;-2.132836;20.88;1.92;-44.579998;-6.809409;4.6351743;10.163686;
-0.021456642;-0.55489475;-1.7308867;18.84;4.8599997;-45.059998;-6.2635307;4.0222588;9.696816;
0.27175868;-0.18287778;-1.4914275;16.92;6.7799997;-45.3;-5.68174;3.8139634;10.015245;
-0.0031306844;0.18364136;-1.0858129;16.08;6.72;-45.78;-5.0927663;3.514688;10.012851;
0.32734743;-0.22808181;0.11759156;15.66;6.8999996;-46.14;-2.3654714;2.7988217;10.118196;
0.41592288;-0.087582804;-0.24770586;15.42;6.8999996;-46.2;-1.8195933;1.8890251;9.9434185;
0.37377316;-0.20486893;-0.48472157;14.04;6.48;-46.5;-1.7022774;1.745373;9.117419;
0.3169627;0.015653422;-0.76083267;13.86;4.68;-45.84;-2.6431987;1.4820108;8.169315;
-0.0110719325;-0.04604397;-0.537256;14.4;5.16;-46.86;-2.8874073;1.8626889;8.789413;
-0.07826711;-0.07964156;-0.39675698;13.92;5.64;-47.28;-2.6024973;2.5330653;9.495703;
-0.014737124;0.016264288;-0.4175264;12.42;5.46;-47.1;-2.4157495;2.7389667;9.586683;
0.11720977;0.1530981;-0.5537493;12.42;5.22;-47.64;-2.3774424;2.6072857;9.356839;
0.020082194;-0.001450805;-0.31795537;13.679999;5.8199997;-46.62;-3.4356794;2.0925324;9.217976;
0.0035888334;-0.02649628;-0.15302174;13.679999;6.6;-46.92;-2.9233203;1.9895816;8.861239;
-0.01656972;-0.0032834008;-0.10170906;12.78;6.18;-47.28;-3.1028855;1.8698715;9.292196;
-0.019624045;-0.011224649;0.00580322;12.66;5.94;-47.46;-2.6671407;1.9871874;8.90673;
-0.01779145;0.044364087;-0.06505715;12.0;6.2999997;-47.46;-2.4396915;2.0829554;9.387964;
-0.034895677;-0.027107146;-0.052839845;11.759999;6.42;-48.0;-2.6048915;2.0446482;9.232341;
