gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.20586158;-0.22014056;-0.21945333;-12.84;1.92;-43.62;6.644209;1.9201498;6.857293;
-0.34208453;-0.22869268;-0.18707748;-12.48;2.28;-45.0;7.10629;1.9776106;6.20607;
-0.43371433;-0.617203;-0.29092458;-13.44;2.34;-45.78;9.320927;2.6431987;4.922778;
-1.1948525;-1.0008264;-1.3941472;-14.099999;2.52;-44.879997;13.242629;2.9161377;-0.47405192;
-2.4630086;-1.7069865;-2.487596;-16.08;3.6599998;-44.34;15.402498;2.0398598;0.18674773;
-2.0744984;-2.2195024;-2.9011517;-21.3;6.48;-41.879997;14.669573;0.5530606;3.6535518;
-1.4532484;-2.6953666;-2.8107438;-27.06;7.62;-38.399998;16.266806;2.6647465;3.9671922;
-1.6627752;-2.5854108;-3.2505667;-33.12;3.78;-33.059998;16.185402;3.7421372;5.296273;
-1.0525209;-2.6868143;-3.421609;-36.899998;-1.5;-27.84;15.670649;5.1909285;7.7311764;
-0.68111473;-2.2054527;-3.7826302;-37.68;-5.94;-23.88;14.818313;5.4710503;8.753501;
0.07086037;-2.022193;-3.834554;-37.739998;-14.58;-20.1;11.509227;6.9961567;9.98412;
0.30787608;-1.2213486;-3.7618608;-36.84;-19.68;-17.279999;8.217199;8.01848;8.913912;
0.42577308;-0.6062074;-3.8198931;-33.96;-29.22;-14.16;8.138191;8.138191;11.236288;
1.5931365;0.41577014;-3.6745071;-27.48;-36.54;-12.54;3.122039;7.4773912;9.301773;
1.8051068;-0.0313832;-3.3110423;-20.4;-43.02;-11.219999;5.7368064;9.251494;4.0653543;
0.30970868;0.7584656;-3.6958876;-12.9;-46.379997;-7.08;3.4141316;9.380781;3.9624038;
0.16432275;1.3479506;-3.843106;-3.54;-46.559998;-7.2599998;0.4309563;6.5173163;5.9379196;
0.86926126;1.6448311;-2.9640708;5.7;-47.039997;-5.58;-1.6950948;5.0376997;2.9472623;
0.539394;1.6961437;-2.7679832;12.78;-45.36;-2.82;0.61530983;5.468656;0.8810662;
-0.29443705;2.2459223;-3.190702;18.66;-44.7;-0.12;-0.8283938;4.630386;-0.095768064;
-0.9089675;2.5873961;-2.6836836;24.779999;-40.68;2.8799999;-2.7964275;3.2944214;-0.22984336;
-1.1215485;2.3955843;-2.3397665;28.32;-37.98;6.18;-0.7086837;3.6846764;-0.866701;
-0.6719518;2.5495224;-1.9952387;30.84;-35.579998;8.58;-2.087744;2.8634653;-1.9273324;
-1.0354166;3.5226307;-1.8510745;32.94;-33.42;11.16;-1.1827357;2.2816741;-2.4756045;
-0.14782938;2.777986;-1.204779;32.16;-31.859999;15.36;-1.5179238;1.8052281;-4.072537;
-0.90285885;3.8775434;-0.9958631;30.96;-29.16;21.119999;1.0773908;2.6839;-5.7511716;
-0.68233645;3.485368;-1.1100949;28.8;-28.5;23.699999;0.7469909;2.2816741;-5.6889224;
-0.82833326;3.4004579;-0.9127854;25.8;-27.66;29.16;3.7852328;3.821146;-7.783849;
-1.4428637;3.4499378;-0.8498663;22.98;-27.96;30.539999;2.4971523;3.3518825;-4.72376;
-0.86193085;3.8329504;-0.37583485;17.1;-29.16;33.899998;7.3600755;5.6075196;-6.476615;
-1.8142698;3.8738782;-1.2139419;12.36;-28.56;34.62;4.462792;4.0581717;-8.870816;
-1.9724839;3.5745544;0.018784106;5.3399997;-31.92;33.6;6.4215484;4.8817773;-4.642357;
-1.9168952;3.3662493;0.20387627;-0.84;-34.02;31.5;8.176498;4.618415;-6.854899;
-3.136182;2.9490283;0.32910365;-6.66;-36.6;27.779999;7.549217;3.5218706;-3.5410242;
-2.742785;2.7535515;1.0994047;-11.46;-39.66;21.24;9.792584;3.7445314;-2.9520507;
-2.6462681;2.2685244;1.4671456;-15.36;-41.219997;14.639999;12.009615;4.5920787;-0.61530983;
-3.1581733;1.060233;1.2056953;-21.48;-41.7;5.4;13.695133;5.4351373;-2.8658595;
-3.6975672;0.36873353;1.4915802;-24.539999;-39.6;-2.46;12.859556;6.098331;2.0254946;
-3.98895;0.21723895;0.35903606;-27.96;-34.8;-9.3;14.662391;5.3513403;2.5953147;
-4.6169195;-0.62086815;0.40790528;-28.619999;-31.619999;-16.56;10.233117;4.1611223;6.718429;
-3.2351422;-0.87010115;-0.50961435;-27.84;-28.199999;-23.16;10.920253;3.8474822;8.298602;
-3.4898732;-1.0057132;-0.819323;-26.46;-23.64;-25.98;11.085453;4.687847;7.3576813;
-2.77455;-0.576275;-1.0752755;-26.76;-20.64;-28.92;9.929053;2.554613;9.893141;
-2.7861564;-0.41683918;-1.403921;-26.279999;-17.52;-32.46;9.251494;2.0015526;9.246706;
-1.9437732;0.2092977;-1.5957327;-25.92;-14.46;-34.68;8.648156;1.067814;9.775825;
-2.01219;0.5635995;-1.6421585;-23.82;-13.38;-36.12;5.3657055;0.90740246;6.5532293;
-1.3787229;0.3271947;-1.1980594;-22.32;-11.82;-39.36;7.305009;1.4197617;9.292196;
-0.6059783;0.39866593;-1.0111347;-22.199999;-8.34;-39.84;5.662586;1.7597382;7.668927;
-0.37018433;0.73586357;-0.8865182;-21.0;-8.58;-41.94;4.197036;3.383007;8.478168;
-0.57543504;0.50190216;-0.4925101;-19.5;-6.48;-41.94;5.600337;2.336741;10.216358;
