gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.17837265;-0.5994879;-1.5271631E-4;-12.179999;-9.66;-37.32;5.3130326;0.62728083;7.7886376;
-0.4642576;-0.46876273;-0.21639901;-12.12;-9.0;-37.92;5.882853;0.7517793;7.0200987;
-0.6188065;-0.50358206;-0.39599338;-12.9;-9.3;-38.46;6.4742208;0.7086837;7.6018896;
-0.8741482;-0.4760931;-1.2041681;-13.38;-8.28;-39.0;9.380781;2.4851813;5.930737;
-1.2834278;-1.3771193;-2.065488;-13.92;-7.62;-38.399998;9.534011;1.115698;5.102343;
-1.6206255;-1.1462122;-2.1277964;-14.219999;-7.2;-40.26;10.467749;0.8834604;4.793192;
-1.1044444;-2.022193;-2.2542455;-16.26;-6.12;-40.92;14.10933;1.3623008;5.9977746;
-1.2425;-1.655063;-2.1589506;-17.76;-6.3599997;-41.46;12.830826;2.456451;5.672163;
-0.5204572;-2.0472386;-2.519361;-20.279999;-7.14;-39.96;14.324808;3.4763808;6.728006;
-0.83077675;-1.7436385;-3.0330987;-22.56;-8.82;-39.36;15.18702;3.466804;7.3026147;
-0.016493361;-1.6636151;-3.0801353;-23.279999;-11.219999;-39.42;13.364733;3.6607344;8.590695;
0.26633725;-1.3178654;-3.8736491;-23.34;-16.68;-36.54;12.9242;5.6434326;7.561188;
0.408058;-0.934242;-3.8363864;-23.039999;-20.16;-34.98;11.1213665;5.832575;8.988132;
1.0897835;-1.002659;-3.3275356;-18.66;-25.199999;-31.92;9.682451;6.9554553;7.8460984;
1.0036516;-0.5970444;-3.312264;-16.32;-28.26;-29.46;8.284237;8.042423;6.1653686;
0.75747293;-0.12728904;-3.434437;-12.059999;-30.599998;-25.38;6.253954;7.5899186;7.0512233;
0.98715824;0.14760031;-3.2029192;-7.5;-32.28;-23.64;3.8881836;7.084742;7.3145857;
1.0146471;0.7902306;-3.0886874;-4.3199997;-33.54;-20.699999;2.6384103;7.1493855;6.5101337;
1.128879;0.9374491;-2.9940033;-0.24;-34.26;-19.56;-0.581791;7.096713;5.150227;
0.58276546;1.4432455;-2.904206;3.12;-35.76;-17.1;0.06943185;7.1613564;3.8666358;
0.5198463;1.8372536;-2.8290696;8.099999;-36.3;-17.58;-0.8523358;5.897218;3.7684734;
0.6059783;2.1994967;-2.6305385;12.78;-36.899998;-18.42;-1.6208745;5.432743;1.0247183;
0.077579886;2.2648592;-2.6513078;28.199999;-36.239998;-11.94;-2.8921957;4.402937;-0.35194764;
-0.020158553;2.1127539;-2.2292;33.36;-33.12;-7.5;-2.9735985;3.0142999;-1.5011644;
-0.39950588;2.3754258;-1.5590808;38.879997;-27.72;-3.3;-4.970662;1.9440918;-1.4077905;
0.49663344;2.4004714;-1.127199;42.059998;-21.9;1.8;-2.7605145;3.1723173;-2.825158;
-0.11728613;2.501875;-1.3312281;42.78;-18.539999;9.059999;-2.9783869;3.7062242;-5.861305;
-0.57726765;2.5684593;-1.2029464;42.54;-15.179999;15.66;-1.2808979;4.015076;-6.1510034;
-0.16187929;2.3381631;-1.1962268;41.28;-12.96;22.26;-0.29448682;4.3167458;-5.6673746;
-1.496009;2.1939988;-1.2615894;39.059998;-11.58;25.74;-1.745373;3.086126;-10.58746;
-1.9272798;2.4047475;-0.5768095;34.26;-10.44;30.0;-0.59136784;4.122815;-7.0536175;
-1.9553796;2.40658;-0.7276932;31.439999;-12.78;32.94;-2.243367;3.3518825;-5.5716066;
-1.8863518;2.3509912;-0.8425359;26.22;-14.88;35.579998;-0.110133275;5.444714;-9.603442;
-2.606562;2.1371884;-0.50778174;22.32;-18.48;36.66;-0.16519992;5.3513403;-5.63625;
-2.9254336;1.9685897;-0.68676525;18.9;-22.08;35.94;-0.095768064;5.650615;-5.444714;
-3.1312952;2.2483659;-0.08628472;15.9;-25.56;34.02;-0.6488287;6.1270614;-2.2888567;
-2.158187;2.2153792;0.46105054;12.0;-31.019999;30.539999;3.217807;8.578724;-2.779668;
-2.5540276;1.8415296;0.5343544;6.7799997;-35.88;27.779999;2.3918076;9.024046;-1.6089035;
-2.062892;1.4640149;0.6962337;3.8999999;-38.1;23.519999;2.0278888;9.007286;-1.472434;
-2.6407704;1.4970016;0.8098546;-0.12;-41.82;19.199999;3.145981;8.67928;-2.1619642;
-2.8044822;0.6857726;1.0297661;-4.08;-43.32;13.74;3.2489316;7.513304;-0.45968673;
-1.7721201;0.117057055;2.14093;-6.7799997;-45.84;6.2999997;4.1515455;6.2707133;3.775656;
-1.9162843;-0.3930154;1.8580993;-11.7;-44.879997;2.1;7.0775595;7.120655;0.320823;
-1.5253305;-0.8694903;2.5905268;-17.039999;-43.68;-2.82;7.18051;5.684134;3.8738184;
-1.5931365;-0.6923394;2.3974934;-21.9;-41.399998;-4.92;11.595418;8.518868;2.9712043;
-2.0164661;-1.0735193;2.1476495;-27.3;-38.46;-8.5199995;10.8747635;6.7974377;6.3640876;
-1.1728612;-0.7467064;1.8495473;-30.84;-35.64;-10.98;12.507609;8.147768;8.097489;
-0.7293731;-1.0759628;0.8153524;-33.96;-31.74;-11.639999;11.40867;8.190864;4.144363;
-3.01462;-0.716774;0.300393;-35.88;-30.06;-12.719999;9.416695;4.891354;6.455067;
-1.7916678;-1.0667998;0.013897184;-37.2;-27.599998;-14.94;8.755895;3.4979286;9.057565;
-1.1618657;-0.51885366;0.09819659;-36.3;-25.08;-14.82;8.866028;2.3080103;6.670545;
-0.7703011;-0.7234935;0.16417004;-36.66;-24.18;-15.299999;8.928277;2.3295584;5.346552;
-1.4782939;-0.36430475;-0.18402316;-37.5;-24.359999;-14.16;9.514857;2.6743233;5.018546;
-1.6029104;0.45242208;-0.4540256;-37.079998;-22.92;-14.46;9.232341;1.7932571;5.504569;
-1.1313224;0.9209557;-0.60063326;-35.82;-22.439999;-17.64;9.354445;2.219425;6.28029;
-1.2339478;0.6106362;-1.0532844;-34.8;-21.119999;-19.92;8.545205;2.1092918;4.3837833;
-1.7562376;0.19952387;-1.3947581;-30.9;-19.92;-21.359999;9.110237;0.93134445;5.9139776;
-1.9553796;0.37667477;-1.449736;-30.539999;-19.26;-23.64;7.606678;0.62967503;5.933131;
-1.7391334;0.049861874;-1.2799155;-27.42;-17.699999;-26.4;7.1972694;0.89782566;6.5436525;
-2.0451767;0.20563251;-1.1962268;-25.619999;-18.18;-29.16;6.390424;1.1587936;8.655338;
-0.6737844;-0.12423472;-1.0270172;-24.119999;-16.74;-30.96;6.4000006;1.1492168;8.600272;
-0.6096435;0.09750936;-0.7130325;-22.74;-16.74;-31.98;6.095937;1.5801731;6.9315133;
-0.68661255;0.029092457;-0.7600691;-21.9;-16.8;-33.54;5.717653;1.7597382;7.2930374;
-0.2510656;0.09628764;-0.22739458;-20.88;-17.1;-34.739998;4.99221;1.5275006;7.6138606;
-0.09285152;-0.20975585;-0.014202617;-20.64;-16.98;-34.14;6.304232;1.8555063;7.1948752;
-0.0421497;-0.08819367;-0.13454308;-21.72;-16.32;-34.02;7.1350203;2.5091233;6.548441;
-0.40622538;-8.399397E-4;-0.2848159;-21.06;-15.299999;-34.38;7.252336;2.018312;7.439084;
