gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.18745928;0.22716552;-0.17860173;9.66;10.5;-36.239998;-0.8379706;-1.8195933;8.497321;
-0.039629884;0.05551238;-0.28244883;10.98;10.38;-38.219997;-1.0773908;-2.0470424;10.611402;
-0.06834055;0.36949712;-1.0423652;11.099999;10.2;-38.28;2.8107927;-1.460463;9.196428;
0.48204905;0.30046934;-1.8645898;10.139999;11.5199995;-37.38;4.5896845;-0.6584055;14.406211;
1.3189344;-0.15340354;-2.8688524;10.139999;12.0;-38.64;10.5084505;0.09816227;17.047316;
2.0018818;0.7390706;-4.3685265;7.5;12.059999;-39.36;7.7192054;0.81402856;21.297022;
3.1441998;-0.77221;-3.1529045;4.14;10.679999;-42.059998;1.8794483;2.5187001;24.658781;
4.2339835;-1.7520379;-1.4608079;2.28;0.78;-47.46;-2.4181437;6.244377;28.647522;
4.6640325;-2.3427446;-0.9666179;1.26;-15.36;-44.82;-2.018312;8.810962;35.796906;
6.4996824;-0.12530373;-2.235385;1.86;-26.939999;-33.6;-17.87092;0.23463176;37.85592;
7.260821;0.60284764;0.71081805;8.34;-34.079998;-19.8;-26.803986;-9.4143;23.28421;
5.472207;1.2027173;3.181768;7.98;-39.239998;-3.6599998;-19.180548;-15.198991;19.060839;
6.1728697;1.358488;3.032106;1.1999999;-41.52;10.2;-2.822764;-16.156672;10.939406;
4.4422884;3.5178967;0.4835762;-7.9199996;-38.52;22.68;3.7134068;-11.813291;4.1826706;
3.5907423;3.338913;0.5501605;-14.16;-32.399998;31.8;5.444714;-7.889194;2.2505496;
3.011642;3.842877;-0.48220176;-20.52;-26.099998;36.66;8.9641905;-4.0438066;-0.50038815;
2.1955261;3.9082394;-0.7534259;-26.46;-22.38;35.7;7.879617;-0.8523358;-2.4779987;
1.2059244;3.4659731;-0.088804536;-30.84;-21.539999;31.14;7.4654202;1.7932571;-0.023942016;
1.1735485;3.3694563;-0.24274258;-35.46;-20.939999;28.14;7.273884;2.5258827;-1.271321;
0.5577963;2.7482064;0.5238933;-38.879997;-20.1;20.82;9.119814;3.8618474;2.1859062;
0.3299436;2.7970755;0.029703323;-41.64;-18.96;16.92;8.782231;3.8881836;1.0582372;
0.29940033;2.5771642;-0.21586451;-42.6;-18.6;9.48;8.071154;4.232949;1.0773908;
0.10025826;2.5295167;-0.17982346;-42.54;-19.199999;4.2;7.108684;4.5657425;3.205836;
0.088040955;2.9161944;-0.9415724;-41.879997;-19.5;-1.1999999;5.030517;3.1962593;-0.79487497;
-1.0976485;2.4678192;-0.28733575;-39.78;-20.88;-7.08;3.2321723;2.231396;3.2800562;
-0.8300895;2.9833896;-0.78274745;-38.16;-21.66;-13.08;2.825158;1.4556746;1.5634137;
-1.4195745;2.827008;-1.1327733;-34.44;-22.859999;-19.199999;3.5242648;0.39983168;1.3479356;
-2.3768003;3.062802;-1.6367371;-31.199999;-23.82;-26.34;1.0773908;-2.054225;4.333505;
-3.6028068;2.6058748;-1.8151097;-23.939999;-20.22;-37.02;-1.6089035;-5.5237226;7.367258;
-3.829438;2.2082014;-2.5902977;-18.0;-14.219999;-42.48;3.5290532;-7.640197;11.40867;
-4.8636327;1.8227456;-3.5621843;-12.059999;-6.8399997;-44.219997;-4.4603977;-13.32882;14.894927;
-4.4482446;0.24304801;-2.4039838;-7.74;-1.56;-43.98;0.35913026;-11.928212;24.64681;
-3.2546136;3.2057445;-6.6012387;-4.38;6.8999996;-42.78;-3.8714242;-11.229105;26.667517;
-2.0756438;0.995634;-6.2218914;2.04;11.5199995;-41.76;-15.280394;-13.596971;14.655208;
-1.2320389;0.79771364;-3.822413;3.24;16.92;-37.98;-15.359403;-4.271256;20.348919;
-1.0243447;0.16546813;-2.0325778;2.3999999;20.52;-35.76;-8.930672;-2.3104045;13.690345;
0.17539468;1.1776718;-2.1907918;1.8;23.039999;-34.5;-4.501099;-2.0207062;14.571411;
1.3195453;1.6541467;-2.3545036;1.62;23.16;-33.96;-0.4285621;-3.3303347;12.4908495;
1.6842319;1.2680799;-2.20362;1.92;21.48;-36.059998;-3.2441432;-4.9898157;7.012916;
1.1246793;0.7787768;-1.7937294;2.52;19.74;-37.14;-1.4700398;-3.6750996;6.41676;
0.43317983;0.60284764;-1.1266646;1.62;17.52;-39.0;-3.3279405;-4.0797195;5.957073;
0.32383493;0.22105686;-0.39118284;2.7;17.34;-39.12;-0.91937345;-3.0789435;9.5052805;
0.23587035;0.5930738;-0.53656876;2.8799999;15.96;-39.36;-0.41180268;-3.0885203;9.548376;
0.11552989;0.4030947;-0.2354122;3.06;14.94;-39.239998;-1.3503298;-3.3494883;9.122208;
0.2664136;0.2008983;0.029092457;3.6599998;15.179999;-40.32;0.4237737;-3.1124623;8.901941;
0.06116288;0.2186134;0.041309763;4.2599998;13.44;-40.559998;0.25857377;-3.4644098;10.175656;
0.20777054;0.109268524;-0.022220224;5.46;14.04;-39.899998;0.33997664;-3.3446999;9.134179;
-0.014584408;0.104992464;0.104228884;4.98;13.62;-40.44;0.11731588;-3.490746;8.624214;
0.0129045285;-0.10392345;0.069409564;5.4;13.44;-40.5;0.17956513;-3.074155;9.598654;
0.014737124;0.0603993;-0.009392053;5.04;13.98;-39.36;0.15801731;-3.2345665;9.409512;
