gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.15607607;0.22403483;-0.013744468;-12.12;23.519999;-51.6;0.062249243;2.9113493;8.198046;
-0.23060162;0.34315357;0.11026118;-12.059999;25.68;-49.5;0.4357447;2.3247697;11.276989;
-0.019242255;0.79702646;-0.35216382;-13.139999;26.099998;-50.1;0.021547815;3.655946;8.681675;
-1.0027353;1.0578659;-0.5439755;-9.12;29.82;-49.44;1.127669;2.5091233;8.435072;
-0.7846564;2.3015876;-1.071763;-7.14;35.76;-47.64;1.1611878;1.8219875;12.203546;
0.7174612;-2.232865;-0.063224554;-3.1799998;38.82;-45.66;1.508347;2.1332338;6.1653686;
-0.22876903;-0.5768095;-1.0192287;-6.6;38.46;-46.2;11.765407;5.868488;9.639356;
0.3943135;-0.86330533;-3.8200457;-9.54;37.2;-45.18;11.751041;4.7788267;12.917017;
0.9288206;-1.186453;-4.7204614;-15.54;32.04;-42.78;7.664139;3.3758245;19.618687;
2.762638;-1.7203492;-3.7290268;-16.38;24.42;-40.32;4.2999864;3.3135753;19.987394;
2.79929;-1.3965907;-3.9654317;-17.64;15.36;-39.059998;1.4939818;3.6607344;17.921198;
3.6978729;-1.5230398;-2.4767532;-16.74;9.36;-38.28;-2.0446482;5.0472765;21.270687;
4.1157045;-1.4772248;-1.774869;-18.539999;0.0;-33.84;-1.6711528;4.546589;17.892467;
4.253149;-1.3196217;-1.5225816;-17.82;-6.66;-28.859999;-0.7685388;6.28029;17.61474;
3.855476;-0.96593064;-1.9013181;-16.56;-13.5;-20.279999;-3.5865142;6.6896987;10.697593;
3.926947;-0.8168796;-1.5690074;-13.139999;-19.439999;-11.639999;-3.799598;6.9099655;12.098201;
3.7345247;-0.27137688;-1.3863586;-10.139999;-21.539999;-3.9599998;-5.600337;7.642591;7.8844056;
3.0418036;0.54412824;-1.6465873;-6.54;-22.56;4.5;-6.739977;7.0560117;6.9434843;
2.957504;1.3529139;-1.7107282;-2.52;-20.58;11.04;-9.26586;4.3239284;6.524499;
2.0295997;2.5776987;-1.42973;-1.02;-17.52;18.359999;-8.332121;1.328782;5.5069633;
1.4486669;3.549585;-1.4272866;-0.78;-15.059999;23.58;-7.448661;-0.641646;4.829105;
1.416902;4.0364447;-0.6392705;-2.9399998;-14.099999;25.619999;-5.4016185;-2.4468741;3.2441432;
0.8604037;4.130518;-0.183565;-7.8599997;-12.059999;27.06;-0.16998832;-1.6089035;1.0845734;
-0.014966198;4.873941;-1.361924;-12.719999;-11.46;26.46;2.7365725;-0.050278235;2.2720973;
-0.5458081;4.5636215;-0.7974846;-17.46;-11.759999;23.1;3.406949;1.2090719;0.7422025;
-1.0051788;4.501924;-3.174972;-20.699999;-13.44;18.66;8.095096;3.7014358;-1.9081788;
-3.0143147;4.7627635;-3.8200457;-19.5;-17.64;9.9;3.8235402;5.198111;1.2473791;
-2.2721133;3.895335;-2.849381;-15.36;-22.199999;2.6399999;3.3758245;5.981015;3.4524388;
-2.6899452;2.8678596;-1.9978348;-7.44;-22.56;-6.8999996;2.6791117;7.379229;3.6248214;
-3.8835757;2.4952319;-1.6148223;-1.92;-21.779999;-12.36;1.0342951;6.479009;4.608838;
-3.2861495;1.4011722;0.35033122;3.0;-18.18;-19.74;3.442862;9.514857;8.533235;
-3.4681873;1.0920744;-0.9056077;5.22;-14.5199995;-24.6;8.391976;12.1484785;7.328951;
-3.275765;0.24602598;-0.79198676;7.3199997;-11.219999;-30.539999;6.7471595;10.637737;10.685621;
-2.7608054;-0.7075347;-1.5989398;9.0;-5.58;-35.7;7.6737156;10.163686;9.651326;
-2.9642236;-1.1681271;-2.1413882;11.099999;0.71999997;-39.96;0.9959879;6.4957685;11.174039;
-1.6526959;-2.0532708;-1.1023064;10.2;7.5;-43.739998;1.6711528;7.702446;13.946525;
-1.5066991;-1.8913915;-2.1835377;5.94;12.24;-46.86;2.7581203;7.4342957;12.165238;
-1.7620409;-2.1668918;-3.0320296;0.24;18.06;-47.94;-0.7517793;4.1012673;11.0734825;
-1.280679;-1.9836322;-2.3655756;-6.12;21.96;-46.5;-2.6240451;3.071761;14.808736;
-0.6960809;-1.8571831;-1.7974709;-12.0;23.1;-44.04;-1.6807296;3.6367924;12.54831;
-0.7528914;-1.3947581;-1.7974709;-14.58;22.5;-42.54;1.0079589;3.763685;12.8332205;
-0.99173975;-0.8516989;-2.3802364;-17.88;22.26;-40.2;-1.4077905;2.4372973;10.371981;
-0.4156938;-0.9305005;-1.3949108;-18.3;22.08;-39.96;-1.30484;3.1890767;11.552322;
-0.24037547;-0.4644103;-1.0045679;-19.92;21.06;-38.7;-1.1492168;3.7014358;10.661679;
0.03940081;-0.42959097;-0.73945236;-22.199999;21.24;-38.46;-0.36870706;3.964798;10.767024;
0.0290161;0.0016798794;-0.6026186;-21.18;20.82;-38.64;0.04070143;3.7014358;9.59626;
0.09254608;0.07376198;-0.4279111;-21.3;20.46;-37.98;-0.50757074;3.1723173;9.32332;
0.1554652;0.13973543;-0.07360926;-21.359999;18.72;-38.46;0.9576807;3.4237084;9.22037;
-0.03940081;0.2875648;-0.05467244;-22.32;18.72;-37.8;0.7445967;3.169923;8.909123;
0.08460484;0.17455475;0.076052725;-20.34;18.42;-38.94;1.5801731;3.3135753;9.196428;
