gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.19379699;0.10629055;-0.019013181;-41.04;-7.8599997;-16.14;7.850887;-0.11492168;4.0677485;
-0.14920384;0.032986723;0.1764637;-40.98;-8.4;-15.36;9.045593;0.46447513;4.173094;
-0.7246389;0.01160644;-0.48143816;-40.98;-7.7999997;-16.14;12.181997;2.2936451;2.4660277;
-1.6439911;-0.0842994;-1.8216765;-40.26;-8.5199995;-16.199999;15.098434;4.6782703;-1.5993267;
-1.9964603;-0.7678576;-2.2657754;-39.12;-10.679999;-17.16;16.063297;7.666533;1.4293385;
-0.7667886;-0.8552113;-3.2437708;-37.62;-13.799999;-16.68;19.656994;10.431836;2.4396915;
-0.9219484;-1.382388;-4.1136427;-35.82;-18.359999;-15.54;21.119852;10.822091;3.7062242;
-0.24449882;-1.6749926;-4.852179;-33.239998;-25.56;-14.16;22.146965;9.641749;8.739136;
0.52274793;-1.7373008;-4.901659;-26.939999;-34.02;-10.32;19.759945;8.420707;13.762171;
0.3211624;-1.0476339;-5.4581575;-15.179999;-40.86;-7.7999997;19.103933;9.038411;14.370297;
-0.088728175;0.9682214;-5.981058;-0.65999997;-41.399998;-6.8999996;15.87655;3.4883518;21.404762;
1.8086193;2.660929;-5.30483;13.5;-39.899998;-9.12;10.834062;-3.2704794;19.558832;
3.0303497;2.9077187;-4.1655664;25.68;-35.76;-2.3999999;9.622596;-4.8027687;12.696751;
2.5276077;3.6511416;-3.577914;33.719997;-30.3;7.08;8.897153;-4.6782703;7.058406;
1.8782579;3.7739255;-3.4545193;36.12;-23.46;18.72;6.7351885;-4.9179897;1.6591818;
0.46043968;4.7177124;-3.0886111;36.48;-12.719999;30.779999;5.150227;-5.0257287;-2.3104045;
-0.5823073;4.904026;-1.9475148;30.72;-9.54;37.739998;3.3327289;-3.9743748;-1.5514427;
-0.17058411;5.15387;-1.1845441;21.9;-7.3799996;44.879997;6.2132525;-1.1180922;-1.922544;
-1.5271631E-4;4.9980993;0.23755023;11.04;-6.8399997;49.92;9.093477;-0.7661445;-1.6041151;
-0.89934635;5.4776287;-0.85834205;-1.02;-6.2999997;49.86;11.535563;1.6112977;-8.114249;
-2.1412354;4.540561;0.30413455;-13.08;-9.059999;46.5;6.7136407;0.20350714;-6.6968813;
-1.8364136;4.6975536;0.9687559;-23.22;-12.12;40.739998;11.59063;3.2393548;-5.0616417;
-2.6543622;3.6926804;1.2332605;-33.18;-13.86;31.74;10.903494;2.966416;-4.189853;
-3.0117183;2.9266553;1.5368606;-38.64;-12.719999;22.74;15.029002;2.7341783;-4.39336;
-3.494302;1.564426;2.224084;-42.78;-12.84;13.44;12.945748;-0.44532153;0.3878607;
-2.605493;0.52290064;2.858773;-46.62;-11.82;7.68;16.539743;0.6536171;-0.7326257;
-2.9310842;-0.6420194;2.7127762;-46.68;-6.06;6.72;16.750433;0.19871874;-0.06703765;
-3.9695551;-0.7965683;2.6400833;-44.04;-1.8;8.34;18.163013;-0.11492168;0.045489833;
-8.094728;0.26267207;1.970575;-42.059998;-1.9799999;9.96;15.625159;-5.0807953;3.799598;
-6.39469;-0.17104226;1.9858465;-40.559998;-6.72;5.2799997;19.628263;-4.5178585;18.033726;
-3.095407;-0.54733527;0.4311945;-50.399998;-2.1;-3.1799998;11.298537;-0.5722142;8.810962;
-2.6085472;0.1881465;0.72929674;-52.92;8.58;2.9399998;13.596971;1.4508862;9.488521;
-1.8278615;0.8533788;-0.9389762;-48.059998;7.2599998;5.94;11.954549;1.4317327;5.954679;
-1.54442;1.2754866;-1.1442269;-47.52;3.84;4.2599998;9.912294;-0.45250413;5.621885;
-0.59757894;1.03786;-1.3598624;-48.12;1.92;1.5;9.929053;-0.80684596;3.821146;
-0.48090366;0.75686204;-1.121625;-47.94;-1.0799999;-1.4399999;8.545205;-1.2545617;2.4636335;
-0.29031372;0.6774496;-0.96218914;-48.539997;-4.56;-3.1799998;8.629003;-1.7142484;3.4332852;
1.1580478;-0.029321533;-0.34216088;-47.46;-5.7599998;-4.92;8.6457615;-1.448492;0.9911995;
0.24846944;0.048258353;0.00908662;-48.059998;-7.7999997;-4.74;9.325715;-1.1013328;-0.59376204;
-0.7851145;0.44409904;-0.14729488;-47.579998;-7.08;-4.74;10.161291;-0.47165772;0.25857377;
-0.9451612;0.1685988;-0.22059871;-46.98;-7.56;-6.2999997;9.591472;-0.92176765;1.8866309;
-0.8174904;0.27977628;-0.122860275;-47.399998;-7.7999997;-6.2999997;9.747094;-0.2633622;2.6048915;
-0.5346598;0.1282817;-0.14485142;-47.34;-7.7999997;-7.68;9.387964;-0.29927522;2.755726;
-0.34406984;0.0580322;-0.06421721;-47.46;-7.74;-7.56;9.31135;-0.36391866;2.4013844;
-0.37033707;0.10995574;-0.06299548;-46.079998;-8.28;-8.34;9.785401;0.14604631;2.5809495;
-0.49189925;0.036651913;-0.10209085;-46.559998;-8.58;-8.5199995;9.502886;0.0;2.7724855;
-0.3941608;0.07086037;-0.15890132;-47.52;-7.5;-8.22;9.660903;-0.033518825;3.2034419;
-0.2518292;0.13622294;-0.17172949;-46.02;-8.34;-8.34;9.727941;-0.12689269;3.3973722;
-0.16264287;0.07513642;-0.27618745;-46.5;-8.28;-9.78;9.92666;0.24660277;3.1435869;
-0.22128594;0.23335053;-0.33910656;-47.219997;-9.24;-9.3;9.438242;-0.021547815;3.095703;
