gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.3016147;0.065209866;-1.0377837;-5.58;-23.039999;-37.2;2.0278888;3.0909145;7.379229;
-0.63209283;-0.23839016;-2.106187;-3.1799998;-22.56;-38.34;2.906561;2.4995465;9.536405;
0.10522154;0.13790283;-1.2210432;-1.3199999;-21.72;-38.52;-0.095768064;1.5179238;11.64809;
0.31413746;-1.3672692;-0.69508827;-0.12;-21.3;-39.059998;3.976769;4.1180267;8.174104;
-0.14584407;-1.7521143;-1.9015472;0.59999996;-21.48;-39.18;7.9083476;6.548441;10.649709;
0.73563445;-1.2573134;-2.0890827;-1.92;-19.74;-39.42;8.250718;5.885247;14.135666;
0.8895725;-1.6568192;-2.111074;-4.38;-22.439999;-40.62;6.8956003;5.4758387;11.456554;
1.4179709;-2.2554672;-2.2008712;-6.3599997;-29.279999;-36.36;6.4574614;5.3800707;14.722545;
1.8748982;-2.5040894;-2.3804655;-3.0;-33.899998;-31.38;3.8857894;5.016152;15.895703;
2.129018;-1.5737416;-2.3218224;0.06;-37.02;-28.019999;1.4077905;4.747702;15.488689;
2.6629143;-1.617724;-1.9094884;4.08;-39.12;-23.58;0.29688102;5.0592475;15.402498;
2.4405594;-0.6488916;-1.6950747;6.6;-41.16;-19.74;-1.091756;5.4638677;11.679215;
3.0245466;-0.6574437;-1.0011318;10.26;-41.7;-15.179999;-0.32561144;6.7471595;9.98412;
2.4570527;0.07620544;-1.5545757;13.98;-43.2;-9.059999;-0.20350714;8.044817;7.192481;
2.67391;0.2863431;-1.6633097;18.359999;-42.66;-4.2599998;-2.2936451;8.186075;6.857293;
2.8718302;0.71883565;-1.1379656;22.8;-41.1;2.1;-3.4476504;8.32015;5.976227;
3.0337095;0.9265299;-0.90644765;24.779999;-39.66;8.5199995;-2.1092918;8.880393;3.9815574;
2.4350617;1.6216946;-1.7243962;27.3;-37.5;14.759999;-1.6639702;7.6952634;2.9496565;
2.3049474;2.5129468;-1.6107754;28.8;-32.34;22.26;-4.027047;5.255572;2.2146366;
2.496759;2.1586452;-0.86124367;27.96;-30.3;28.439999;-2.0398598;4.8722005;0.25617957;
1.6317738;2.8703032;-1.285795;22.619999;-26.519999;35.88;-0.91458505;4.156334;-1.9871874;
1.0221303;2.5954137;-1.0298425;15.96;-23.16;40.98;-0.770933;3.193865;-2.2481554;
0.7881689;3.7157407;-1.0634401;9.84;-20.4;43.98;1.2497733;3.0382419;-1.1324574;
0.5645922;3.6742017;-1.1898892;2.6399999;-19.02;44.399998;0.6847417;1.5586253;-2.719813;
0.3831652;3.690695;-0.41592288;-5.52;-18.539999;45.42;2.6312277;2.042254;-1.8195933;
0.5028948;3.5031595;-0.7421249;-14.4;-17.4;44.28;5.2603602;2.8754363;-2.80361;
-0.22586742;3.6021197;-0.37743837;-22.08;-17.34;40.26;6.13185;3.7445314;0.14844051;
-0.13545936;3.3272302;-1.07749;-29.64;-17.82;34.2;8.420707;5.0233345;-2.9472623;
-1.1323915;2.9741502;-2.0976348;-34.68;-20.16;29.82;7.3241625;4.934749;-2.6144683;
-2.000431;3.4316883;-2.6883416;-36.54;-25.92;20.34;8.317756;6.7304;2.5139117;
-1.9332358;3.1622968;-1.9100993;-36.42;-30.359999;13.799999;4.829105;5.6913166;0.82121116;
-2.1054997;2.503784;-2.2973878;-34.8;-35.219997;3.84;6.658574;6.3736644;0.78529817;
-3.0462322;1.9234619;-1.892995;-32.46;-37.92;-2.58;2.980781;6.122273;4.015076;
-2.9643762;1.0896308;-0.8618545;-27.42;-39.96;-13.139999;3.4452562;8.57633;7.228394;
-2.8715248;0.76342887;-0.57169354;-25.32;-38.82;-18.96;5.574001;10.130167;8.834904;
-2.8819096;0.25579983;-1.1288027;-23.939999;-36.96;-25.74;2.6168625;8.121431;9.653721;
-2.5819747;-0.034972034;-0.8783479;-21.9;-33.6;-29.939999;1.1133038;7.520487;10.144532;
-2.2533293;-0.3727805;-0.91011286;-20.279999;-30.539999;-33.719997;0.30645782;7.1398087;10.92983;
-1.8587102;-0.38072178;-0.7402923;-20.22;-28.14;-36.66;0.93373865;7.072771;11.966519;
-1.5795448;-0.5676465;-0.87407184;-19.56;-25.32;-39.12;0.7374141;6.098331;10.788572;
-1.4763086;-0.61468315;-0.9895253;-19.8;-22.98;-39.66;0.94092125;5.6410384;11.825261;
-1.2350168;-0.5749769;-1.335275;-19.98;-22.199999;-40.079998;1.0702082;4.673482;10.88434;
-0.88254756;-0.48456886;-1.5429692;-19.38;-20.34;-41.34;1.4628572;4.0222588;12.201151;
0.15836681;0.008399397;-1.7427222;-19.02;-20.34;-40.92;-0.08140286;3.5290532;11.250653;
0.15775596;-0.21945333;-1.5038738;-18.119999;-21.66;-40.44;0.36152446;3.4093432;8.949825;
-0.49281552;-1.2304354;-2.0011182;-16.26;-22.859999;-38.94;-0.8858546;2.468422;8.976161;
-0.4970916;-0.77350813;-2.2918901;-15.48;-22.199999;-39.48;0.60573304;2.3080103;11.150097;
-0.2680171;-0.29825497;-2.1672735;-15.179999;-23.46;-39.6;-1.6017209;1.0247183;10.369587;
-0.36453384;-0.05024367;-1.5215889;-13.32;-25.08;-39.719997;-2.3439236;1.1851299;9.399935;
-0.2191479;-0.48151454;-0.7616726;-11.759999;-24.18;-40.02;-2.2361844;1.4173675;9.589077;
-0.107359566;-1.1180362;-0.28336513;-12.0;-23.76;-39.899998;-0.22744916;2.6719291;12.869133;
