gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.39202276;0.47998735;-0.6462191;-5.1;-29.82;-35.7;1.7980455;3.6655228;7.8939824;
-0.16905695;1.2490667;-1.6962965;-2.1599998;-28.56;-36.42;1.7860745;2.3678656;10.934618;
0.47784933;0.48609602;-0.8844565;1.0799999;-27.96;-36.3;0.89543146;1.6950948;7.7670894;
-0.082924955;-2.1534526;-1.5160912;3.06;-28.26;-35.04;4.8027687;4.4675803;7.0608;
-1.0370965;-2.605493;-3.1324406;2.58;-27.06;-36.12;8.39437;3.7804444;12.146085;
0.38866302;-2.3080015;-3.0249283;1.5;-24.48;-37.2;7.8963766;4.783615;11.126155;
-0.09330966;-1.4656185;-3.5698202;-1.26;-24.42;-37.62;7.5180926;4.7500963;15.196597;
0.91889405;-1.4967725;-3.1648164;-0.35999998;-30.359999;-36.42;3.9911342;5.4135895;17.636288;
1.9109392;-1.4851661;-2.5887706;3.72;-33.6;-34.02;1.8291701;4.6040497;17.224485;
2.7698157;-1.8639026;-1.4165201;8.94;-36.78;-30.3;2.123657;5.2483892;16.695368;
2.8742738;-1.2756393;-1.263193;9.84;-38.1;-27.119999;-0.5746084;5.672163;16.448765;
3.207806;-0.7643451;-1.0176251;11.16;-40.559998;-22.619999;2.1164744;6.5101337;13.996802;
3.4197764;-0.5719226;-2.0090594;13.08;-43.8;-16.98;0.35194764;5.777508;13.498809;
3.5590537;-0.14614952;-1.3377185;18.06;-44.28;-10.62;-3.4715924;4.896442;9.399935;
3.3544137;-0.0050396384;-0.9559277;23.16;-43.92;-4.2;-1.5059528;7.1852984;7.0057335;
3.1961997;0.5154176;-1.1068115;28.26;-43.32;1.4399999;-2.4372973;7.568371;6.3162036;
3.2774448;0.87766063;-1.1055897;31.019999;-42.42;8.34;-1.9871874;7.230788;5.578789;
3.1931453;1.3223705;-0.9687559;30.9;-39.6;16.74;-1.9967642;6.1773396;3.2106245;
2.9158125;1.6326901;-0.95898205;26.039999;-36.0;20.16;0.5410896;5.1095257;1.3742718;
1.9872974;2.0309741;-0.9748646;26.88;-32.34;32.04;-1.079785;4.7381253;-1.958457;
1.6696475;3.0175216;-2.219197;22.859999;-27.18;37.739998;-0.9528923;3.4644098;-0.8379706;
1.4949399;3.9832995;-1.1391873;17.58;-22.38;42.54;-7.424719;-1.8650831;2.147599;
2.0422752;3.1097622;0.6323219;7.44;-18.119999;45.719997;6.7208233;5.3106384;-3.4811692;
1.100321;4.1335726;-1.580232;0.29999998;-14.88;48.0;6.7854667;3.904943;-1.4652514;
0.9634872;3.3260086;-1.6217709;-10.26;-11.639999;45.6;5.68174;1.3790601;-5.68174;
0.48517972;3.668704;-2.2619576;-16.68;-11.46;43.86;6.2156467;0.9576807;-3.0190883;
0.29153544;3.5837936;-1.7140115;-25.92;-11.82;39.059998;6.320992;1.6759412;-2.27928;
-0.35353827;3.754225;-2.3590853;-31.859999;-13.679999;33.3;6.7567363;1.3599066;-3.7541082;
