gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.54183745;0.035811976;0.20387627;-36.899998;12.0;-29.099998;8.329727;1.9728222;4.876989;
-0.88697636;-0.11568261;-0.5377141;-35.94;12.3;-30.0;8.88997;2.4636335;4.4699745;
-1.6572775;-0.26045766;-0.81382525;-35.76;13.32;-28.8;9.356839;1.6543933;2.3870192;
-0.7067711;-1.9104047;-0.9213375;-37.26;14.639999;-27.42;11.075876;1.30484;1.7429788;
-2.1001546;-1.8377117;-1.2169963;-39.96;13.98;-23.82;13.051093;1.6687586;0.7781156;
-2.0916026;-2.2225568;-1.3984233;-42.3;13.139999;-19.92;15.230116;2.8682537;0.7637503;
-1.9352211;-2.7863855;-1.8840611;-44.82;11.88;-14.04;15.699379;4.2784386;0.8690952;
-1.3298537;-4.0374374;-2.5566237;-46.98;8.22;-7.7999997;22.187666;9.206005;4.4125137;
-1.1722504;-4.44183;-5.120425;-47.16;2.58;0.42;21.555597;10.46296;3.301604;
-2.025629;-3.1571805;-5.3189564;-43.079998;-8.94;10.0199995;17.126324;7.513304;6.8118033;
0.46120325;-2.4736226;-4.9353333;-34.32;-22.98;17.1;13.956101;7.67611;4.2281604;
0.26816985;-1.7265342;-4.2218423;-26.519999;-28.619999;20.76;10.74787;7.7311764;1.7932571;
-0.096516706;-1.4950163;-3.924351;-14.94;-33.0;24.66;8.198046;7.024887;0.7541735;
-0.46731192;-0.87620986;-3.3165402;-7.02;-34.62;25.14;6.0097456;7.1254435;1.3623008;
-0.6597345;-0.21281017;-3.317762;2.7;-36.54;23.64;5.39683;7.652168;3.1292217;
0.27550024;0.09323331;-3.5804338;8.639999;-36.0;22.439999;1.4221559;7.18051;3.0621839;
-1.0732902;0.78473276;-3.4277177;16.02;-34.5;22.439999;-0.24899697;5.6410384;1.2138603;
-0.852157;0.6417903;-3.3794591;20.64;-32.399998;21.3;-1.3263878;4.9299607;1.8579005;
-0.98837996;1.1488085;-2.904206;25.74;-30.539999;20.52;-2.9496565;3.3901896;0.61530983;
-1.4624114;1.5990162;-2.4894285;30.66;-29.76;20.64;-4.0533834;2.2601264;0.007182605;
-1.4288138;1.7596737;-2.1595614;31.38;-27.24;22.02;-6.4000006;1.7525556;-0.2681506;
-1.4202617;2.5342507;-1.7918205;33.18;-25.32;22.74;-4.283227;2.0518308;-0.58897364;
-0.8313876;2.3680954;-1.7398969;33.42;-23.88;25.92;-4.3406878;1.9393034;-2.7485435;
