gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-1.4141531;-0.5652794;-1.0380127;-25.619999;-13.92;-37.079998;10.0751;1.340753;5.669769;
-1.3414601;-0.87315553;-1.3666582;-26.82;-11.759999;-37.98;11.257835;2.0039468;5.1406503;
-1.5216653;-0.72654784;-1.6702583;-27.06;-10.8;-38.1;12.591406;2.9496565;3.2920272;
-0.9963212;-1.1498774;-1.9139935;-27.66;-9.78;-38.16;13.453319;4.015076;4.783615;
-0.883922;-1.2280682;-2.1051943;-28.019999;-11.04;-39.12;14.710574;5.291485;4.6686935;
-0.47952923;-1.3807845;-2.6366472;-29.699999;-12.42;-36.78;15.060127;5.18614;7.582736;
-0.33841935;-1.1010083;-2.9200885;-29.939999;-15.96;-35.52;14.1069355;5.0975547;8.205229;
-0.009773844;-0.7021133;-3.294549;-28.38;-18.0;-34.739998;12.56507;4.7405195;8.664915;
0.5748242;-0.68256557;-3.0758593;-25.98;-21.539999;-31.8;10.733505;4.4125137;8.444649;
0.70188415;-0.36430475;-3.1497738;-22.92;-24.66;-28.74;9.428665;5.2292356;7.484574;
0.8729264;0.09628764;-3.1913128;-19.98;-25.8;-26.58;7.5779476;4.2305546;8.233959;
1.0329732;0.5984189;-2.9206994;-16.619999;-27.06;-24.18;5.2005053;4.711789;5.870882;
1.183246;0.6912704;-2.68796;-14.88;-28.08;-22.56;4.426879;5.0712185;5.813421;
0.96883225;1.3082442;-2.5804474;-12.12;-29.4;-22.32;1.7597382;5.0592475;3.2632968;
0.9596693;1.3766612;-2.5211935;-8.88;-31.619999;-20.64;1.5275006;5.918766;2.6001031;
-0.029321533;3.5360699;-2.505311;-3.36;-34.5;-21.119999;13.235446;-10.71914;2.1092918;
1.0177015;9.789497;0.56123245;1.38;-32.219997;-15.0;-4.8841715;2.669535;-4.2521024;
-3.1453452;4.256891;-3.9683332;-1.62;-30.119999;-3.54;4.7644615;9.17488;-2.5737667;
-0.80573124;5.0210834;-3.1754303;10.98;-29.46;-6.2999997;-9.217976;-0.79248077;4.2185836;
0.5009095;-0.69661546;2.0199788;20.699999;-25.38;-3.0;-10.067918;5.729624;-4.261679;
0.35796702;1.3009139;-0.42714754;21.359999;-27.72;-3.0;2.9712043;16.194979;1.0486604;
0.8020661;1.3565027;-1.1326969;22.439999;-27.24;2.9399998;-3.845088;8.097489;1.8842367;
1.4605788;1.6503289;-0.14676037;23.64;-24.779999;10.08;-5.291485;9.426271;-1.115698;
1.1227703;2.1274145;-0.6769914;23.76;-25.08;16.26;-5.2531776;12.744635;-3.1890767;
0.8741482;1.7327956;-0.8022188;23.88;-21.06;25.14;-4.956297;8.205229;-5.3226094;
0.59437186;1.2801445;-0.41370848;23.22;-20.82;27.779999;-2.4732103;6.7447653;-5.1095257;
0.28527406;2.487214;0.2930626;20.52;-18.6;35.28;-3.1890767;5.8517284;-5.5428762;
0.16920967;2.233705;0.018784106;14.82;-18.66;39.66;-0.45729253;7.4103537;-5.624279;
-0.33841935;2.3687065;0.150731;10.679999;-18.539999;42.6;-1.2066777;6.0791774;-3.8642416;
-0.14172074;2.614885;0.24113905;5.22;-19.26;44.04;0.557849;5.9474964;-1.6567876;
-0.64568454;2.7065148;0.43172902;-0.84;-19.98;45.719997;0.6392518;5.4518967;-3.2680852;
-0.39461896;2.6228263;-0.100334615;-7.3799996;-21.66;46.5;4.5202527;7.5516114;-2.5761611;
-1.391551;2.886109;-0.44791695;-12.179999;-21.6;44.7;1.2306197;5.2627544;-0.7182605;
-0.90224797;2.9362001;-0.6733262;-17.22;-24.359999;41.76;5.564424;8.571542;-1.6232687;
-1.853976;3.5146894;-1.3324498;-21.3;-25.439999;38.28;3.5051112;6.704064;-1.2569559;
-1.9511036;2.511038;-0.7496844;-23.46;-28.199999;32.1;1.4221559;6.1414266;1.5514427;
-2.0146337;2.4768295;-0.9848675;-24.359999;-30.96;26.939999;2.3702598;8.281843;-0.1388637;
-2.765387;2.1084778;-0.15042557;-25.019999;-32.76;20.16;0.45250413;6.0815716;4.908413;
-1.7427986;1.6057357;0.013286319;-25.439999;-34.02;13.2;3.1555579;7.9203186;8.6936455;
-2.352442;2.266692;-0.46929723;-26.039999;-34.079998;5.7;4.1395745;9.155726;3.928885;
-2.6988027;1.4029284;-0.7276932;-25.26;-33.719997;0.48;1.1851299;6.82138;7.3816233;
-2.0555615;0.8610909;-0.7619017;-22.619999;-32.04;-7.2599998;3.572149;8.040029;7.0895305;
-3.2571335;-0.46937358;-1.3843733;-21.18;-31.439999;-11.58;3.0238767;5.3920417;8.595484;
-1.9242256;-1.1846968;-0.61285055;-18.66;-27.24;-19.14;3.0190883;5.705682;9.964967;
-1.7214183;-2.5108852;-0.5529858;-19.02;-23.4;-22.199999;3.98874;5.952285;10.201993;
-2.4306328;-2.0399082;-0.9634872;-21.72;-21.06;-25.14;2.6551697;3.2465374;10.340857;
