gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
0.09659307;-0.05261077;-0.4339434;7.7999997;-5.8799996;-42.84;-0.19871874;1.5346833;10.005669;
0.4124104;-0.17111863;-1.1071169;7.7999997;-6.0;-43.2;0.521936;1.7717092;10.647314;
0.62804586;-0.37087157;-1.1260537;8.7;-6.96;-41.28;-1.0702082;2.4013844;11.332056;
1.3397038;-0.95974565;-0.8468883;8.7;-8.22;-41.46;5.2531776;6.82138;14.351144;
1.7056121;-1.1552225;-2.0008128;8.94;-10.559999;-43.26;6.8118033;10.415076;16.939575;
2.6316838;-1.2138656;-2.5628088;8.5199995;-15.48;-43.8;4.175488;9.857227;21.557991;
3.641444;-1.3543646;-1.5084554;7.14;-24.119999;-44.1;-6.905177;8.305785;18.287512;
3.931605;-1.7905223;0.3730096;0.0;-32.46;-36.54;-8.542811;8.396765;17.581223;
3.8876228;-0.7013497;-0.22563834;-7.2599998;-34.5;-23.58;-9.754277;8.741529;17.851767;
4.8039207;0.6700428;-0.27084237;-7.98;-36.66;-16.08;-16.20695;5.243601;18.325819;
4.5045967;1.8050305;1.1255956;-10.5;-36.78;-2.8799999;-14.34875;1.8507179;11.688792;
4.141132;2.5215755;1.6698765;-12.3;-35.579998;3.84;-10.271424;-0.050278235;12.96969;
3.7068067;3.484299;1.6130661;-20.16;-30.06;13.38;-4.8578353;-2.4779987;8.51408;
2.3433554;3.7726274;1.4078153;-24.48;-27.66;17.46;-3.5098996;-3.3039982;6.8525047;
1.9139172;4.050571;1.1622475;-30.779999;-23.88;16.859999;2.4277205;-3.8139634;5.5428762;
1.502194;4.454353;0.38461602;-33.3;-21.18;15.0;3.25372;-3.347094;3.4811692;
0.8839984;4.477566;0.2868776;-36.84;-19.439999;9.3;3.6774938;-1.151611;4.6160207;
-0.15813774;4.142812;0.4133267;-37.8;-19.38;3.4199998;6.1031194;0.8283938;6.0097456;
-0.35972327;4.263152;-0.45959973;-37.32;-18.6;-5.4;5.964256;1.5562311;3.751714;
-0.5942955;4.0982184;-1.0197631;-33.96;-18.119999;-13.92;6.347328;2.3391352;6.5915365;
-1.3890312;3.7005453;-1.6165785;-28.439999;-19.68;-21.539999;6.277896;1.8339585;6.7734957;
-2.1642191;3.0737975;-1.5151749;-19.859999;-17.94;-28.32;5.126285;1.8818425;8.877999;
-2.6266441;2.2717314;-1.9556087;-12.9;-15.24;-34.5;6.1557918;1.7741034;10.216358;
-3.2821026;1.8325194;-2.593352;-5.3399997;-10.0199995;-37.26;3.4117374;0.62009823;12.474091;
-3.0786846;0.49594623;-2.7595074;0.12;-3.48;-40.2;2.195483;0.78050977;15.376162;
-2.8661034;-0.8839984;-2.4027622;1.62;4.3199997;-40.68;3.0597897;1.8052281;17.983448;
-2.2992203;-0.40569088;-4.810182;0.78;10.5;-40.62;4.5920787;0.8499416;17.84219;
-1.3933072;-0.7746535;-5.9048524;-1.3199999;17.039999;-39.42;-6.680122;-2.8682537;15.960347;
-1.0390054;-1.34398;-4.5536184;-4.38;18.06;-38.399998;-9.792584;-0.94810385;17.657837;
-0.26565003;-1.6500233;-3.1926107;-7.3799996;18.0;-38.46;-8.023269;-0.46208093;13.910611;
-0.10865766;-0.8473464;-3.228652;-10.679999;15.42;-36.96;-7.266701;0.533907;15.05055;
0.2279291;-0.4197408;-2.0716732;-12.42;11.7;-37.2;-9.00968;-0.4309563;9.998486;
0.012293663;-0.4001931;-0.9696722;-11.639999;9.24;-39.0;-4.7189717;0.557849;11.892299;
0.2083814;-0.0959822;-0.6892851;-12.36;9.48;-38.7;-2.597709;0.4285621;9.14615;
0.110032104;0.29191723;-0.8310058;-11.58;7.8599997;-37.86;-1.5179238;0.4357447;9.498097;
0.33788484;0.29008463;-0.5432883;-9.9;7.2;-38.34;-0.6799533;0.39504328;10.230723;
-0.03596469;0.38721222;-0.51213413;-9.0;6.8999996;-39.36;-0.8834604;0.074220255;8.968979;
0.15157095;0.12331842;-0.09735665;-8.28;6.12;-38.28;-0.19632454;0.15083471;9.93863;
-0.045738537;0.1043816;-0.08086329;-7.44;6.2999997;-38.52;0.36631286;0.05746084;8.631396;
-0.086055644;0.10987939;-0.060704734;-7.3799996;5.52;-38.16;0.16280572;0.32321724;10.896311;
0.018402316;-0.038560867;0.08590292;-7.44;5.22;-37.559998;0.05746084;0.23942018;9.098266;
-0.09521862;0.017638734;0.0077121737;-7.74;6.12;-39.12;0.32561144;0.62488663;10.319308;
-0.064064495;-0.00496328;-0.07047858;-7.08;6.24;-39.18;-0.17956513;0.2705448;9.608231;
-0.02313652;-0.064828075;-0.0075594573;-7.2;6.12;-38.94;-0.37349546;0.3878607;10.592248;
0.10086913;-0.013515393;0.112780996;-6.8399997;5.94;-38.16;-0.50038815;0.06464344;10.3097315;
0.024510968;0.09705122;0.021762075;-7.3199997;4.98;-38.7;-0.49799395;0.16280572;9.656115;
0.07765625;0.0139735425;0.12622003;-6.24;5.2799997;-38.64;-0.33039984;0.2681506;9.71597;
-0.0139735425;0.014584408;0.123165704;-7.44;5.2799997;-38.94;-0.15562311;0.2705448;9.098266;
0.03611741;0.03901902;0.061468314;-7.56;5.3399997;-38.7;-0.18435353;0.18674773;10.541969;
0.012293663;-0.01656972;0.115835324;-7.74;5.46;-38.46;-0.5291186;0.016759412;9.289802;
