gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.6417903;-0.88514376;0.52748215;-0.24;-15.599999;-39.239998;5.3776765;2.1212628;7.285855;
-1.1439215;-1.5125023;-0.33567044;-3.36;-13.0199995;-40.2;8.789413;2.44448;5.0496707;
-1.6564375;-1.5406022;-2.019215;-5.1;-12.0;-40.739998;13.395858;2.5234885;5.916372;
-2.6747499;-2.6083946;-3.3447926;-8.34;-10.679999;-42.0;14.811131;0.59855044;3.643975;
-2.931924;-1.6200147;-3.642284;-11.219999;-9.12;-42.54;14.157214;-0.23702596;5.550059;
-1.889788;-2.3701572;-3.303254;-14.099999;-5.94;-42.84;17.04971;1.9201498;7.6138606;
-1.522658;-2.4361305;-3.4999523;-17.46;-5.7599998;-41.879997;18.32103;3.6391866;8.858846;
-0.69737905;-2.7159069;-3.9886446;-23.58;-6.2999997;-39.18;18.510172;4.7070007;11.461343;
-0.4463134;-2.208278;-4.4987173;-27.359999;-11.46;-36.0;17.729662;4.1419687;13.223475;
0.030161472;-1.2388347;-4.7839913;-28.8;-16.5;-33.6;13.714287;3.6487634;15.052944;
0.8303949;-0.46792278;-4.561025;-26.039999;-24.24;-32.34;12.1484785;3.9839516;13.094189;
0.96173096;0.2779437;-4.361883;-22.14;-31.859999;-30.0;9.263466;4.3287168;12.102989;
0.49258646;1.1826351;-4.511545;-12.9;-37.68;-28.019999;9.589077;3.7469256;9.974544;
0.6184247;1.8643607;-4.181678;-2.52;-40.739998;-27.0;3.9384618;2.9520507;10.122984;
0.89392495;2.3414464;-3.433979;7.08;-41.46;-24.359999;1.9871874;2.4037786;9.196428;
1.2341769;2.8600712;-2.9471195;16.859999;-40.559998;-20.58;2.8874073;2.6264393;6.802226;
0.5066364;3.504534;-2.4895813;25.56;-39.18;-15.36;0.7254431;1.4915876;5.650615;
1.0631346;3.4703255;-1.4926492;31.019999;-36.3;-9.179999;0.35913026;1.0031705;4.1946416;
1.4632514;3.9309177;-1.353372;34.559998;-34.14;-2.7;4.261679;2.4971523;0.7661445;
0.09246973;4.4758096;-1.920255;35.64;-32.34;5.22;1.697489;0.47165772;-3.3327289;
0.5054146;3.8606684;-0.5830709;37.68;-29.939999;13.44;3.3518825;1.0366893;-3.6176388;
-1.445689;4.4489317;-1.5806139;33.3;-27.539999;23.16;5.279514;3.1723173;-9.14615;
-2.1408536;4.883257;-1.6832392;30.24;-26.64;27.06;4.2185836;1.2689269;-4.098873;
-2.2111032;4.333478;-0.8512407;26.16;-26.939999;30.539999;4.968268;3.6655228;-6.119879;
-2.792647;4.2772784;-0.6087272;18.84;-30.779999;32.94;5.96665;4.7524905;-3.4332852;
-2.3992496;3.6908479;0.34605515;13.139999;-33.96;31.14;11.061511;8.451831;-1.7621324;
