gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.23701571;-0.33315063;0.034055736;-17.94;-13.799999;-36.66;6.670545;1.2330139;6.13185;
-0.49480084;-0.06681339;-0.17547104;-16.98;-13.2;-38.1;6.763919;0.81163436;6.842928;
0.1740966;-0.099189244;-0.6611089;-17.16;-13.0199995;-37.86;10.273819;2.4253263;7.996933;
-0.7287622;-0.4620432;-1.7087429;-16.8;-13.2;-38.52;11.11179;4.4939165;-0.557849;
-2.4917192;-1.0075458;-2.3690882;-17.16;-12.48;-38.579998;14.478037;4.369418;3.6655228;
-1.110553;-1.8896353;-2.4594963;-16.26;-10.74;-39.84;14.600142;4.6375685;4.187459;
-0.6963864;-2.081447;-2.4393377;-18.66;-11.16;-38.76;15.936405;5.650615;6.5101337;
-0.5308419;-2.1199315;-3.0868547;-19.68;-12.54;-39.0;16.333843;6.048053;7.891588;
-0.21135938;-1.8737528;-3.4411566;-21.359999;-15.059999;-38.04;14.379874;4.9155955;10.201993;
0.28344148;-1.4986815;-3.4729216;-22.92;-17.58;-37.14;13.482049;5.3561287;10.831668;
0.6835582;-0.71310884;-3.6183076;-19.92;-21.539999;-33.899998;11.008839;5.7607484;10.767024;
1.069625;-0.74609554;-3.5944839;-17.16;-23.64;-33.239998;9.464579;6.1893106;9.639356;
1.2003502;-0.19753855;-3.3519704;-12.54;-27.42;-28.32;7.202058;6.036082;8.959402;
1.831374;-0.30016392;-2.7386615;-9.059999;-29.099998;-26.699999;3.5458126;5.832575;5.4111953;
1.1459832;-0.42783475;-2.6946793;-6.48;-31.019999;-22.38;4.644751;8.164527;5.456685;
0.8527679;0.22456934;-3.4588718;-4.14;-33.54;-20.699999;3.799598;6.766313;6.1150904;
0.8979719;1.1103239;-3.526067;0.35999998;-35.76;-19.98;0.32321724;4.213795;6.9674263;
1.7977765;1.3760504;-2.8669434;8.4;-37.44;-18.539999;-0.78290397;4.3718123;4.0797195;
0.8753699;1.9459876;-3.1021264;17.46;-38.1;-13.32;-1.472434;5.1286793;-0.51714754;
0.3481932;1.5171602;-2.487596;27.24;-35.1;-8.88;-3.5362358;4.501099;-1.3718776;
0.5198463;1.8739055;-2.2695172;34.14;-31.74;-5.2799997;-3.821146;3.5577838;0.019153614;
0.75625116;2.2874613;-1.6733127;38.7;-27.0;-0.59999996;-2.0278888;2.8562827;-1.13964;
0.064751714;2.564794;-2.2212586;41.1;-22.619999;6.0;-1.7022774;2.1739352;-3.490746;
0.39767328;2.387643;-1.3562735;42.54;-16.26;13.62;-3.9432502;0.21068975;-2.0231004;
0.6096435;2.579455;-1.2774719;41.94;-14.219999;18.779999;0.31124622;1.4676456;-5.1789575;
0.625526;2.9649107;-1.1540772;39.36;-9.66;26.22;1.1827357;0.9983821;-7.034464;
0.24495697;1.3161855;-1.662317;34.62;-6.12;32.16;0.8523358;1.3790601;-8.9641905;
-0.9578367;2.3650413;-1.4943291;31.56;-3.78;33.66;-0.12210429;0.7661445;-9.897929;
-1.6982054;3.291113;-1.3159565;26.34;-3.4199998;37.02;0.2705448;1.7022774;-7.525275;
-1.169807;3.2373567;-1.1198688;20.76;-5.64;40.5;3.7110126;3.3446999;-7.2810664;
-1.2498302;2.9227612;-0.95615685;12.78;-7.3199997;43.5;4.546589;4.283227;-10.348039;
-2.3652701;2.54769;-1.0581713;8.4;-9.3;43.559998;2.9903579;5.478233;-11.217134;
-3.6474764;2.6032786;-1.0618365;2.3999999;-14.58;42.84;5.2531776;5.5476646;-6.8836293;
-3.1972687;2.4242952;-0.8339838;-0.84;-21.18;40.68;2.3199813;4.4005427;-2.1332338;
-2.175291;2.2807417;0.16417004;-6.8399997;-27.599998;35.34;4.1180267;6.002563;-2.9712043;
-2.2492058;2.1585686;0.86116725;-10.559999;-31.56;30.779999;5.552453;6.878841;-2.2218192;
-2.1410828;1.7987691;1.0621419;-15.36;-33.3;25.8;4.5777135;7.843704;-3.193865;
-2.5650232;1.1475867;1.2081387;-19.68;-35.04;20.58;8.808567;8.198046;-3.6750996;
-3.050661;0.71509415;1.4598153;-22.5;-36.54;14.88;8.025663;5.957073;1.067814;
-2.3280075;0.15920675;1.4982997;-25.98;-37.5;7.62;8.90673;5.858911;0.50996494;
-3.595553;0.1091158;1.2527319;-28.859999;-36.719997;3.6;9.184457;5.8493342;4.2640734;
-2.2278256;-0.20120373;1.7121025;-30.24;-34.32;-3.8999999;10.503662;6.6178727;9.155726;
-2.144137;-0.46509752;0.97784257;-33.18;-31.14;-8.22;11.054329;8.226776;5.1669865;
-2.7525587;0.46036333;0.02611449;-34.2;-28.859999;-10.8;8.959402;6.4622498;8.217199;
-2.3005185;-0.051541757;-0.065515295;-34.38;-26.099998;-16.68;9.143756;5.588366;9.445425;
-2.6676486;1.1115457;-0.57986385;-32.94;-22.8;-20.4;8.090307;4.5202527;7.879617;
-1.2559389;0.6674466;-0.77534074;-31.98;-19.98;-24.42;7.9801736;3.1890767;9.615414;
-1.1472049;0.5043456;-0.9934196;-29.88;-18.6;-26.279999;6.682516;3.3063924;8.03524;
-1.1111639;0.34185547;-1.1241448;-28.14;-17.88;-27.72;6.088754;1.9800048;7.4414783;
-0.73731434;-0.26900977;-0.8358164;-26.82;-17.46;-29.76;5.6530094;1.2976574;7.6856866;
-0.9914343;-0.25495988;-0.68371093;-26.58;-16.56;-28.859999;5.348946;1.0342951;7.656956;
-0.70921457;-0.029550606;-0.50228393;-26.22;-16.44;-29.099998;6.1917048;1.067814;7.7575126;
-0.6585127;-0.39790234;-0.3202461;-26.46;-15.54;-29.039999;5.576395;1.0582372;8.207623;
-0.52656585;-0.096134916;-0.35506544;-26.88;-16.199999;-28.5;5.928343;1.4580688;7.621043;
-0.45020768;-0.2512947;-0.19868392;-26.34;-16.08;-29.82;6.184522;1.5346833;8.068759;
-0.5510005;0.06085745;-0.5328272;-25.92;-15.96;-30.06;6.7112465;1.7429788;7.5540056;
-0.49418998;0.0028252518;-0.44425175;-24.359999;-16.02;-30.72;6.232406;1.3000516;8.233959;
-0.37140608;-0.25312728;-0.4167628;-25.439999;-16.32;-31.199999;4.9515085;1.3144168;5.1047373;
0.23273966;0.198913;-0.38744128;-24.24;-15.299999;-30.72;6.1055136;1.0151415;8.736741;
