gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.42928556;-0.02397646;-0.4977788;-7.44;-26.34;-36.42;1.0989386;2.80361;8.310574;
-0.26007587;0.1226312;-1.0701596;-4.62;-24.84;-38.04;2.2936451;2.657564;10.36001;
-0.29794952;0.5881105;-0.9009499;-4.2599998;-24.24;-37.02;0.6943185;1.5825673;9.5052805;
0.15470162;-0.5371033;-0.63278;-2.1;-23.58;-37.62;3.0789435;3.2130187;8.971373;
-0.22892176;-0.45707992;-1.5735126;-2.1;-23.519999;-37.26;5.882853;4.0773253;10.304943;
0.00870483;-2.3477077;-1.6651423;-1.38;-22.02;-37.68;5.198111;3.2992098;11.300931;
0.2322815;-1.2652546;-1.6962965;-4.3199997;-20.699999;-39.12;5.698499;3.857059;12.770971;
0.5132795;-1.7796031;-1.6620879;-7.2599998;-20.82;-39.3;5.6434326;5.3441577;12.905046;
0.93660915;-1.7295122;-2.1275673;-10.62;-26.58;-37.68;6.148609;5.2268414;12.754211;
1.3495541;-1.9860756;-2.4610996;-7.7999997;-33.719997;-34.02;4.55856;3.9001546;13.520356;
1.3129021;-1.4289665;-2.5771642;-2.28;-36.239998;-29.82;2.2816741;3.2680852;12.256218;
1.7130189;-1.5774068;-1.5753452;1.92;-38.7;-27.599998;-0.32561144;3.181894;12.701539;
1.9097174;-1.158964;-0.59185207;2.82;-39.54;-24.3;0.20829555;5.478233;11.8300495;
2.1760547;-0.701426;-0.95776033;3.12;-41.1;-21.18;2.7126305;7.415142;11.332056;
2.0037906;0.49648073;-1.8508453;5.7599998;-43.62;-16.92;0.6464345;6.2946553;9.352051;
2.4136813;0.6027713;-1.027399;9.9;-44.579998;-13.5;-2.6527755;5.717653;8.210017;
2.6794076;1.0554224;0.42707115;13.44;-45.18;-6.54;-1.4317327;7.084742;8.688857;
3.0526464;0.96745783;0.01656972;12.66;-46.86;-1.38;2.6408045;9.852439;5.1550155;
2.7698157;1.2118039;-1.1428525;13.2;-45.84;7.3199997;1.472434;10.041581;3.2968156;
2.8950431;0.7115053;-0.76655954;13.799999;-44.7;13.259999;1.2904748;10.379164;1.5945383;
2.5205827;1.3724614;-1.0420598;17.4;-42.18;20.279999;-0.2801216;9.67048;0.78290397;
2.823572;1.0731375;-0.58818686;16.92;-39.66;26.279999;-0.7541735;8.640973;0.56982;
2.696512;1.4249959;-0.8410851;16.8;-35.64;31.92;-0.7493851;7.496545;-0.61052144;
2.3373232;2.0236437;-1.153848;13.74;-31.38;37.26;-1.4772224;5.578789;-1.316811;
1.9805778;2.503784;-1.1110876;10.92;-26.519999;41.399998;-1.1971009;3.9073372;-0.6823475;
1.8022052;2.6112962;-1.0121274;3.6599998;-20.16;44.879997;0.2657564;2.8323407;-1.4317327;
1.2377657;3.41886;-1.8337411;-0.59999996;-17.22;45.6;0.6560113;1.4987702;-2.801216;
0.9628763;2.765845;-1.0579423;-8.58;-14.759999;45.96;1.7405846;2.078167;-1.6639702;
0.20662516;3.5984545;-1.5814538;-15.839999;-14.46;44.52;3.8235402;2.5881321;-0.9768343;
-0.98944896;4.4426703;-1.6791922;-24.779999;-15.179999;37.8;4.4101195;3.0550013;-0.6847417;
-0.68462723;3.8690677;-2.2350795;-31.74;-19.56;30.539999;5.5428762;2.645593;-2.4851813;
-1.787239;3.7591121;-1.8429041;-34.98;-24.06;21.96;6.5173163;5.789479;2.0087352;
-1.9026926;3.5532503;-3.1391602;-35.28;-29.099998;14.099999;6.0432644;5.789479;1.0079589;
-2.6699393;3.0187433;-2.4995842;-32.76;-35.94;3.54;3.3997664;5.708076;3.095703;
-2.2099578;2.2154555;-2.4403303;-29.519999;-40.379997;-5.7;3.6391866;6.098331;3.6607344;
-3.201392;1.4133894;-2.260736;-25.98;-42.36;-13.44;1.8315643;7.288249;4.7884035;
-3.8684568;1.4640913;-2.2662337;-20.34;-41.34;-21.42;3.53863;7.2475476;9.251494;
-3.4310775;0.5056437;-2.024331;-14.82;-39.48;-28.68;-1.42455;8.866028;10.71914;
-2.2191207;-0.7460192;-1.611997;-11.58;-36.6;-35.7;2.566584;8.360851;13.225869;
-2.8299859;-0.07345655;-1.8679496;-8.34;-32.76;-39.12;-2.6719291;6.53647;11.662456;
-1.5673275;-1.055117;-0.7726682;-7.08;-28.32;-43.079998;-3.1866825;5.722441;13.197139;
-0.91736686;-1.4564555;-0.57169354;-7.9199996;-25.08;-43.68;-1.3958195;7.132626;12.95293;
-0.79641557;-1.1852313;-0.8056549;-10.559999;-22.98;-44.7;-2.0853498;6.119879;10.59943;
-0.6070473;-0.99464136;-1.013349;-11.94;-22.439999;-44.7;0.9720459;7.633014;10.668862;
-0.7499898;-0.7319693;-2.0487657;-12.059999;-22.68;-44.64;-2.4851813;3.371036;12.004827;
0.06246097;-0.5279403;-1.290071;-11.82;-21.84;-44.28;-2.3558946;3.1723173;10.980108;
0.014813482;-0.61651576;-1.3871986;-10.92;-21.9;-43.68;-1.1109096;3.1627405;10.003274;
-0.11591168;-0.70386946;-1.7598264;-11.04;-23.519999;-43.559998;-0.90979666;0.81881696;10.367192;
0.06918049;-0.31597003;-1.4507287;-9.36;-23.64;-44.34;-1.2521675;0.22266077;9.589077;
0.014813482;-0.54382277;-1.3908638;-7.5;-23.4;-43.8;-0.8595184;0.9648633;8.57633;
-0.20387627;-0.74296486;-1.2534192;-8.5199995;-23.519999;-43.8;-0.46926352;1.0175357;9.119814;
-0.30405816;-0.58169645;-1.0866529;-8.4;-23.46;-43.559998;-0.9792285;0.58657944;9.507674;
-0.21731532;-0.8181013;-0.7549531;-8.76;-22.08;-42.36;-0.19871874;0.9720459;10.474932;
-0.28389964;-0.57925296;-0.95776033;-8.099999;-21.6;-43.68;-0.17956513;1.2545617;10.393529;
-0.67363167;0.024281893;-0.8991173;-8.16;-20.82;-41.7;-1.1827357;1.2689269;6.7591305;
-0.21242839;-0.028252518;-0.8423068;-9.12;-20.64;-41.94;-1.1923125;0.5746084;10.925041;
