gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.24320072;0.057803124;0.10720685;13.44;9.12;-39.3;-0.80924016;0.79726917;9.021651;
-0.048945576;-0.10407617;0.16035213;13.92;8.28;-40.26;-0.5410896;0.7493851;10.204387;
-0.23159428;-0.31299207;0.058948494;14.58;9.599999;-40.379997;-0.6607997;1.4269443;8.633791;
-0.9658543;-0.7570911;-0.18051068;13.0199995;8.88;-41.16;1.7812861;0.12689269;8.65055;
-0.31772628;-2.729575;-0.88361657;11.16;11.639999;-41.7;3.1004913;-0.89303726;7.486968;
-0.9432523;-1.3893366;-0.2098322;5.8199997;12.12;-42.18;5.7032876;-1.079785;4.120421;
-1.3806318;-2.4815638;-1.8811595;1.02;14.7;-42.0;13.984832;-0.44532153;7.022493;
-2.5021803;-1.0936779;-3.6838229;-4.2;17.1;-39.0;16.898874;-0.51475334;6.146215;
-4.178395;-0.47487137;-6.5243464;-12.78;21.119999;-35.76;21.78544;-3.715801;7.5300636;
-3.2944727;-0.16394097;-7.2934256;-23.039999;21.48;-30.42;18.404827;-8.3824;13.28333;
-0.78259474;-1.2757157;-6.434549;-31.14;16.74;-26.939999;18.376097;-4.9658737;16.386515;
-0.08498663;-1.2402855;-6.4064493;-36.36;6.18;-25.14;18.421587;-4.333505;19.573198;
1.0298425;-0.7192175;-6.090021;-39.3;-7.14;-22.32;13.453319;-5.3872533;20.729597;
2.1403954;-0.41867176;-5.1621165;-37.079998;-20.16;-20.88;11.930606;-3.5649664;21.864449;
2.2668445;0.770072;-4.8053713;-29.76;-31.32;-17.699999;11.763012;-2.6647465;18.68016;
1.893606;2.1689534;-4.67037;-20.82;-40.079998;-15.0;8.41113;-1.7262194;16.932392;
1.8606192;3.457879;-4.168239;-10.44;-44.94;-12.9;5.0496707;-4.958691;14.427759;
2.9479594;3.3283756;-2.8701503;1.56;-48.66;-10.0199995;3.1675289;-3.1890767;9.775825;
2.079309;3.5207982;-2.568383;9.42;-49.02;-2.1599998;1.9632454;-1.4460979;5.540482;
1.1471286;3.6704602;-2.3527474;15.78;-46.32;4.3199997;-0.9528923;-0.1388637;1.4891934;
0.3994295;3.5941021;-2.277611;20.699999;-41.76;9.96;-1.5442601;0.6919243;1.2401965;
-0.0978148;3.871435;-1.4083499;23.34;-39.0;11.7;-1.5011644;0.08619126;2.0829554;
0.21189389;3.6515234;-0.5671884;25.14;-37.68;15.0;-0.78290397;-0.21308395;0.82121116;
0.10010554;4.178089;-0.33628133;24.359999;-39.42;22.38;-0.30645782;0.25617957;-3.4644098;
0.40065125;3.7743073;0.3222314;17.46;-41.28;29.46;2.5833437;2.1212628;-2.315193;
-0.8302422;4.4364853;-0.70952;10.139999;-39.78;32.34;4.024653;4.675876;-6.5939307;
-1.6909513;3.7425423;-0.063224554;4.3199997;-40.98;30.3;4.2904096;4.1539397;-1.7717092;
-1.6964492;4.310036;-0.2941316;0.42;-43.32;26.46;6.763919;6.6035075;-4.7261543;
-3.2999704;3.9783363;-0.50610185;-4.38;-45.78;19.98;5.7032876;6.0576296;-3.7828386;
-3.1148782;3.4749832;0.083383106;-6.2999997;-47.039997;10.38;4.9539027;5.897218;-0.48602295;
-3.2272775;2.7987554;-0.05222898;-7.44;-48.6;1.56;5.5117517;6.3856354;-3.0478187;
-3.59624;1.858023;0.895223;-7.3799996;-46.8;-7.3799996;6.232406;5.372888;0.93613285;
-3.0037007;0.47441322;1.9624046;-8.76;-42.12;-17.16;8.509292;5.3513403;4.4556093;
-3.2669837;0.6167448;1.9788979;-11.94;-37.8;-22.92;11.839626;6.6274495;3.4644098;
-2.7361417;-0.052763484;1.7235563;-15.24;-31.679998;-29.4;13.692739;6.002563;6.048053;
-3.3323462;-0.630642;1.4547756;-16.26;-26.039999;-34.38;11.990461;4.879383;5.394436;
-2.9548316;-1.1559861;0.9605856;-18.0;-19.5;-36.719997;14.171579;5.320215;5.346552;
-3.546149;-1.2317334;0.30573806;-20.46;-13.32;-37.62;12.744635;2.3127987;8.700829;
-2.6506207;-1.9873737;0.4541783;-23.34;-5.52;-38.82;11.327268;1.9560628;9.67048;
-4.1704535;-1.3465761;-0.09254608;-28.32;2.46;-38.7;10.939406;2.456451;8.959402;
-2.208965;-1.0441978;-0.46761733;-31.619999;10.0199995;-34.079998;11.765407;3.2321723;16.202162;
-2.3207533;-0.32032245;-1.0143417;-33.899998;12.12;-31.8;8.722376;2.7389667;9.222764;
-1.3500886;0.31009048;-1.2904528;-33.84;14.58;-30.42;8.968979;1.5873557;10.422259;
-0.52053356;0.16226108;-1.3607023;-35.64;13.5;-29.4;7.726388;0.842759;5.2028995;
-0.8644507;0.111559264;-1.3106114;-36.239998;11.94;-29.64;7.7335706;0.8858546;4.8027687;
-1.8461112;0.20013472;-1.2647965;-36.059998;11.16;-28.74;6.8979945;0.61291564;5.882853;
-1.0025063;0.6155231;-0.7870999;-36.239998;10.8;-28.8;8.013692;0.5530606;7.2810664;
-0.6023895;0.19036089;-0.58551437;-36.48;12.24;-28.619999;6.4454904;1.0366893;6.8716583;
-0.38553232;1.137202;-0.34483343;-36.84;12.12;-28.68;6.143821;1.7022774;7.1613564;
-0.40996695;0.5947537;-0.38148534;-36.239998;12.599999;-28.68;7.7670894;1.5849615;6.0193224;
