gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
0.63781965;0.12331842;0.2392301;-29.82;-12.12;-24.539999;7.0057335;4.201824;2.942474;
0.49182287;0.3658319;0.44753516;-28.68;-12.9;-24.24;7.367258;4.5633483;4.807557;
0.8161923;0.82214826;0.4835762;-29.58;-11.94;-24.0;7.108684;4.185065;6.404789;
1.234635;0.72379893;0.6735553;-29.34;-13.679999;-23.76;6.799832;4.7548847;8.36564;
1.5773305;1.5014304;0.6558402;-29.519999;-13.259999;-23.46;7.6114664;6.08636;10.762236;
2.055027;1.8746691;0.29970577;-29.34;-13.799999;-22.08;8.957007;6.7016697;11.518804;
3.2999704;3.2876003;0.29176453;-29.4;-17.16;-21.96;12.289737;5.9379196;13.04391;
4.7617707;3.4500906;-0.3832416;-28.38;-18.779999;-22.26;16.027384;8.078336;9.047988;
4.5137596;3.185586;-1.7204256;-28.5;-26.699999;-21.84;16.496649;13.1277075;1.8674773;
2.0226512;2.2808945;-2.9904144;-19.74;-36.18;-20.1;15.438411;12.179604;1.3479356;
3.2920291;1.8319085;-3.3221142;-7.8599997;-41.34;-14.82;16.415245;10.292973;0.79966336;
3.2040646;0.6333909;-3.732005;5.1;-40.98;-4.74;13.80766;7.771878;-5.782296;
2.87603;-0.46983173;-2.9403236;13.799999;-38.04;4.56;9.708787;6.071995;-4.7764325;
3.541873;-1.7141643;-2.3245714;21.84;-33.059998;12.48;6.2036757;5.408801;-7.1637506;
3.4172566;-2.6829965;-1.1284971;28.14;-27.72;18.48;5.2986674;5.1167083;-7.295432;
3.106326;-3.6499963;-0.6465245;33.42;-21.84;21.0;5.5213284;5.1693807;-6.5699887;
2.2193499;-4.0482802;0.19097175;38.579998;-17.64;20.039999;3.6774938;3.4931402;-3.5075054;
2.1075613;-4.1203623;1.1683562;42.12;-16.56;15.0;4.036624;2.6599581;-2.2481554;
1.9847776;-3.9035053;1.4310282;44.34;-16.14;11.34;3.6846764;2.7150247;-0.9696517;
1.6494125;-3.5510361;1.9038379;43.86;-18.42;5.8199997;1.8363527;2.1021092;0.05746084;
1.7825811;-3.338455;2.1500165;41.7;-21.72;2.76;2.0374656;3.0765493;-0.110133275;
1.071534;-2.9139035;2.6631434;37.559998;-25.68;-0.48;1.2593501;2.9520507;1.3431472;
0.92431545;-2.2376757;3.226972;31.98;-29.58;-2.82;2.4732103;3.9121256;3.9145198;
0.7019605;-1.7563139;3.3845754;22.56;-34.2;-5.8199997;3.5122938;6.2132525;4.4484267;
-0.5472589;-0.94752836;3.457879;15.48;-36.059998;-5.8199997;3.41892;7.656956;4.5082817;
-0.69386655;-0.4967098;3.4603226;7.68;-37.44;-7.14;5.4518967;9.268254;6.902783;
-0.61139977;0.03718642;3.4474943;-0.24;-35.76;-9.48;6.6489973;10.407894;6.241983;
-0.7457901;0.8410851;3.6918404;-7.08;-36.3;-11.34;7.9322896;10.618584;8.521263;
0.07276932;1.226541;3.3693037;-16.26;-33.719997;-15.54;10.118196;13.326426;6.0217166;
0.019624045;1.9754618;3.1255684;-22.74;-30.42;-17.94;11.332056;13.996802;4.944326;
0.74777544;2.241799;2.415132;-26.64;-23.88;-19.98;12.770971;14.274529;2.7988217;
0.65553474;2.7023914;2.038839;-29.58;-19.68;-21.96;13.2546;13.098977;1.8818425;
0.94447404;2.4201717;1.3620005;-29.4;-17.1;-23.58;12.325649;10.822091;0.39983168;
1.1026881;2.22836;1.132315;-29.699999;-15.24;-23.88;12.3950815;7.826945;-0.49081135;
1.4343879;2.1306217;0.95027727;-28.8;-14.219999;-25.74;12.866739;5.2651486;1.9512744;
2.7880654;1.7665459;0.20624338;-28.92;-14.94;-25.74;10.321703;4.5872903;-1.7549498;
1.9279671;1.4134659;0.51411945;-27.539999;-17.46;-24.24;9.514857;4.8578353;-3.490746;
1.733712;0.4330271;0.19585867;-27.42;-17.94;-22.859999;8.588301;4.910807;-2.6743233;
-0.051236324;0.12820534;0.14332426;-27.06;-18.48;-21.42;7.664139;5.1071315;-0.7589619;
-1.1147528;-0.07460192;0.07979427;-26.699999;-19.619999;-21.779999;8.097489;5.159804;1.5107412;
-0.6981426;-0.13019066;-0.0051159966;-27.84;-17.34;-23.88;8.128614;4.94672;3.7110126;
-0.24304801;-0.25297457;-0.035659257;-27.24;-16.199999;-24.359999;8.51408;5.4997807;3.1986535;
-0.37071884;-0.23098342;-0.005726862;-27.779999;-15.9;-25.14;7.759907;5.207688;3.2992098;
-0.29130638;-0.20227276;0.076739945;-27.96;-16.38;-24.96;7.472603;4.9515085;3.8522706;
-0.08544478;-0.1417971;-0.016111571;-27.84;-16.14;-25.56;7.415142;4.8267107;3.9360676;
-0.13675746;-0.023289237;0.09934196;-28.14;-15.36;-24.359999;7.3816233;4.994604;3.6727054;
0.04100433;0.0322995;0.117057055;-28.74;-16.199999;-24.119999;7.7862434;5.219659;3.8714242;
0.11064297;0.053679783;0.09201158;-28.859999;-15.42;-24.359999;8.001721;5.372888;3.2010477;
0.1118647;0.21616994;0.056581393;-28.5;-15.0;-24.119999;6.6968813;5.334581;3.7804444;
0.07948884;0.0017562376;-0.14866933;-28.32;-13.92;-24.119999;8.32015;5.408801;2.6479871;
