gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.7110472;-0.27634016;0.21487185;-13.679999;-22.08;-30.96;4.1371803;3.2034419;9.59626;
0.02076942;-0.5457317;0.49586987;-14.219999;-22.08;-31.8;3.8546648;2.540248;10.254665;
-0.029932396;-0.04604397;0.7334964;-14.759999;-21.539999;-32.52;3.2106245;2.3894134;9.378387;
0.72265357;-1.0148762;1.0462594;-16.32;-20.16;-32.34;1.8195933;1.2210429;10.5563345;
1.2993103;-1.1364385;1.9747746;-18.72;-20.699999;-31.439999;1.9847932;0.1364695;9.081507;
1.2950343;-1.3410783;2.2710443;-23.82;-21.9;-28.68;2.5067291;-0.076614454;11.435006;
2.5124888;0.26977336;2.5392141;-27.9;-21.539999;-24.84;5.5069633;0.92176765;14.150031;
3.0360003;2.197664;2.6290114;-30.96;-20.64;-22.68;6.998551;-0.7781156;18.33779;
7.487986;0.4994587;3.8696785;-31.859999;-21.359999;-22.38;11.839626;-1.3455414;19.276316;
6.6156707;1.096274;0.9851729;-35.88;-22.38;-16.44;20.123863;7.082348;8.054394;
5.353623;0.90262973;-1.0239629;-37.98;-23.76;-11.16;17.5908;7.762301;8.538023;
4.6285257;0.45914158;-2.3275492;-36.84;-27.18;-6.0;18.225262;5.245995;7.9083476;
4.365243;-0.084528476;-2.3672554;-33.239998;-31.619999;0.48;14.710574;2.1380222;5.1286793;
4.5631633;-1.1486558;-1.403921;-29.22;-34.5;7.7999997;10.247482;0.641646;2.4756045;
3.6566393;-1.7491363;-0.66538495;-27.119999;-33.36;16.92;7.621043;1.4820108;-1.3958195;
3.5821137;-2.7350729;0.28695396;-22.74;-30.359999;26.039999;7.726388;2.7006595;-3.241749;
2.2730296;-2.9818623;0.8892671;-18.119999;-23.279999;34.68;6.2755017;2.992752;-3.9576154;
1.8454239;-3.635488;1.4292719;-14.099999;-19.08;38.579998;5.3872533;3.3662477;-5.2292356;
1.0152581;-3.5976145;1.7395915;-6.2999997;-14.34;42.96;4.7620673;3.7421372;-4.000711;
0.8503244;-3.5750124;1.8782579;-0.65999997;-12.54;44.879997;3.0214825;3.3255463;-3.6272156;
0.84482664;-3.3288338;2.3199134;8.22;-10.98;45.239998;2.7006595;4.072537;-4.3143516;
0.88270026;-3.254919;2.6833782;15.179999;-10.5;44.28;1.4197617;3.3446999;-2.767697;
0.915687;-2.942767;2.8874073;21.42;-11.4;41.219997;1.0390835;3.6631286;-6.0097456;
0.43188173;-2.5059984;2.7921124;26.22;-12.54;37.44;1.2186487;4.19943;-4.6255975;
0.12156218;-2.1199315;2.3773348;29.16;-15.9;34.44;0.94331545;4.390966;-5.1191025;
-1.2095132;-1.5335008;1.6809485;30.96;-18.539999;32.219997;-0.8331822;4.232949;-5.84694;
-0.7507534;-2.0600667;1.9674442;32.46;-23.1;27.0;-1.1923125;4.268862;-2.5115175;
-1.1459832;-1.2207378;1.9967657;32.579998;-28.019999;22.26;-2.695871;4.908413;-1.8938135;
-0.52778757;-0.96050924;2.335185;31.56;-33.18;18.6;-1.0989386;6.2036757;-1.4556746;
-1.3658947;-0.48036915;1.83733;27.779999;-37.2;13.44;0.5650316;7.4462667;-2.542642;
-1.4031575;-0.45593455;1.623527;24.66;-40.5;8.5199995;1.436521;8.202834;-3.8618474;
-1.8051068;-0.38690677;1.511128;21.0;-42.12;2.9399998;-0.2801216;6.5939307;-1.3000516;
-1.7605137;0.117057055;1.8831449;16.8;-41.219997;-3.8999999;0.34476504;6.646603;-0.20111294;
-1.9761491;0.49823695;2.1012237;10.26;-40.739998;-8.099999;0.7326257;6.095937;2.4277205;
-1.536937;0.26855165;2.5056164;7.62;-40.079998;-9.96;3.4835634;6.572383;4.6471453;
-1.3286319;1.7999908;2.5459337;3.3;-38.94;-12.179999;4.747702;8.047212;4.687847;
-2.0702224;1.2404382;1.9118555;-0.84;-38.28;-12.78;6.514922;8.176498;4.620809;
-2.4929411;2.297235;2.0566306;-4.62;-36.96;-15.54;8.063971;8.538023;7.4223247;
-2.1007655;2.0357847;1.7432567;-6.6;-36.18;-19.08;8.590695;9.20361;8.12622;
-2.302962;2.3968062;0.79458296;-6.72;-34.02;-25.56;11.430218;12.361563;7.3576813;
-2.1649065;1.2948053;0.45555276;-5.58;-28.98;-30.359999;7.903559;9.873987;8.492533;
-1.2956452;1.3027465;0.5893322;-4.92;-27.24;-35.04;8.032846;9.074324;7.889194;
-0.74464476;0.7615199;1.0511464;-2.04;-23.88;-36.239998;7.7192054;7.168539;8.794202;
-1.0512991;1.0107529;0.62781674;-4.2;-21.359999;-37.44;6.6274495;5.8876414;7.877223;
-0.31520647;1.1066587;1.1665999;-3.8999999;-18.359999;-38.16;6.799832;5.11192;10.544364;
-0.42821655;0.82138467;0.6235407;-2.7;-16.44;-39.059998;6.1294556;5.2244473;7.1015015;
0.07819075;0.26122126;0.63697976;-1.62;-14.759999;-38.52;5.880459;3.8139634;9.285013;
0.018325957;0.36018142;0.2612976;-1.86;-14.759999;-38.879997;6.560412;3.9935284;8.329727;
