gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
1.0720685;-0.20792326;0.84223044;-45.3;-9.179999;2.22;7.5564;0.5410896;5.602731;
1.146594;0.53916496;0.73471814;-46.079998;-7.14;3.72;9.277831;1.472434;5.0736127;
-0.20647246;0.85498226;0.21853705;-46.68;-4.7999997;2.22;8.796597;1.5777789;5.245995;
1.2308935;0.5293911;0.56428677;-48.0;-3.12;0.48;7.3002205;-0.22984336;9.601048;
3.3884695;0.6100253;1.220356;-49.5;-0.59999996;-0.12;8.145373;-0.31124622;11.741465;
5.2564955;0.457309;0.6027713;-49.86;1.4399999;-1.3199999;11.28896;1.8626889;5.794267;
1.8503108;0.5807038;-1.1345295;-50.28;3.1799998;-2.3999999;10.501268;2.3008277;2.657564;
1.3646729;1.5886314;-0.37033707;-49.2;-1.02;-4.7999997;9.627384;0.7086837;6.4239426;
2.1917844;1.9459876;-0.004428773;-49.98;-3.1799998;-7.98;10.927436;1.6807296;7.819762;
3.598607;1.867186;0.047494773;-49.14;-3.84;-12.66;11.657667;3.0430303;5.734412;
2.6682594;1.8891771;-0.46318856;-49.079998;-4.56;-15.299999;10.917859;4.232949;4.4005427;
2.4740043;1.5348753;-0.78022766;-46.8;-8.58;-18.0;9.184457;4.934749;3.0382419;
1.9816469;1.5794685;-0.7673995;-45.539997;-11.46;-20.1;8.703222;5.8517284;5.4973865;
2.379931;1.2153927;-0.91339624;-44.04;-15.599999;-22.5;7.3935943;6.857293;3.620033;
1.8124372;1.24166;-1.0086912;-40.8;-18.9;-21.06;7.937078;8.648156;3.7684734;
2.1832323;0.8476519;-1.1467468;-38.399998;-22.859999;-21.48;6.5460467;9.237129;4.534618;
2.122146;0.8635344;-0.9072876;-36.96;-25.5;-19.5;6.4454904;10.393529;3.4931402;
2.7721064;0.43104178;-1.0648909;-34.739998;-28.98;-17.4;6.6896987;10.345645;2.0111294;
2.519819;0.028481591;-1.1241448;-33.059998;-31.56;-13.2;6.050447;9.636961;-0.047884032;
2.5442538;-0.45288023;-0.95004815;-31.679998;-34.8;-8.639999;5.502175;8.614637;-1.7190368;
2.701857;-0.8841511;-0.6366743;-28.26;-36.059998;-3.6;4.7189717;7.3026147;-2.8179753;
2.339614;-1.1205559;-0.46929723;-26.039999;-37.2;3.6;5.822998;7.0536175;-4.759673;
1.8973475;-1.7393625;-0.28115073;-24.0;-35.399998;10.26;3.3423057;5.8253922;-5.444714;
2.0958786;-1.9788216;0.44516805;-22.08;-35.04;15.36;2.4133554;5.1191025;-4.307169;
2.2901337;-2.2335525;0.86544335;-21.119999;-31.679998;21.42;1.4700398;5.1167083;-6.3497224;
2.0824397;-2.4687355;1.202641;-19.5;-27.599998;27.42;1.6687586;5.2866964;-5.897218;
1.5583172;-2.2616522;1.2893838;-17.4;-22.619999;31.679998;0.7517793;5.028123;-4.7979803;
1.67316;-2.1101577;1.3406965;-14.46;-20.039999;35.64;-0.1412579;5.3250036;-6.6035075;
1.3219124;-2.0185277;1.2820535;-11.4;-16.08;38.399998;-0.8475474;4.8099513;-7.3720465;
0.95356065;-1.8474855;1.2741122;-7.7999997;-13.2;39.66;-1.6041151;4.0462008;-8.224382;
1.0708468;-1.9122373;1.3987287;-4.98;-9.84;40.98;-1.7022774;3.7134068;-7.546823;
0.9450085;-2.0111976;1.5312865;-1.4399999;-7.44;41.52;-2.2697031;3.2034419;-8.377611;
0.32986724;-1.8706985;1.5056301;1.74;-5.8199997;42.239998;-2.3104045;3.2561142;-7.6114664;
0.27550024;-1.9824868;1.6082555;6.2999997;-5.94;42.12;-3.2680852;3.064578;-7.1493855;
-0.008552114;-1.7980055;1.6100881;10.2;-6.3599997;41.219997;-3.1148565;3.3997664;-5.303456;
0.2003638;-1.8224401;1.7615826;12.719999;-7.68;41.28;-3.5673606;3.5098996;-5.076007;
-0.069027774;-1.6440674;1.9350684;16.5;-7.62;39.6;-3.0621839;4.2640734;-5.2531776;
-0.5143485;-1.6697237;1.7542523;19.439999;-10.26;37.32;-2.528277;5.090372;-4.489128;
-0.3652974;-1.4974598;1.8275561;22.859999;-13.2;36.0;-4.3742065;4.3622355;-2.0494366;
-0.0030543262;-1.1669817;2.0987802;23.4;-15.719999;33.059998;-3.1794999;6.184522;-3.2968156;
-0.29626966;-0.9519571;1.9955441;23.519999;-19.199999;30.779999;-1.7501614;6.890812;-2.231396;
-0.49296826;-0.8615491;1.7566957;22.619999;-21.48;30.0;-1.7717092;7.4773912;-3.5051112;
-0.8527679;-0.67157;1.6345227;22.32;-24.3;27.359999;-0.45250413;7.0512233;-1.2449849;
-0.6310238;-0.4760931;1.5618297;20.58;-27.359999;24.48;-0.62967503;6.7447653;-1.0319009;
-1.3267993;-0.34231362;1.6791159;18.66;-29.82;23.039999;-1.340753;6.6370263;-1.1683705;
-0.81122905;-0.5072472;2.058463;17.1;-32.219997;20.16;0.2753332;7.855675;-0.37110126;
-0.6462954;-0.14989106;2.23989;12.66;-36.12;18.06;2.0231004;9.694422;0.33279404;
-1.1374311;0.25083655;2.004707;8.5199995;-37.2;15.9;1.2306197;9.557953;3.6870706;
-1.0213667;0.2599995;1.90086;4.98;-39.719997;13.139999;5.329792;10.472537;0.22266077;
-0.9737192;0.9325622;2.1873558;0.42;-40.559998;12.599999;3.892972;8.300997;4.309563;
-0.63285637;0.5605452;2.0065396;-4.2599998;-40.559998;9.0;5.3250036;9.924265;-0.06703765;
-1.0818423;0.566043;2.1525364;-9.9;-40.62;7.3799996;7.1158667;10.316915;2.6360161;
-1.1539245;0.37056613;1.6479617;-14.639999;-39.719997;4.5;7.91553;9.981726;3.514688;
-0.9401216;0.56909734;1.4683673;-18.0;-38.52;1.4399999;8.265083;10.039187;3.8235402;
-0.79779;0.57092994;1.4928019;-20.64;-38.64;-2.1599998;7.642591;8.078336;4.757279;
-0.8081747;1.3558918;1.0230466;-25.08;-36.54;-4.14;9.2347355;8.837297;2.1739352;
-0.9486737;0.85009533;1.2282972;-26.279999;-36.059998;-7.56;8.478168;6.680122;6.3880296;
-0.6133087;0.6979899;0.9228647;-27.42;-33.6;-11.58;7.5779476;6.4000006;4.781221;
0.10140363;0.8067239;1.2838861;-29.039999;-31.56;-14.34;7.606678;6.318598;6.1893106;
-0.36957347;0.58986676;0.63697976;-29.22;-28.92;-14.88;8.897153;6.3760586;3.8881836;
-0.41050145;0.65522933;0.6021604;-30.9;-27.42;-14.94;9.036016;5.822998;4.570531;
