gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
0.81306165;-0.55428386;0.7481572;-36.42;6.12;-29.519999;7.0416465;2.5187001;5.5716066;
0.55771995;0.16470455;0.7279987;-38.16;5.94;-28.92;6.6777277;2.6743233;6.4574614;
1.5198327;-1.5151749;0.7799222;-37.5;6.12;-28.439999;6.550835;1.922544;8.660127;
2.761111;-0.29649872;1.6497943;-38.579998;4.56;-28.14;5.456685;1.5562311;9.9673605;
4.439158;0.123165704;1.6870571;-38.94;2.22;-28.98;7.4654202;2.8634653;9.952995;
4.80079;1.0871111;1.5905404;-38.879997;-0.42;-30.66;8.121431;2.846706;8.942642;
6.41042;1.196456;1.3052663;-36.059998;-3.8999999;-33.66;12.119748;3.490746;9.088689;
6.952868;1.0028117;0.27656925;-34.559998;-11.28;-34.86;16.609177;6.170157;4.4699745;
5.678603;0.5697082;-0.9921979;-32.46;-21.48;-33.12;15.924434;7.010522;-0.011971008;
5.298034;-0.22808181;-1.3807082;-31.019999;-29.64;-28.019999;13.865121;6.2036757;1.9273324;
5.9675426;-2.1975114;-2.0044017;-29.82;-36.6;-20.58;14.990695;8.437466;-5.0209403;
3.540575;-2.2958608;-2.569452;-26.099998;-42.6;-8.76;14.384663;6.301838;-3.86903;
3.5607336;-2.9647582;-2.1363485;-21.18;-44.1;2.46;11.818079;2.6599581;-1.7525556;
3.8789942;-2.819983;-0.58291817;-14.219999;-43.86;13.559999;8.135797;0.37828386;-5.114314;
3.5185838;-2.7533987;0.13118331;-11.219999;-40.62;20.46;7.1469913;-0.37828386;-8.384793;
2.516154;-2.9287171;1.1079569;-6.7799997;-34.86;28.92;6.1031194;-0.93613285;-7.996933;
2.4226916;-2.8059332;2.0523546;-3.84;-29.76;33.96;3.6487634;-2.1452048;-7.448661;
1.7006488;-2.2793672;2.6253462;-1.74;-24.779999;37.44;4.2401314;-1.7262194;-7.0177045;
1.5839735;-2.212783;3.160464;1.3199999;-19.98;39.42;2.956839;-1.3814543;-8.456619;
0.8374963;-1.8975766;3.2386549;5.58;-16.14;41.16;2.3391352;-1.0055647;-6.766313;
1.2479976;-1.6178002;3.4671185;7.98;-15.36;41.7;0.93852705;-0.78529817;-6.2946553;
1.2382239;-1.3532956;3.428634;11.88;-12.9;42.239998;0.30885202;-0.17477672;-7.4821796;
0.49480084;-1.4143821;3.1409163;15.12;-12.12;42.36;-0.38307226;0.7613561;-7.3600755;
0.20280726;-1.3807845;2.8281534;15.96;-13.5;42.0;-1.520318;1.4939818;-6.9434843;
0.46975538;-1.2219596;2.9918652;18.66;-16.56;41.82;-2.2768857;1.1492168;-3.8283286;
0.7635816;-0.9550114;2.7310257;18.119999;-18.18;41.52;-1.7980455;2.7102363;-5.064036;
-0.47525316;-0.6220899;2.6882653;18.72;-20.46;39.18;-2.3199813;3.5075054;-6.4335194;
-0.48502702;-0.6550766;2.2643247;17.1;-22.38;38.76;-3.679888;3.9863458;-5.5548472;
-0.5571091;-0.71310884;2.3235786;15.42;-26.4;36.84;-2.3798366;5.336975;-5.255572;
-0.38912117;-0.49136472;2.1891882;14.28;-27.66;35.82;-2.60968;5.7032876;-2.8993783;
0.10140363;-0.56466854;2.1702516;10.92;-29.699999;34.14;-1.6041151;6.754342;-4.6040497;
-0.081855945;-0.1877647;1.9430096;9.599999;-30.06;33.719997;-1.8195933;7.118261;-4.934749;
-2.3151793;0.2270128;1.6076446;7.3799996;-31.14;32.94;-0.6655881;8.538023;-7.573159;
-1.8014416;-0.51030153;1.3590225;4.5;-34.8;28.019999;-1.8674773;7.5755534;-0.44532153;
-0.8081747;-0.3459788;1.6271923;2.9399998;-37.02;26.16;-3.0502129;8.4231;-2.123657;
-0.5369505;-0.05826127;1.8025106;-0.65999997;-38.46;24.96;0.4261679;9.541193;-0.088585466;
-0.07819075;-0.12789991;1.7334828;-2.7;-38.579998;22.98;-0.58897364;9.215582;0.05267244;
0.5858198;0.2691625;1.8739818;-6.8999996;-37.44;23.46;2.89459;10.345645;-1.1492168;
0.5027421;0.40172026;1.7939585;-10.32;-36.66;24.3;2.3391352;9.613019;-2.743755;
0.10140363;-0.051541757;1.8000672;-14.16;-34.86;25.439999;3.1890767;9.019258;-2.267309;
0.43860126;0.9313404;1.8379408;-17.16;-33.48;25.439999;3.4524388;8.875605;-2.5713725;
0.172264;0.9563859;1.4885259;-20.76;-30.96;24.66;5.1526213;8.818144;-2.4540567;
-0.44226643;1.1207087;1.4133894;-24.96;-28.98;23.58;5.9858036;8.236353;-0.830788;
0.13194689;1.3125204;1.4256067;-28.019999;-27.84;21.96;6.3257804;7.913136;-2.3774424;
-0.25534168;1.2349404;1.4091134;-32.28;-25.32;19.56;8.011298;7.544429;-1.1228806;
-0.103847094;1.4524084;1.5551102;-35.34;-23.46;17.52;7.343316;6.7854667;-0.5410896;
0.15393804;1.6497179;1.5080736;-37.86;-19.859999;14.04;10.2403;7.573159;-1.42455;
-0.516792;1.3009139;1.2020301;-40.68;-15.54;11.82;10.233117;7.3600755;-0.91219085;
-0.40194935;1.7010306;1.1592696;-44.04;-13.08;8.28;10.702381;6.4837976;0.6799533;
-0.25717425;1.9209421;1.1421653;-43.44;-9.84;4.98;9.282619;6.390424;1.6927006;
0.17531833;1.6387224;1.0364856;-45.12;-6.7799997;-0.24;10.814908;6.1917048;1.3096284;
0.23335053;2.2831852;1.2600623;-44.52;-3.6599998;-3.36;9.8955345;5.320215;2.3870192;
0.065973446;2.0370066;1.1366675;-45.239998;0.24;-8.4;10.357615;4.759673;3.6032736;
1.3090842;1.6057357;1.465313;-45.12;1.9799999;-12.12;11.341633;4.4316673;3.7373488;
0.44593164;1.0614548;0.6632469;-42.84;5.4;-16.02;10.43423;3.5290532;2.954445;
0.95478237;1.1860713;0.9503536;-41.04;6.8999996;-18.48;9.512463;2.597709;3.9671922;
0.82344633;0.6332382;0.68523806;-40.2;8.28;-21.66;10.003274;2.1045034;3.4811692;
