gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.15386169;0.012751812;0.43531784;-7.5;3.06;-41.28;-2.719813;0.050278235;9.064747;
-0.054901514;-0.26519188;0.58986676;-6.42;3.36;-42.239998;-2.0278888;-0.15083471;9.282619;
-0.33162346;0.27786732;0.2691625;-6.96;3.48;-41.76;-2.5713725;-0.20350714;8.332121;
-0.56802833;-0.18761198;1.4236978;-6.48;4.56;-42.36;-7.5156984;-0.15083471;9.332897;
-0.96142554;0.7476227;2.0638845;-7.3799996;6.0;-41.82;-8.904335;0.8283938;9.074324;
-0.6859253;0.49228102;3.9429061;-5.3399997;10.5;-42.18;-8.3512745;0.18914193;11.118972;
-0.49533537;0.5857434;3.848222;-3.54;11.94;-41.82;-1.0462662;0.49320555;12.790125;
0.5388595;0.8917869;2.847014;0.71999997;15.54;-41.52;-3.4524388;-0.5363012;12.29213;
0.20899227;0.38476875;3.4908657;3.0;14.58;-42.84;-4.6112323;-2.2720973;9.694422;
0.032452215;0.17707457;3.1829898;6.48;13.559999;-41.82;-1.0079589;0.533907;11.190798;
0.5315291;0.16913332;2.511649;8.94;13.0199995;-42.18;-2.9041667;2.066196;10.398317;
0.727006;0.0048105638;2.7395015;10.8;11.099999;-42.12;-4.24492;2.3080103;11.461343;
0.80214244;-0.05261077;2.8079185;11.94;8.34;-42.899998;-2.7940333;3.3854012;11.9018755;
1.2914455;-0.067882404;2.4585035;12.66;5.64;-43.2;-1.3814543;3.9791632;12.95293;
1.5913804;-0.03428481;1.8659643;11.82;1.8;-44.1;-0.44532153;3.9001546;11.312902;
1.710499;-0.382478;1.699198;10.92;-3.48;-43.379997;0.14604631;3.550601;10.111013;
1.6542995;-0.4124104;1.4004849;10.139999;-7.74;-43.98;0.2873042;3.775656;8.897153;
1.4007903;-0.86811584;1.4304173;7.3799996;-12.36;-42.719997;1.3431472;4.355053;8.135797;
1.2211959;-0.7868708;1.0651199;3.72;-16.14;-42.42;1.3575124;4.5178585;6.6274495;
0.8235227;-1.171105;1.2795336;1.62;-20.16;-40.98;2.1260512;5.0855837;5.293879;
0.5742897;-0.96279997;0.9368382;-3.06;-21.0;-39.899998;2.885013;5.9115834;5.906795;
0.7062366;-1.1979831;0.96310544;-6.12;-21.779999;-38.16;3.8067808;6.596325;7.3696523;
0.6304893;-1.2474632;0.89224505;-11.46;-23.34;-36.66;4.7022123;6.488586;6.646603;
0.5077054;-1.5015831;0.6729444;-14.16;-23.88;-35.7;7.513304;6.8381395;6.6992755;
0.42340598;-1.842446;0.4432591;-16.92;-25.32;-34.68;6.9913683;6.098331;6.938696;
0.5101488;-2.1155026;0.24839307;-18.72;-26.88;-31.32;7.3361335;5.5093575;4.8865657;
0.2279291;-2.2340105;0.0052687125;-23.76;-26.519999;-27.42;5.868488;5.7990556;5.4279547;
0.06666067;-2.4184918;0.07612908;-26.939999;-27.3;-24.66;5.480627;5.552453;2.7030537;
-0.13492486;-2.327473;-0.2140319;-30.0;-27.359999;-21.24;5.552453;5.648221;3.4093432;
-0.39576432;-2.3329706;-0.028328875;-31.14;-27.96;-17.039999;4.015076;5.5716066;1.2569559;
-0.6071237;-2.3439662;0.15798502;-33.059998;-27.539999;-14.099999;5.0137577;5.7607484;1.5251064;
-0.69753176;-2.2847123;-0.13461943;-34.62;-27.599998;-10.26;5.004181;5.4135895;1.091756;
-0.9076694;-2.222404;-0.37530035;-35.82;-26.939999;-6.72;4.534618;5.016152;1.3335704;
-1.000521;-2.3060927;-0.3319289;-35.28;-28.08;-3.72;4.3478703;4.5274353;-0.36870706;
-1.1660653;-2.1429915;-0.5286275;-34.92;-29.22;-1.74;2.9472623;4.2281604;1.9321208;
-1.3884203;-2.2828798;-0.67890036;-32.94;-29.64;0.48;3.6894648;3.265691;0.17717093;
-1.7115681;-1.6933948;-1.3856715;-31.14;-30.599998;1.3199999;1.4652514;2.8203697;0.58657944;
-2.1159608;-1.9359083;-1.2421181;-28.14;-31.08;1.92;-0.02633622;2.5809495;1.13964;
-2.3749678;-1.52052;-1.6446784;-25.32;-34.02;0.42;-1.3718776;2.906561;1.6543933;
-3.2735505;-1.7679204;-1.4363732;-22.439999;-36.059998;-2.8799999;-4.6591167;2.956839;2.3918076;
-3.443371;-0.82046837;-1.8810831;-20.1;-35.94;-8.04;-3.9121256;6.158186;6.6633625;
-3.4659731;-0.49182287;-2.3923774;-17.039999;-35.94;-12.96;-6.718429;7.568371;9.387964;
-3.3010395;-0.6390414;-1.646511;-14.28;-35.16;-19.859999;-8.506898;8.408735;9.802161;
-2.8245645;-0.023289237;-1.6459;-10.62;-31.08;-26.099998;-7.8341274;9.768642;12.646473;
-2.6162596;0.08788824;-1.0142654;-7.3199997;-29.039999;-32.04;-6.5340757;9.349657;11.068694;
-2.6523006;0.39759693;-0.6220899;-4.62;-25.98;-36.66;-7.913136;7.903559;11.674427;
-2.1080196;0.29985848;0.20502165;-1.38;-22.439999;-39.059998;-3.8355112;8.052;13.470078;
-1.7201202;0.83986336;-0.15905404;0.84;-16.5;-42.0;-3.3782187;6.122273;11.798925;
-1.2839624;0.555811;0.40599632;3.06;-13.5;-42.78;-4.235343;4.285621;10.561123;
-1.648649;0.38415787;0.3375794;4.74;-9.96;-41.219997;-2.1643584;3.3734303;11.396699;
