gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
1.5839735;-0.107741356;0.7457138;-36.48;13.139999;-25.8;7.817368;1.4030021;3.4500446;
2.0555615;-0.31604642;0.9283624;-36.78;12.96;-26.939999;8.116643;1.3599066;6.3760586;
3.6346483;-1.1107821;0.67363167;-36.6;11.099999;-27.539999;9.031228;1.9009962;7.022493;
5.04086;-1.0423652;0.4109596;-37.32;6.6;-25.56;11.729493;2.0757728;6.244377;
5.624236;0.022983804;-0.18952094;-38.82;-0.84;-25.619999;12.991238;4.295198;4.2904096;
4.552168;0.5092325;-1.2200506;-39.059998;-8.5199995;-23.939999;12.651261;4.3718123;2.0231004;
4.0818014;0.9313404;-1.5615243;-36.36;-16.68;-21.9;13.110948;5.7152586;1.9728222;
3.9608502;0.7780132;-2.025171;-34.5;-23.34;-19.08;14.06384;5.957073;1.5658079;
3.9547415;0.40905064;-2.4069617;-29.82;-30.48;-13.92;14.1787615;5.7248354;-0.7661445;
3.4800992;-0.28183794;-2.5517368;-26.16;-35.52;-7.9199996;12.849979;5.4997807;-4.9395375;
2.9126055;-0.8108473;-2.3391557;-20.58;-40.44;0.9;12.126931;5.7846904;-4.1826706;
3.0610456;-1.6336827;-2.1143572;-17.16;-42.899998;6.18;12.134113;5.358523;-5.303456;
3.5081992;-1.9507219;-1.5010486;-10.92;-43.02;13.799999;8.791808;3.8259344;-4.2161894;
3.1618385;-1.7326429;-0.9647089;-6.72;-40.98;19.859999;6.926725;2.2002714;-6.1510034;
3.2669072;-2.0460167;0.30283645;-2.1;-37.079998;26.939999;5.5572414;1.0941502;-6.5939307;
2.8307495;-2.14009;0.8165741;1.3199999;-33.239998;32.04;5.0592475;0.7062895;-9.902718;
2.2052236;-2.298915;1.8086193;3.24;-27.24;35.28;4.654328;-0.34955344;-9.67048;
1.5118915;-2.294028;1.8574885;5.04;-24.96;38.28;3.0669725;-0.9935937;-8.078336;
2.035403;-2.0564015;2.6870434;6.8399997;-23.76;38.64;2.695871;-1.4652514;-6.562806;
1.3665055;-1.8871918;2.8269317;8.16;-20.82;39.96;2.087744;-1.3311762;-9.778219;
1.0494665;-1.9885955;3.0370693;9.059999;-18.0;42.18;1.043872;-1.151611;-7.791032;
1.2504412;-1.4406493;2.865416;11.5199995;-18.6;41.28;-0.20829555;-1.0845734;-6.083966;
1.3390167;-1.1413254;2.934444;11.16;-17.58;42.78;-1.4101849;-1.0175357;-7.5300636;
1.2180653;-1.0588585;2.8110492;13.86;-14.7;42.66;-1.5945383;-0.8619126;-7.522881;
1.0916162;-0.812069;2.9265027;14.099999;-13.5;42.239998;-2.4301147;-1.5897499;-6.845322;
1.3200798;-0.5848271;3.0547843;15.599999;-14.58;42.719997;-3.7732618;-1.1731589;-6.2371945;
1.7427986;-0.34475708;3.0144672;14.759999;-13.0199995;42.84;-2.4468741;0.34955344;-7.640197;
0.84421575;-0.14866933;2.8354838;14.88;-13.2;43.68;-2.336741;1.3958195;-8.794202;
0.19058995;-0.27328584;2.2838724;14.759999;-13.679999;42.78;-2.1140802;2.303222;-7.7862434;
0.17837265;-0.26106852;2.0615175;14.34;-17.22;43.079998;-3.3279405;2.042254;-6.670545;
-0.15515977;-0.19081903;1.9656117;12.54;-17.52;42.48;-3.5051112;2.3080103;-6.5101337;
-0.5112942;0.035811976;1.9894354;11.219999;-20.279999;41.46;-3.4021606;2.4229321;-4.7285485;
0.40866885;-2.2907447E-4;2.2093468;8.82;-22.199999;40.44;-2.7509377;2.5617957;-5.5189342;
0.012217305;0.48785225;2.1293235;6.6;-23.1;40.86;-3.0142999;3.1747115;-6.158186;
-0.6420194;0.53183454;2.2191207;3.0;-23.76;40.26;-1.520318;4.3885717;-6.950667;
-1.1148291;0.26244298;2.3186917;-0.71999997;-26.039999;37.98;-0.36631286;4.441244;-3.98874;
-0.7867944;-0.53840137;3.0376801;-3.48;-28.32;36.66;-0.7781156;4.0533834;-1.0103531;
0.29993483;1.2160037;3.1763465;-6.12;-28.56;36.3;1.340753;3.8307228;-0.56982;
0.8509353;1.7382934;2.9918652;-15.059999;-26.34;34.92;5.818209;4.982633;-0.7015011;
1.4141531;1.9783635;2.7915015;-20.34;-22.26;36.899998;8.195652;4.0414124;-5.514146;
0.689056;2.945363;2.4072673;-28.5;-16.38;33.719997;8.973767;5.861305;-5.159804;
-0.3494149;2.693076;2.1213822;-33.719997;-12.54;30.84;12.589012;5.981015;-6.6849103;
-0.7715228;3.0150018;1.7719674;-39.48;-8.22;24.06;12.409447;6.9961567;-3.6272156;
0.6469063;2.9062676;1.8513799;-43.559998;-4.92;17.1;15.740081;7.3361335;-1.5035586;
1.0916162;3.0540972;0.8868236;-45.899998;-0.35999998;12.24;16.561293;7.0608;-6.143821;
0.24678956;3.2569044;1.4457654;-46.68;3.54;4.7999997;13.144466;5.1789575;-7.7215996;
-0.4746423;3.4975853;1.2056953;-46.8;8.28;-2.04;16.123154;2.89459;0.16519992;
1.8643607;1.6399441;0.4793765;-45.12;12.96;-7.9199996;14.744093;3.1292217;-2.6886885;
0.24862215;1.7425694;-0.03863723;-43.98;14.7;-13.139999;11.794137;1.1755531;-1.6711528;
1.03786;1.1457541;-0.085673854;-42.3;13.5;-16.44;11.4637375;1.079785;-0.33518824;
0.37018433;0.7419722;-0.0050396384;-40.92;12.24;-19.92;10.980108;0.34476504;0.8571242;
0.9266826;0.90934926;-0.052687127;-40.739998;12.0;-20.64;10.984897;0.50278234;1.0965444;
0.7452556;0.50190216;0.14584407;-39.18;12.66;-23.279999;9.028834;0.045489833;-0.5434838;
0.7147123;0.6314056;-0.010537425;-38.7;11.94;-24.48;10.71914;0.58657944;3.0262709;
