gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
0.9505063;-0.122402124;1.2618948;-16.619999;-2.8799999;-44.46;5.6314616;0.37349546;6.6657567;
0.3848451;0.039477166;1.2686144;-16.56;-3.48;-43.68;5.2890906;0.17717093;8.078336;
0.9401216;0.5745951;1.3449726;-15.9;-3.72;-43.02;4.5082817;-1.6280571;10.889129;
1.1551461;1.2037864;1.9625573;-15.78;-5.4;-42.66;4.5896845;-2.3750482;13.575423;
2.0702224;1.6894242;2.2215643;-15.059999;-6.7799997;-42.54;5.5572414;-2.3319526;13.527539;
2.2724187;2.3241131;2.285705;-12.059999;-9.059999;-42.84;7.1757216;-3.0621839;13.929765;
2.257147;3.0076714;3.07983;-9.719999;-11.759999;-41.579998;5.4949923;-5.9714384;16.721703;
4.5399504;2.2141573;3.5679111;-7.3199997;-13.5;-39.78;10.88434;-4.110844;17.562069;
4.258342;2.850679;2.7334692;-9.78;-18.96;-38.52;12.725481;-0.8523358;19.776705;
5.099503;3.1390073;1.7786869;-8.5199995;-26.039999;-38.94;14.434941;3.5410242;15.160684;
3.9596286;3.1463377;0.23991732;-2.7;-35.04;-30.119999;14.892533;4.2042184;13.278542;
5.275432;2.2263746;-0.2060143;0.59999996;-40.2;-21.119999;11.863568;3.572149;6.953061;
5.1893;0.18608482;-0.17608191;2.1;-43.44;-9.24;8.9402485;3.6367924;3.5529952;
4.5124617;-0.91286176;-0.26648995;2.58;-43.559998;3.24;7.3145857;4.295198;1.8076223;
4.759251;-2.1022165;-0.35078937;3.4199998;-42.059998;14.16;7.1230493;6.5460467;0.7110779;
3.0818152;-2.5047765;-0.1693624;6.0;-37.739998;22.859999;2.3295584;4.7381253;-3.1914709;
2.9022207;-3.4326808;0.6889033;10.92;-33.239998;28.859999;4.201824;5.5572414;-0.7326257;
2.6933048;-3.871282;1.266171;14.28;-29.82;32.7;2.15957;5.5692124;-3.4811692;
2.0103576;-4.070424;1.4054482;20.1;-25.98;33.719997;2.1906946;5.5955486;-3.1651347;
1.7140878;-4.1516695;1.7817413;26.34;-23.939999;33.0;2.147599;5.576395;-1.9249382;
1.5711454;-3.9067123;1.6986635;30.84;-24.06;29.039999;0.9768343;5.8660936;-2.6001031;
0.7654142;-3.454672;1.7383698;34.559998;-23.76;24.539999;-0.830788;5.18614;-3.0765493;
0.7171558;-3.2811863;1.6357445;36.48;-26.519999;18.84;-0.6751649;5.0855837;-1.8435353;
0.38056904;-2.829757;1.5783231;37.14;-28.439999;15.36;-1.9297266;4.9036245;-2.4133554;
0.07086037;-2.5860217;1.619862;36.3;-32.76;9.3;-1.934515;4.2042184;-1.3431472;
0.11301007;-2.3954318;1.90086;34.44;-35.76;3.6;-2.834735;3.4213142;-2.566584;
0.059864793;-2.2427154;2.2411118;28.68;-38.76;-1.56;-3.4093432;3.8402996;-0.5363012;
-0.13500121;-1.8743637;2.6094637;21.06;-41.16;-4.02;-2.111686;4.5418005;-0.11252748;
0.007330383;-1.0906235;3.1543555;13.0199995;-42.899998;-5.7;1.1611878;6.9722147;1.5275006;
-1.5454891;-0.14133894;2.1140518;5.58;-41.16;-7.5;0.5243302;6.4742208;0.557849;
-1.0977248;-0.21158844;2.585029;1.0799999;-39.719997;-9.24;1.6041151;6.100725;2.219425;
-0.5900958;-0.22258402;3.0663908;-2.9399998;-37.5;-11.34;2.621651;6.49098;3.2848446;
-0.16737708;0.1390482;2.5318837;-6.7799997;-37.32;-12.0;7.7335706;9.869199;2.4636335;
-2.007914;1.1750757;2.0486894;-10.139999;-37.62;-13.259999;6.1677628;8.652945;3.8043866;
-2.6719246;1.5067755;2.0896173;-11.88;-35.28;-16.68;4.819528;7.230788;7.771878;
-0.20463985;0.99975735;2.9875891;-14.099999;-32.52;-22.439999;9.471761;8.803779;6.3856354;
-1.536937;1.771891;2.5563183;-17.76;-29.939999;-25.56;10.292973;9.792584;6.526893;
-1.183246;1.8684077;1.8770362;-20.279999;-25.619999;-32.16;13.067852;11.279384;6.680122;
-1.3750577;2.1011474;1.3602442;-19.5;-22.5;-35.52;12.931382;9.462184;8.454226;
-0.77457714;1.6698765;0.95157534;-16.859999;-19.02;-38.219997;11.566688;7.970597;5.976227;
0.47891834;1.5153276;1.4720325;-14.46;-16.26;-39.54;11.47092;6.268319;7.154174;
0.5131268;1.4023175;0.9271407;-13.139999;-15.12;-40.8;10.441413;6.802226;2.1428106;
0.022602014;1.073672;0.699288;-11.46;-15.24;-39.66;10.137349;5.4159837;5.2412066;
0.03726278;0.64606637;0.04260785;-9.719999;-14.7;-39.78;8.899547;5.123891;3.5051112;
-0.33353242;0.42432228;-0.25060746;-9.12;-14.94;-40.379997;7.3624697;3.4452562;6.2850785;
0.1386664;0.18425223;0.13545936;-7.98;-14.58;-40.98;6.196493;2.7605145;6.598719;
-0.049480084;0.016264288;0.11713341;-8.46;-14.88;-40.98;7.0536175;2.956839;8.2315645;
