gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
0.535118;-0.3478114;0.48670688;-39.719997;12.059999;-22.8;7.168539;2.1547816;5.696105;
1.7324139;-1.0759628;0.88193667;-38.28;11.7;-21.96;6.1031194;1.30484;8.834904;
2.6871963;-1.061302;0.89965177;-38.64;11.34;-21.3;7.474997;2.0685902;6.5173163;
3.9522982;-0.5939901;1.4543175;-39.36;9.599999;-20.279999;8.001721;1.2066777;11.298537;
6.2821383;0.32658383;1.2197452;-39.899998;8.28;-21.9;10.680833;1.769315;8.78702;
6.038403;0.7780132;0.2527455;-37.559998;3.6599998;-24.24;13.039122;3.691859;5.3106384;
5.802609;1.3760504;-0.3587306;-37.26;-2.76;-27.24;16.757616;3.071761;4.9155955;
4.860655;0.45975244;-2.0532708;-35.52;-11.34;-28.439999;16.455946;4.876989;-0.9983821;
3.3279939;0.44997862;-2.818685;-33.96;-19.619999;-25.859999;14.691121;4.6375685;0.7493851;
3.9327505;-0.16699529;-2.496759;-30.119999;-28.38;-22.98;11.466131;4.72376;-1.5107412;
3.7684276;-0.594601;-2.2182045;-27.96;-34.32;-16.68;11.525987;5.894824;-2.7700913;
5.0573535;-1.7356973;-1.4796684;-24.359999;-38.579998;-8.639999;11.909059;5.382465;-6.2755017;
2.9981265;-2.2390501;-1.0636691;-21.779999;-40.44;3.06;10.510845;4.7764325;-7.7431474;
3.0842586;-2.8169286;-0.42103887;-18.359999;-40.62;10.559999;8.528446;3.7972038;-7.5875244;
1.7776178;-2.93788;0.3492622;-15.299999;-38.52;18.66;7.862858;2.870648;-5.672163;
2.3658812;-2.9891927;1.0908526;-12.719999;-35.34;24.06;7.278672;1.673547;-5.767931;
1.6291776;-3.0295098;1.8208365;-10.5;-30.599998;31.98;4.6160207;0.6440403;-9.251494;
1.2681563;-2.9281063;2.1476495;-8.7;-27.779999;34.44;4.6279917;0.260968;-6.5053453;
1.0042624;-2.675208;2.3510675;-4.2;-23.64;38.82;2.741361;-0.08140286;-7.331345;
0.5516113;-2.6275604;2.74813;-1.4399999;-22.08;40.92;2.2744915;-0.24899697;-5.4878097;
1.3585643;-2.4540749;2.5612051;4.2;-20.58;41.7;0.011971008;0.076614454;-6.977003;
0.7611381;-1.9024634;2.9466612;7.44;-18.539999;42.84;-1.1252748;-0.22984336;-6.572383;
0.9651671;-2.0075324;2.8715248;9.66;-19.26;42.6;-1.5945383;0.17717093;-5.89243;
0.7086037;-1.6385697;3.1073189;12.66;-18.6;42.66;-1.2090719;0.60812724;-6.1869164;
-0.15577064;-1.4143821;2.8049405;12.719999;-20.039999;42.059998;-1.283292;1.067814;-6.301838;
-0.2443461;-1.355739;3.052341;13.08;-22.439999;40.5;-2.4277205;0.7757214;-3.8307228;
0.39828414;-0.99838287;3.2502613;12.42;-25.019999;38.82;-1.1659763;1.5227122;-3.2968156;
-0.16187929;-1.2818244;3.618613;9.96;-26.88;37.62;-0.23223756;2.633622;-5.945102;
-0.21380283;-0.8297841;3.682143;7.02;-28.56;36.12;3.083732;4.8123455;-1.5729905;
-0.344528;-0.512745;3.319289;3.12;-29.4;34.559998;1.8626889;6.4837976;-2.2888567;
-0.48930305;0.037033707;2.8849638;1.0799999;-29.699999;33.18;1.2521675;8.037635;-2.7030537;
0.047647487;0.520839;2.852588;-5.1;-29.58;33.54;4.084508;8.289025;0.5386954;
-0.15027285;0.20807597;2.8092165;-8.5199995;-29.16;33.18;6.0312934;8.688857;-2.0231004;
