gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
0.56505036;-0.091248;0.7200574;-30.06;-19.859999;-28.619999;5.1334677;1.2330139;7.594707;
0.54183745;0.10606148;0.7151705;-30.84;-20.16;-27.84;5.4878097;1.1659763;8.607454;
0.4972443;0.2496148;1.007775;-32.399998;-19.859999;-27.539999;3.9839516;0.260968;8.976161;
1.4416419;0.27282768;1.7511979;-32.16;-18.42;-26.939999;4.522647;0.25378537;10.338462;
1.1606439;0.6026949;1.5392277;-34.44;-18.119999;-25.5;4.5753193;1.0534488;9.519646;
1.6316211;0.8843038;1.6852245;-35.1;-17.76;-26.88;5.1885343;1.1252748;9.794978;
1.6102408;1.1591932;1.3724614;-36.0;-14.88;-26.279999;5.6075196;1.3359646;10.300155;
1.7794504;1.0797807;1.2881621;-37.02;-14.82;-27.599998;5.976227;1.6089035;10.168474;
1.491733;1.5067755;0.88499105;-37.92;-15.54;-27.3;6.2467713;1.5442601;12.01201;
2.0286834;1.449965;1.3400856;-34.8;-15.839999;-28.199999;4.9778447;1.4508862;11.37994;
2.6908615;1.0638982;1.4567609;-34.14;-16.98;-30.3;6.4239426;3.0430303;10.848427;
2.193617;1.2825879;0.62964934;-33.48;-17.46;-30.0;4.8243165;3.1028855;9.720758;
3.6297612;0.64423376;1.5508342;-32.28;-19.68;-29.519999;4.9539027;3.052607;12.409447;
3.8869355;0.6130796;1.1965322;-33.6;-20.4;-27.48;7.2690954;7.4821796;7.108684;
3.1655037;0.07185303;-0.017256944;-34.62;-25.14;-23.64;8.784625;8.729559;5.7511716;
3.3310483;0.12622003;-0.36972618;-33.96;-28.38;-20.88;7.6856866;8.233959;6.1629744;
3.255301;-0.10224357;-0.24388795;-33.18;-31.32;-16.02;7.352893;7.678504;4.4699745;
3.359148;-0.7210501;-0.21212296;-33.719997;-33.36;-9.059999;7.4773912;8.15495;1.541866;
3.0885346;-1.1480448;0.06887506;-32.34;-33.96;-2.8799999;7.130232;7.0081277;1.2090719;
2.7250698;-1.5438856;0.37308595;-32.76;-32.579998;5.4;6.036082;6.467038;-1.6927006;
2.4153612;-1.5084554;0.5215262;-33.18;-31.679998;10.74;5.090372;5.705682;-1.3958195;
1.9975294;-1.9782107;0.9112582;-31.619999;-29.099998;17.64;5.0329113;5.614702;-4.793192;
1.7220291;-2.5676956;1.1281154;-31.38;-24.84;22.02;3.8474822;5.0616417;-5.3800707;
0.7819075;-3.2359822;1.4433218;-28.14;-20.46;28.92;3.8881836;4.295198;-6.2970495;
0.84788096;-3.4448981;1.9570595;-24.119999;-16.8;32.94;4.039018;4.1371803;-4.4196963;
0.6133087;-2.8609111;1.7652478;-19.14;-14.639999;37.92;3.3638535;4.4580035;-5.0017867;
0.5742133;-2.6532168;1.3816245;-13.98;-11.34;40.8;1.8315643;4.4795513;-6.218041;
0.29260445;-2.190181;1.5587754;-9.3;-9.9;43.92;0.6368576;4.010288;-5.9379196;
0.52656585;-2.099162;1.6485726;-4.68;-8.28;45.059998;0.25857377;4.1491513;-7.7982144;
0.07696902;-1.6966019;1.6387987;-0.48;-8.4;45.78;1.1923125;4.620809;-6.9674263;
0.1826487;-1.8871918;1.6106989;3.48;-8.639999;45.719997;-0.06943185;3.9983168;-7.4678144;
0.25411993;-1.8859701;1.6833919;5.52;-8.4;45.3;0.23702596;3.7852328;-6.914754;
0.016493361;-1.8920788;1.7768543;11.16;-9.179999;44.16;-0.5554548;4.2784386;-7.412748;
-0.45998153;-1.4711926;1.497078;14.28;-10.679999;43.079998;-0.047884032;4.7620673;-7.218817;
-0.16249016;-1.6794976;1.5709927;16.32;-12.66;41.579998;-0.31603462;4.510676;-6.3257804;
-0.5558874;-0.98494387;1.3413074;19.74;-15.12;40.079998;-0.2873042;4.6926355;-7.242759;
-0.8356637;-1.29282;1.3119859;20.46;-18.779999;37.86;-1.2354081;4.9155955;-7.79582;
-0.94806284;-1.2616658;1.479363;22.74;-20.699999;34.5;-1.3431472;5.0113635;-4.1946416;
-0.42455134;-1.2140183;1.9704986;23.4;-24.06;32.28;-1.7166426;5.2747254;-3.9145198;
-0.4569272;-0.92630076;1.9668334;24.0;-28.68;28.74;0.3854665;7.690475;-5.1693807;
-0.8368854;-0.7228827;1.7854064;23.039999;-30.66;27.24;0.22026655;7.367258;-1.9871874;
-0.32925636;-0.9910525;1.9961549;20.22;-34.079998;23.939999;0.50757074;7.108684;-2.2050598;
-0.44043383;-0.09369145;1.6314683;19.74;-36.0;22.859999;0.79966336;8.26269;-3.8498764;
-0.5131268;-0.04298964;1.7017179;16.08;-38.28;21.9;1.2162545;7.0560117;-2.3870192;
-0.8503244;0.0669661;1.6937766;11.88;-40.68;20.279999;2.0254946;7.0081277;-4.0557775;
-0.46914452;0.24839307;1.8086193;8.94;-41.82;18.84;3.5553896;7.63062;-3.5865142;
-0.6921103;0.3204752;1.5325081;4.7999997;-43.14;17.46;4.4819455;7.927501;-2.4636335;
-0.57543504;0.41943535;1.7084373;3.12;-43.8;16.74;4.259285;7.604284;-3.0142999;
-0.52534413;0.85681486;1.2985468;-2.9399998;-43.86;14.34;6.6394205;8.77026;-2.870648;
-0.8546005;0.6888269;1.3358096;-6.54;-44.28;13.5;5.758354;7.1350203;-0.7613561;
-0.7244862;0.95699674;1.3443617;-9.059999;-43.98;12.24;7.290643;7.252336;-0.46926352;
-0.8979719;1.5507578;1.3645202;-12.719999;-43.62;9.42;7.120655;6.419154;-0.093373865;
-0.9126327;1.2575425;1.3865114;-17.58;-42.059998;6.12;7.4462667;6.0073514;1.7429788;
-1.3573426;1.808543;1.4176655;-21.119999;-39.66;2.82;8.047212;6.074389;2.9257145;
-1.0482447;1.590464;1.098183;-24.66;-38.04;-1.02;9.907506;5.933131;1.9297266;
-0.91324353;1.1420889;1.0004445;-27.42;-36.0;-3.84;9.986514;5.327398;3.1627405;
-0.87109387;1.1115457;0.7652614;-29.099998;-34.079998;-6.12;11.030387;5.8421516;2.7102363;
-0.80573124;0.9857074;0.59666264;-31.26;-32.28;-9.719999;11.291354;5.894824;4.0318356;
-0.98899084;1.0571786;0.3724751;-32.76;-31.439999;-12.42;10.417471;5.2172647;4.177882;
-0.5717699;0.6845509;0.536187;-33.48;-29.64;-16.199999;10.139744;4.8267107;5.162198;
-0.5186246;0.76396334;0.2857322;-33.84;-27.24;-18.359999;9.464579;4.369418;4.5202527;
-0.13744467;0.67477703;0.50747633;-33.36;-25.32;-19.859999;9.646538;4.3239284;4.84347;
-0.24495697;0.29481885;0.24174993;-33.54;-24.48;-20.699999;9.512463;3.9384618;4.781221;
-0.48502702;0.14760031;0.5410739;-32.579998;-23.16;-22.14;8.401553;3.1866825;5.4973865;
0.100792766;0.49518263;0.17455475;-32.399998;-21.96;-22.199999;9.045593;3.229778;5.394436;
