gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.38660133;-0.105756044;1.0467939;-8.4;10.98;-40.8;-4.6255975;-0.78769237;7.79582;
-1.4629459;-0.4124104;2.0284543;-7.68;12.719999;-41.94;-8.284237;-1.7429788;6.9219365;
-0.7738899;-1.5779413;5.356448;-8.76;16.56;-41.1;-15.311519;-1.7166426;12.126931;
-0.8056549;0.24915667;6.460282;-6.24;21.06;-39.12;-8.803779;-2.5210943;12.038345;
0.44478625;0.7042513;5.9893045;1.86;23.82;-40.44;-3.727772;-0.22984336;15.194202;
1.2224177;0.9156107;4.7009897;10.5;23.1;-39.54;-5.0736127;1.7932571;17.439964;
2.046475;0.16485725;5.325905;16.32;17.88;-39.48;-5.4878097;0.7254431;17.897257;
2.3482423;-0.7599927;4.671057;20.279999;10.5;-40.2;-2.5498247;2.4420857;22.20682;
3.0733395;-1.4056773;4.3442445;19.38;1.38;-43.5;-2.944868;0.31124622;20.425533;
3.0770047;-2.7593546;4.3344707;14.82;-8.58;-45.0;0.32561144;-1.6112977;20.743961;
2.8186085;-3.3934329;2.818303;4.44;-18.66;-42.48;5.5452704;-2.4372973;15.797542;
1.8589393;-3.7617846;1.4878386;-6.3599997;-24.48;-38.399998;4.0414124;-1.9440918;11.504438;
0.8785006;-4.567516;1.2245557;-16.32;-27.72;-33.899998;4.5920787;-0.8475474;8.913912;
-0.21311562;-5.25535;0.76518506;-24.359999;-28.26;-28.619999;5.016152;-0.8355764;7.4678144;
-1.2845732;-5.1136293;-0.0313832;-31.859999;-27.66;-22.38;4.5992613;-1.4221559;6.6896987;
-1.6174948;-4.6377654;-1.0802388;-36.059998;-27.539999;-14.759999;2.5187001;-2.707842;7.240365;
-1.7983109;-4.601724;-0.92507905;-36.36;-28.74;-8.7;0.5554548;-1.8004397;6.1270614;
-2.11535;-4.0928736;-0.9873873;-35.7;-30.9;-3.54;-0.48841715;-1.3000516;5.006575;
-2.3132703;-3.1997886;-1.6630043;-31.859999;-32.82;0.78;-1.0606314;0.39264908;4.8338933;
-2.501417;-3.2938619;-1.5310574;-28.8;-34.739998;0.96;-3.9743748;-0.3878607;1.8866309;
-3.298596;-3.1179326;-1.2457833;-24.119999;-36.899998;0.9;-5.1765633;0.30885202;4.7070007;
-3.0420325;-2.3286946;-1.0759628;-19.859999;-39.0;-2.9399998;-8.272266;2.1092918;4.994604;
-3.4006104;-2.1833088;-0.013057245;-17.64;-38.7;-6.72;-7.266701;4.158728;7.738359;
-3.9314523;-0.37636936;-0.8988119;-18.96;-38.219997;-12.179999;-7.166145;3.5697548;7.84131;
-4.2038984;-0.07948884;-0.45288023;-19.439999;-35.94;-20.22;-7.034464;5.80145;10.312126;
-4.101273;0.44035748;-0.49319732;-20.22;-31.26;-26.699999;-5.0807953;7.7335706;14.20031;
-3.4873533;1.2045499;-0.97578084;-17.58;-25.38;-33.36;-6.158186;7.9562316;17.478271;
-3.3273067;0.9033933;-0.30443996;-12.78;-19.92;-37.14;-6.390424;7.261913;15.1295595;
-2.9931633;1.6639205;-0.16943875;-10.08;-14.82;-39.96;-4.99221;7.4582376;18.026543;
-2.0677025;1.1868348;0.32780555;-5.2799997;-8.22;-42.48;-3.6487634;6.4574614;17.068863;
-1.6504816;1.3975834;0.4835762;-3.72;-4.62;-42.059998;-4.5633483;4.426879;14.43973;
-1.2234868;0.3994295;1.232497;-0.65999997;-0.78;-43.14;-0.2657564;2.6719291;13.07264;
-1.4458417;0.9553169;0.95027727;-0.96;1.74;-43.559998;-2.4420857;1.388637;13.980043;
-0.27175868;0.28214338;0.60513836;-0.35999998;4.8599997;-43.98;1.0390835;1.2018893;10.321703;
-0.9302714;1.5215889;0.32597297;1.5;5.94;-44.82;-2.5905263;-0.33997664;9.239524;
-0.94676477;-1.6714036;2.2135465;2.6399999;8.76;-43.32;0.81881696;-0.45010993;12.703934;
-0.542372;-0.012293663;0.878806;1.02;11.46;-43.86;-1.6232687;-0.48123455;11.176433;
-0.12698361;-0.24930938;0.25450173;0.29999998;12.9;-43.62;-2.336741;0.062249243;8.928277;
0.01779145;-0.044058654;-0.14622587;0.78;13.139999;-42.899998;-4.039018;-0.533907;8.552388;
0.048334714;-0.28657216;0.20379992;0.48;12.9;-42.96;-4.402937;-1.0390835;8.8923645;
0.03733914;0.04268421;0.06269005;-0.12;12.3;-42.36;-3.3925838;-1.0749966;9.074324;
-0.044516806;0.059788436;0.17447838;0.24;12.66;-44.219997;-3.7325604;-1.5753847;8.765471;
-0.33345607;-0.02695443;0.48846313;0.12;13.679999;-43.62;-2.837129;-1.2593501;9.229947;
-0.2186134;-0.22915083;0.45975244;1.3199999;13.559999;-43.62;-2.3582888;-0.5386954;9.668086;
-0.08544478;-0.06971499;0.20318905;0.35999998;15.059999;-43.26;-3.1411927;-0.47165772;9.318532;
-0.15202908;0.071394876;0.06757697;-0.42;14.46;-42.48;-3.7349546;-0.82360536;9.021651;
-0.1184315;-0.16867517;0.2746603;0.35999998;14.88;-42.899998;-4.2042184;-0.90500826;9.335292;
-0.024358252;-0.17050776;0.35651624;0.9;15.12;-43.079998;-3.9312792;-0.7445967;9.80695;
-0.16913332;-0.009850202;0.38217255;0.84;15.24;-43.02;-3.8881836;-1.3599066;8.059182;
-0.19906572;-0.25725064;0.58681244;0.12;15.719999;-42.84;-3.1962593;-1.0534488;9.428665;
