gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
0.17959438;0.13965906;0.39690968;-15.0;-20.58;-33.18;4.781221;2.822764;8.48535;
0.20708331;0.21174116;0.4793765;-15.54;-20.699999;-34.02;4.185065;2.528277;8.425495;
0.36835176;0.21968241;0.97173387;-15.54;-20.52;-33.66;1.8914193;1.5298948;10.290578;
1.9107865;-0.07231117;2.189799;-16.32;-20.699999;-33.0;1.5921441;1.3192052;12.835614;
2.017077;0.6149122;2.1733057;-19.98;-20.699999;-31.38;2.9472623;3.7181952;10.934618;
1.8967366;1.4566846;1.8471038;-21.779999;-21.84;-29.039999;4.582502;4.1683054;11.013627;
1.6236799;1.9276617;2.0529654;-22.56;-21.3;-28.859999;2.0757728;1.2090719;15.098434;
2.805704;2.0956495;2.50806;-24.24;-22.74;-28.32;4.920384;2.2720973;12.577041;
4.0152173;1.9209421;2.6907086;-25.08;-23.279999;-27.18;10.079888;4.5082817;15.732898;
3.0879238;1.8842902;1.079857;-26.58;-23.939999;-24.3;9.658509;8.3273325;11.566688;
3.8783834;1.5971836;0.47448957;-26.699999;-26.099998;-21.539999;9.493309;8.360851;12.742241;
4.369519;1.2379948;0.072540246;-26.519999;-28.859999;-17.4;11.085453;8.703222;10.664074;
4.615698;0.7438048;-0.48334712;-26.939999;-32.28;-12.42;11.667244;7.5037274;7.688081;
4.393343;-0.2738967;-0.35201108;-26.16;-32.94;-2.04;9.783008;5.672163;5.2052937;
4.522846;-1.5261705;0.29061913;-25.74;-33.059998;5.8799996;8.521263;5.8541226;1.4700398;
3.4110715;-2.3862686;0.6797403;-25.439999;-28.32;16.98;10.099042;6.7734957;0.5746084;
2.9932396;-3.4332917;0.61010164;-24.119999;-24.6;24.359999;7.237971;5.4878097;-2.4540567;
2.0201313;-4.157167;1.257008;-18.9;-19.38;33.84;7.0895305;4.271256;-2.552219;
1.4984524;-5.064913;1.6070337;-12.719999;-16.14;37.86;7.867646;4.4699745;-3.1842883;
0.19914207;-4.6684613;1.2289082;-1.38;-12.48;42.18;5.6793456;2.9137435;0.18435353;
0.788627;-4.8950925;2.036472;9.42;-12.84;41.82;2.5498247;1.6208745;1.5849615;
1.2046263;-4.4436626;2.7908907;19.38;-12.059999;39.12;1.328782;1.6017209;0.6703765;
0.52534413;-3.645262;3.0627255;24.48;-12.42;35.399998;0.830788;2.6599581;-0.91219085;
0.3903429;-3.0362294;2.8269317;30.06;-16.26;30.48;-0.9983821;3.1004913;-0.20829555;
-1.0476339;-2.2237785;2.4707973;31.859999;-20.16;25.199999;0.62728083;4.7860093;-3.2609026;
-0.16187929;-2.5084417;2.9326112;31.619999;-24.539999;18.96;-0.45729253;4.1276035;1.7310078;
-1.3878858;-1.6245197;2.7517953;29.76;-29.82;12.54;-0.17238252;6.1653686;-3.3327289;
-1.3304645;-1.6685021;2.6369526;26.039999;-34.44;6.42;3.6750996;10.369587;1.0606314;
-2.356718;-0.26656634;1.6210836;20.76;-35.52;-1.74;-0.01436521;10.142138;1.4772224;
-1.8460348;-0.36919168;1.483028;16.26;-36.239998;-7.2599998;0.2777274;8.636185;2.6527755;
-2.475226;-0.035659257;1.5734361;12.42;-34.739998;-12.96;-0.15322891;7.5779476;2.621651;
-2.0647244;0.41454843;2.109165;9.36;-32.16;-15.719999;0.23702596;6.5652003;7.4438725;
-1.0720685;0.024205536;2.8354838;5.7599998;-32.7;-16.68;3.9935284;8.509292;5.693711;
-1.3316863;0.9734901;2.6137397;-0.59999996;-33.84;-17.94;7.1876926;8.65055;6.694487;
-1.4782939;0.8525388;1.8428277;-5.52;-32.88;-19.619999;7.8724346;9.646538;5.198111;
-1.6890424;1.4823409;1.474476;-8.46;-32.1;-21.9;8.435072;10.218752;7.307403;
-1.1166617;1.3565027;1.5636623;-10.139999;-30.3;-26.34;8.3273325;9.002498;7.829339;
-1.2901474;1.382159;1.1152872;-11.7;-27.0;-28.98;8.997709;9.00968;5.684134;
-0.6976081;0.9374491;1.374905;-11.04;-25.859999;-31.859999;9.179668;8.08073;7.922713;
-0.6450737;1.064509;1.2111931;-12.78;-23.88;-34.14;7.972991;6.6418147;8.147768;
0.09590584;0.82382816;1.184315;-12.48;-22.68;-34.26;10.2618475;6.905177;5.585972;
-0.47891834;0.8610909;0.72066826;-13.2;-21.18;-34.739998;7.1948752;4.7548847;8.727164;
0.5705481;1.0144181;0.75609845;-12.84;-19.98;-35.34;9.727941;5.2507834;6.1270614;
-0.11728613;0.86903214;0.019394971;-11.88;-19.32;-34.98;8.253113;4.5322237;8.300997;
0.025045475;0.9343948;0.07742717;-11.219999;-18.84;-35.7;5.9474964;4.2880154;5.514146;
0.06536258;0.41760275;0.45677447;-9.78;-19.26;-35.76;6.1629744;3.1555579;7.723994;
0.24678956;0.43348524;0.5203045;-10.08;-19.02;-36.0;6.0312934;3.7134068;5.4949923;
0.06291912;0.09567677;0.4512767;-9.36;-18.84;-36.54;6.20607;3.3279405;6.7471595;
0.081855945;0.019929478;0.42378777;-11.099999;-18.0;-36.12;5.4638677;2.9281087;7.946655;
0.076358154;0.25633433;0.48792863;-11.04;-18.119999;-34.68;5.3680997;2.918532;7.7886376;
0.24862215;0.0077121737;0.4250095;-11.219999;-18.779999;-35.64;6.112696;3.3973722;7.240365;
-0.2724459;0.05169447;0.27962357;-11.16;-19.68;-35.219997;4.7860093;2.870648;6.3760586;
0.38362336;-0.014278975;-0.033750303;-11.4;-18.42;-34.8;5.6314616;2.920926;7.3481045;
