gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
0.57848936;-0.14683673;1.2258538;-20.64;-27.42;-32.88;4.994604;1.7836803;9.368811;
0.14844026;-0.15294538;1.0377073;-21.0;-28.199999;-32.34;4.450821;2.327164;7.70484;
0.077579886;0.55443656;1.1678216;-22.56;-27.119999;-32.94;2.1045034;-0.4309563;11.961731;
1.2479976;0.28565586;2.531273;-23.1;-26.039999;-33.059998;0.17956513;-1.0534488;12.574647;
1.6261233;0.62285346;2.8141034;-25.74;-25.859999;-32.88;1.3000516;0.4261679;13.331214;
2.2516494;1.2227231;3.1506903;-28.14;-23.939999;-31.92;1.8459295;0.088585466;15.797542;
3.073263;1.6698765;3.2221615;-30.0;-22.98;-31.98;4.8602295;2.6503813;14.720151;
2.8771753;2.1585686;1.9961549;-30.599998;-22.5;-31.199999;6.268319;4.405331;13.37431;
3.0628784;2.3687065;1.5728253;-29.76;-23.4;-32.46;7.1134725;5.7272296;13.905823;
3.657861;1.803656;1.225243;-28.32;-26.099998;-32.46;6.9674263;6.5340757;14.264953;
4.09463;1.8109864;0.59483004;-27.18;-29.58;-31.019999;7.0799537;6.608296;10.877157;
4.8576;0.6888269;0.48487428;-25.56;-33.66;-26.939999;8.3033905;6.6537857;7.668927;
4.1770964;-0.15538885;0.33276883;-25.619999;-38.16;-19.5;7.654562;6.8477163;3.5577838;
4.8264465;-1.2671636;0.65408397;-26.22;-39.719997;-10.559999;7.6234374;5.815815;3.169923;
4.365854;-2.040519;1.1171198;-27.72;-39.66;0.78;8.624214;7.1374145;-2.7222073;
2.7849348;-2.6593256;0.55878896;-29.099998;-36.84;10.74;7.877223;6.8261685;-2.504335;
2.529593;-3.5524104;0.8892671;-26.82;-33.719997;19.199999;5.1167083;5.0855837;-2.1068976;
1.6426166;-3.8786125;1.2875512;-24.539999;-30.24;27.0;4.63278;4.8817773;-2.6120741;
1.6151277;-3.8156934;1.6778941;-18.3;-26.16;34.02;4.015076;4.7429137;-1.2042835;
1.3793337;-3.8920515;2.054187;-12.179999;-22.08;38.94;3.052607;4.4364557;-2.825158;
0.9767735;-3.4839935;2.2985332;-5.8199997;-18.66;42.48;2.4708161;4.247314;-3.229778;
0.41905355;-3.4852152;2.2899811;1.62;-15.42;44.34;1.4341269;4.201824;-4.132392;
