gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
0.87598073;-0.4162283;0.680962;-36.059998;16.98;-27.24;6.718429;2.2505496;8.272266;
1.151481;-0.6165921;0.5160284;-36.18;17.64;-27.06;5.5428762;1.9919758;9.17488;
3.5973854;-1.2592224;0.46838093;-37.62;14.4;-25.619999;8.2555065;2.755726;11.47092;
4.497801;-0.39240456;0.12385293;-39.18;8.04;-27.0;8.023269;3.8666358;11.1213665;
4.71588;0.7786241;-0.3746131;-39.059998;0.84;-28.019999;9.840468;5.6913166;8.870816;
4.4086146;2.0583868;-0.63423085;-37.8;-5.3399997;-29.46;11.540352;6.3281746;9.29459;
5.1984634;1.9502636;-1.267698;-35.16;-14.759999;-31.32;12.988844;6.5819597;9.455002;
5.6682186;2.1597905;-1.4650075;-31.679998;-21.24;-31.199999;14.482825;7.2451534;4.7429137;
5.3322425;0.9551642;-2.2695172;-25.98;-32.399998;-25.38;17.396868;8.581119;-1.5634137;
3.8105774;0.18058704;-2.6305385;-23.4;-37.559998;-19.56;15.424046;7.0919247;-1.1587936;
3.6389244;-0.93057686;-2.0581577;-15.599999;-43.32;-10.2;11.039964;4.3598413;-2.1571758;
3.3438764;-1.3948344;-1.4601207;-12.3;-45.18;-2.82;8.909123;3.4452562;-3.6152446;
2.4526238;-2.0069213;-0.57742035;-8.16;-45.719997;6.8399997;5.210082;2.0518308;-3.9073372;
2.615725;-2.01303;0.27656925;-7.3799996;-44.399998;12.12;3.9983168;1.2521675;-4.3023806;
3.263853;-2.198733;1.1769847;-6.7799997;-40.739998;20.16;2.9783869;1.1899183;-7.668927;
3.0989194;-2.1865158;1.9711094;-6.3599997;-36.12;27.24;4.8147397;2.15957;-11.109395;
1.7562376;-2.5267677;2.4408648;-6.96;-31.08;34.5;5.59076;2.5785553;-11.030387;
0.9279043;-2.684371;2.394439;-5.3399997;-27.3;36.84;3.8498764;2.2505496;-6.1988873;
1.0567969;-2.7210228;2.6839893;-3.36;-25.74;39.719997;1.8722657;1.436521;-7.3121915;
0.38240165;-2.4180336;2.5789204;0.29999998;-23.039999;41.879997;1.5993267;2.231396;-6.407183;
0.61636305;-2.20362;2.680324;2.9399998;-22.92;41.52;-0.7422025;1.70946;-5.5692124;
0.89552844;-2.0142517;2.8556423;4.92;-23.34;42.3;0.31124622;2.183512;-6.04087;
0.7476991;-1.8474855;2.748741;6.6;-22.08;42.18;-1.7549498;1.99437;-6.426337;
0.093462385;-1.3807845;2.806162;7.02;-22.08;41.82;-1.7501614;2.4588451;-6.2587423;
0.41050145;-1.5127314;2.7194192;6.48;-23.76;41.04;-1.8028339;2.4277205;-4.7548847;
-0.22907446;-1.0625237;2.9045115;6.8999996;-25.019999;40.92;-2.4756045;2.0733786;-4.4963107;
-0.053145275;-0.843834;2.7017043;5.2799997;-26.039999;39.84;-0.91697925;2.7748797;-2.920926;
-0.44409904;-0.6110943;3.0059152;2.82;-26.76;38.46;-1.4101849;2.3415294;-3.9456444;
-0.7098254;-0.23846652;3.2905784;0.35999998;-27.599998;37.02;0.2896984;2.9352913;-1.1923125;
-0.5345071;0.042531494;3.35533;-4.92;-28.619999;35.94;2.4851813;4.1252093;-0.4141969;
0.09773844;0.7737372;3.6308303;-10.0199995;-27.96;34.739998;3.1196449;4.8817773;0.079008654;
-0.98715824;1.0926088;3.328452;-16.14;-26.4;35.1;6.6873045;7.142203;-0.47405192;
-1.2089024;1.4084262;3.0682235;-21.24;-24.6;32.28;8.782231;8.528446;-0.2633622;
-1.7244726;2.3442717;2.911231;-28.74;-22.619999;29.039999;10.2857895;7.819762;1.970428;
-1.5601498;2.388865;2.807384;-34.739998;-21.66;22.619999;13.426983;10.302549;3.074155;
-1.9883664;2.58312;2.2698226;-40.32;-16.44;16.56;12.409447;10.101437;1.1587936;
-1.7018706;2.1335232;1.9222403;-44.7;-13.62;10.26;14.140454;10.367192;2.0566192;
-1.3164146;2.11703;2.049911;-47.1;-9.54;3.6599998;13.446136;8.681675;6.608296;
-0.27855456;2.4035256;1.764637;-47.879997;-4.7999997;-0.84;15.182232;8.648156;4.378995;
-0.2779437;2.510427;1.4078916;-48.059998;0.29999998;-6.24;11.765407;6.9698205;5.868488;
0.6817256;2.1958315;1.465313;-46.739998;6.06;-11.46;13.101371;6.0552354;3.6942532;
0.7244862;1.2147819;1.1403327;-44.64;10.5;-16.44;13.623307;4.9299607;5.909189;
0.79290307;1.2783118;-0.009315695;-42.48;13.08;-18.0;10.10383;3.1148565;2.5905263;
1.0537425;1.3552809;0.5154176;-41.64;11.94;-20.52;9.263466;2.480393;2.834735;
0.6469063;0.8097782;0.28512135;-40.5;11.94;-23.88;8.152556;2.4612393;1.9632454;
0.95417154;0.71265066;0.40485093;-38.879997;11.82;-25.08;8.585907;2.0326772;5.1047373;
0.6737844;-0.043600507;0.57833666;-36.84;11.5199995;-26.58;8.339304;2.5378537;4.5513773;
0.657291;0.3412446;0.5019785;-36.899998;10.86;-26.88;7.640197;2.4013844;5.6075196;
