gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.8178722;0.10804679;0.597808;6.48;-12.179999;-47.94;-3.502717;0.641646;8.614637;
-1.4641676;0.36888626;0.97776616;6.3599997;-9.78;-47.16;-5.279514;-0.82360536;6.9099655;
-1.8099173;-0.54863334;2.5574636;6.18;-6.8399997;-45.899998;-10.2379055;-2.6479871;4.4723687;
-2.3334289;-0.42951462;4.9636617;3.48;-1.0799999;-44.28;-14.30326;-4.1036615;9.924265;
-2.0279963;0.32429308;7.492644;-1.62;4.44;-41.1;-16.460735;-2.5617957;14.480432;
-0.5802456;0.2925281;8.752859;-3.72;12.42;-40.739998;-11.837233;-0.49559975;28.472744;
1.5816065;0.07994699;8.423603;-0.96;16.68;-40.5;-8.8444805;2.72939;32.80146;
3.986583;-2.5162303;7.43339;2.9399998;16.38;-41.16;-3.2920272;-0.6703765;38.267723;
5.313382;-4.624326;5.3924894;0.84;7.62;-43.86;1.1611878;-9.45979;37.152023;
4.685413;-4.8863873;2.48416;-12.9;-5.8799996;-42.059998;1.6687586;-12.921805;28.032211;
2.6506207;-5.950515;1.7633389;-23.76;-12.42;-36.899998;-0.6871359;-11.456554;19.115906;
0.6194937;-6.9987593;1.0486265;-37.92;-16.14;-22.5;1.1707647;-8.121431;13.699922;
-1.3884203;-6.739142;0.36873353;-43.559998;-16.68;-8.7;-3.4021606;-7.972991;10.455778;
-3.16726;-8.194834;1.6533831;-44.579998;-16.44;5.7599998;-1.5729905;-8.988132;7.082348;
-5.142798;-5.790468;-0.5634468;-40.86;-16.38;18.42;-5.0448823;-10.362404;16.156672;
-6.054209;-5.359197;0.90629494;-33.84;-21.779999;23.4;-10.561123;-10.58746;15.00506;
-6.107354;-2.6237426;-0.62392247;-28.38;-28.019999;21.66;-6.2755017;-2.0254946;14.420576;
-5.1183634;-0.5590181;-1.7356973;-25.92;-32.34;14.88;-8.403947;6.330569;13.156438;
-3.4952946;0.29191723;-3.0582204;-21.0;-37.559998;5.22;-9.237129;7.305009;17.09041;
-4.4146466;0.39576432;-1.2891548;-14.16;-39.78;-3.6599998;-14.583382;1.5107412;6.048053;
-4.785442;1.0390054;-1.2396747;-10.08;-40.739998;-13.62;-14.480432;1.0247183;10.21157;
-5.804976;1.0102948;1.6692656;-7.2;-37.86;-27.06;-10.937013;1.7310078;22.819735;
-3.9534435;3.076241;-0.630642;-3.9599998;-30.66;-42.059998;-10.652102;5.0113635;21.416733;
-3.352963;1.8685604;1.1530845;7.56;-17.16;-52.14;-2.111686;7.3265567;28.463167;
-2.364583;1.0738248;1.526934;14.639999;0.84;-46.86;4.6950297;5.2388124;24.677935;
-0.84352857;1.3933072;-0.10224357;15.059999;3.78;-42.66;3.4237084;3.4404678;19.640236;
-0.2503784;0.45623997;0.16470455;15.48;4.3199997;-40.02;0.8690952;1.1994951;13.28333;
-0.4440227;-0.2401464;0.72853315;15.54;4.62;-39.899998;-2.633622;-0.6703765;10.168474;
-0.39026654;-0.094149604;0.7218136;15.059999;4.08;-39.899998;-1.697489;-0.17717093;11.4637375;
-0.043295074;-0.27313313;0.49273917;14.4;3.72;-39.18;-1.388637;-0.5506664;10.618584;
0.051999904;-0.26519188;0.42248967;13.259999;3.6599998;-40.559998;-2.942474;-1.079785;8.710405;
0.030008756;-0.25297457;0.059024855;12.3;2.34;-39.54;-2.9113493;-1.1707647;9.785401;
0.0061850105;-0.09720393;0.089568116;10.98;2.22;-40.32;-3.1842883;-1.0319009;8.851663;
0.0978148;0.038408153;-0.020998493;12.54;2.6399999;-40.379997;-3.4476504;-1.1947067;9.241918;
-0.117820635;-0.05505423;0.15065464;12.179999;1.86;-40.44;-3.6032736;-1.3814543;9.287408;
0.17905988;-6.872234E-4;0.2007456;11.7;2.52;-40.02;-3.0669725;-1.1085154;9.086295;
-0.0035888334;-0.04589125;0.16409367;11.34;2.28;-41.219997;-3.071761;-1.1133038;9.68724;
0.13507758;0.097662084;0.07124216;12.3;1.4399999;-42.0;-3.0789435;-0.91219085;8.961796;
0.008017606;-0.035506543;0.11827879;12.179999;1.4399999;-41.1;-3.229778;-0.9792285;9.036016;
-0.02985604;-0.031841353;0.07307476;12.66;1.38;-40.92;-3.0669725;-0.8595184;9.081507;
0.011682798;-0.07704538;0.070631295;11.58;0.17999999;-40.26;-2.822764;-0.80445176;9.167698;
0.0012980887;-0.04589125;-0.0020616702;11.7;0.48;-41.219997;-2.9712043;-0.90021986;9.390358;
-0.012751812;0.021914791;-0.053985216;10.559999;0.78;-40.98;-3.2393548;-0.8810662;9.040805;
0.07032586;-0.047112983;0.049861874;11.219999;1.56;-40.8;-3.3782187;-0.8331822;9.658509;
-0.07994699;-0.039171733;0.11217013;11.04;0.78;-40.5;-3.5362358;-0.91697925;9.179668;
-0.07994699;-0.099647395;0.16409367;10.62;0.71999997;-40.379997;-3.2632968;-0.8331822;9.605837;
-0.051236324;-0.046502117;0.12927435;10.38;1.3199999;-40.32;-2.9616275;-0.6871359;9.543588;
0.02695443;-0.1961641;0.24167356;10.679999;1.1999999;-41.52;-3.2800562;-0.7589619;9.440637;
-0.008475755;-0.10819951;0.17692184;10.32;0.65999997;-40.68;-2.7868507;-0.91697925;9.196428;
-0.013362677;-0.048334714;0.08712465;10.0199995;1.5;-40.8;-2.8491;-0.7565677;9.627384;
