gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
0.28771752;-0.45410195;0.3510948;-26.099998;-10.08;-34.92;6.7112465;2.0374656;6.289867;
0.58093286;-0.263512;0.41279218;-27.0;-9.78;-34.02;6.6753335;2.1906946;6.8740525;
0.6835582;-0.3826307;0.54351735;-27.48;-11.34;-34.26;5.650615;1.4101849;7.712023;
2.6535985;-0.75281507;1.3712398;-29.4;-12.48;-31.8;5.6314616;0.25857377;11.810896;
3.336546;0.3497967;2.1287127;-31.98;-13.86;-28.019999;7.568371;0.7374141;11.660062;
4.705495;1.7938821;2.8990138;-33.059998;-16.5;-25.92;8.193257;-0.06943185;12.06947;
5.905845;0.07490735;1.9717203;-34.68;-18.66;-23.4;9.603442;2.1643584;7.70484;
3.9003747;1.8048778;0.67363167;-36.12;-21.18;-17.34;11.937789;3.8355112;9.833285;
4.0909643;1.5654186;-0.07223482;-36.18;-22.5;-14.16;11.128549;2.7700913;11.705551;
4.557666;1.5672511;-0.2695443;-35.76;-24.3;-13.62;14.727333;2.2984335;11.26023;
5.272378;1.1115457;-0.49434268;-35.579998;-28.38;-10.26;14.382269;3.0909145;9.656115;
4.0549235;1.0742829;-1.381319;-33.78;-31.619999;-4.7999997;12.102989;5.1550155;5.1286793;
4.4409904;0.46525025;-1.3141239;-32.52;-34.38;3.84;14.1069355;5.1526213;3.9001546;
3.3970215;-0.576275;-2.0117319;-30.9;-35.34;9.48;12.095806;6.1917048;-0.38067806;
2.4764478;-0.7381543;-2.0227275;-25.5;-36.84;16.98;9.067142;4.7165775;0.79008657;
2.4318545;-1.2060771;-1.5425875;-22.56;-36.239998;21.24;7.3097973;4.5561657;-1.5993267;
2.1960607;-1.6819412;-0.8535315;-16.859999;-35.1;27.599998;6.134244;4.477157;-3.916914;
2.44285;-1.8810831;-0.05757405;-13.62;-30.779999;32.82;4.673482;4.197036;-3.1028855;
2.8771753;-2.3428972;0.871552;-9.599999;-26.34;37.559998;5.609914;4.9754505;-7.412748;
1.29198;-2.7369053;0.72189003;-6.3599997;-21.3;41.399998;4.783615;4.9898157;-8.181287;
0.59681535;-3.187113;1.048092;-0.48;-19.199999;41.879997;4.2544966;4.220978;-5.940314;
0.3744604;-3.4155767;1.3877331;5.7599998;-17.46;42.719997;3.5098996;4.2880154;-5.430349;
0.6762278;-3.7277288;1.8623754;12.66;-17.699999;40.739998;2.3247697;4.4220905;-4.027047;
0.79473567;-3.5493562;2.2606595;19.26;-18.119999;37.44;2.1978772;5.11192;-5.267543;
0.61819565;-3.4271832;2.2246184;24.42;-20.52;33.48;2.4636335;5.2651486;-5.030517;
0.79473567;-3.4620025;2.2979224;28.859999;-21.0;29.519999;0.78050977;4.7022123;-4.247314;
0.1600467;-2.7039187;2.3028092;31.56;-24.9;23.039999;0.04309563;4.5537715;-4.3622355;
0.31520647;-2.6593256;2.4714081;33.12;-29.88;18.06;-1.1803415;3.7852328;-3.3782187;
-0.05131268;-2.4424684;2.770121;30.66;-34.26;12.059999;-1.4867992;4.0222588;-3.2968156;
0.10262536;-1.9348392;3.169627;26.58;-39.6;7.2;0.60333884;5.4710503;-2.6551697;
0.06536258;-1.9598848;2.8134925;20.88;-44.76;2.22;0.7182605;6.344934;-3.1747115;
-1.1129965;-1.0582477;2.2343924;12.84;-46.86;-3.54;1.2808979;8.004115;-2.9783869;
-1.3548992;-0.79862994;2.0987802;5.2799997;-48.0;-8.58;1.0606314;6.7351885;1.9416976;
-0.62796944;-0.69661546;2.3706152;-3.84;-43.14;-12.059999;1.448492;7.2116346;0.90500826;
-1.1453724;-0.016111571;2.1128302;-9.48;-40.98;-11.82;2.432509;7.783849;-0.2801216;
-0.7495316;-0.01488984;2.1354322;-11.639999;-37.8;-11.759999;3.8283286;8.123826;-0.023942016;
