gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.056963183;-0.680962;0.62743497;-10.86;-6.66;-39.18;2.3750482;-0.15562311;9.440637;
0.6272059;-0.49464813;0.8277988;-11.46;-6.2999997;-39.12;2.5187001;-0.15322891;11.008839;
0.3743077;-0.07009678;1.0874165;-13.86;-5.7599998;-39.66;1.5466543;0.24181437;10.613795;
1.2111931;-1.1733195;1.3280973;-15.54;-6.8999996;-39.059998;-1.5873557;0.5674258;15.136742;
3.1232014;-0.62781674;2.1894174;-17.52;-13.139999;-38.16;1.0773908;-0.06464344;16.305113;
3.423747;-0.7707592;2.3641248;-21.72;-19.32;-36.3;1.9416976;1.0271125;15.914857;
4.212374;0.8394816;2.2346215;-24.3;-23.88;-32.399998;5.988198;2.27928;16.28596;
4.996725;1.2603678;1.4056773;-27.48;-29.099998;-26.939999;8.834904;4.4005427;12.926594;
4.8317914;1.0068586;0.7251734;-28.14;-31.019999;-22.619999;11.066299;5.741595;12.730269;
5.3449183;1.0917689;-0.037797287;-28.859999;-32.579998;-15.12;13.101371;6.208464;9.296985;
5.1225634;0.78022766;-0.900339;-29.16;-35.28;-9.36;14.808736;6.2587423;8.442254;
4.6216536;0.004428773;-1.6223817;-26.58;-37.02;1.62;11.849203;4.6016555;2.1332338;
4.029725;-0.7713701;-1.358488;-24.66;-37.02;8.46;8.882788;3.9743748;1.1923125;
4.069432;-1.7230982;-1.1654545;-21.48;-34.44;18.779999;7.2595186;5.0233345;-3.8163576;
3.3241758;-2.7829494;-0.67859495;-15.54;-29.939999;28.32;6.818986;5.6075196;-6.4981627;
2.3419046;-3.2166636;-0.72990763;-9.54;-25.14;34.739998;6.366482;5.444714;-3.6774938;
2.7444649;-3.4219143;-0.009697486;-1.9799999;-21.48;37.86;3.53863;4.1252093;-4.865018;
2.2386684;-3.7444513;0.5254205;5.52;-15.36;40.739998;2.3295584;4.144363;-6.5197105;
2.2343924;-4.023006;0.81985754;13.98;-9.42;40.079998;1.5442601;3.6870706;-5.614702;
2.4567473;-4.104251;1.4814246;22.14;-4.98;36.54;0.023942016;2.7246015;-4.450821;
2.3339634;-4.1641154;1.737988;28.56;-0.71999997;31.439999;-0.58418524;3.4620156;-5.346552;
1.6974418;-3.9472585;1.9896644;32.34;3.4199998;24.48;-1.1348516;3.5649664;-5.408801;
0.63148195;-3.5996761;1.8809304;35.28;2.52;20.1;-1.6496049;3.5625722;-3.6846764;
0.8556695;-3.7951531;1.833283;39.899998;-2.7;18.3;-2.695871;2.585738;-1.673547;
0.035888333;-3.1091514;1.9267453;46.26;-12.3;9.84;-2.099715;3.3494883;-1.1444284;
0.43295074;-3.2545373;1.7679204;46.98;-17.279999;0.48;-2.6791117;3.1124623;2.4971523;
1.1067351;-2.7035367;2.5278368;41.219997;-19.619999;-8.5199995;-2.896984;2.6862943;1.5275006;
0.549626;-2.4439192;2.5009587;39.54;-25.14;-11.58;-1.2234371;4.72376;2.4851813;
0.07192938;-2.3052528;2.8094456;33.54;-31.199999;-15.36;-0.6823475;4.450821;2.267309;
-0.17913623;-1.2154691;2.8033369;26.4;-34.5;-18.48;0.4429273;5.4997807;3.3925838;
0.37797287;-1.165989;3.2553773;18.9;-37.079998;-20.039999;3.3303347;6.6657567;8.121431;
-0.37522396;-1.0450377;3.3525047;11.639999;-38.7;-20.22;3.9456444;6.8620815;5.897218;
0.9601275;0.066737026;3.2584317;3.8999999;-39.059998;-20.699999;7.6737156;8.830115;5.1526213;
-0.7154759;0.77472985;2.9908726;-3.78;-38.7;-20.1;5.2028995;5.9498906;8.985738;
1.0059423;0.7173085;3.4624605;-8.88;-38.04;-20.88;10.474932;8.085519;6.3281746;
0.02855795;1.3153456;3.3488395;-13.92;-35.04;-21.42;11.475708;9.129391;5.222053;
-0.22495113;1.363604;2.7471373;-19.02;-33.42;-22.08;13.685556;8.803779;4.7884035;
0.5111415;1.6708691;2.9175687;-21.24;-30.24;-24.66;13.271359;8.267478;6.184522;
0.182496;1.8645134;2.7104855;-23.76;-27.119999;-26.82;13.913005;7.8341274;6.682516;
1.4958563;2.008067;2.6420686;-24.84;-24.539999;-28.199999;14.9308405;6.098331;8.449437;
0.63087106;1.948202;1.8277851;-24.72;-24.24;-29.82;13.115736;5.832575;1.3000516;
1.8990273;2.0722077;2.1552088;-24.66;-23.039999;-30.9;16.001049;4.0797195;7.963414;
1.2961034;2.1265745;1.0440451;-25.08;-21.539999;-30.96;11.490073;3.2225955;-0.36631286;
1.6155858;1.934763;1.1014664;-23.4;-22.68;-32.16;13.589788;3.9743748;1.1540052;
-0.5187773;1.3800973;0.2822961;-22.74;-24.119999;-33.6;7.862858;2.9903579;-0.62967503;
1.15255;0.45707992;0.8797223;-19.98;-23.279999;-34.559998;9.462184;2.9783869;3.5218706;
0.39385536;0.12660182;0.45333838;-21.779999;-23.58;-33.48;8.722376;4.0294414;1.8890251;
-0.968985;0.1217149;-0.031688634;-22.8;-23.64;-33.6;7.3983827;2.707842;5.9714384;
-0.2499966;-0.02855795;-0.1868484;-21.3;-22.68;-35.219997;6.833351;1.6089035;7.190087;
0.04444045;-0.16417004;-0.09582949;-22.14;-22.439999;-35.219997;6.881235;1.7645266;7.261913;
