gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.18318321;-0.2767983;0.54771703;23.1;8.639999;-32.579998;-2.1332338;0.7134721;8.746318;
-0.31268665;0.29619327;0.38033998;22.92;7.7999997;-32.28;-2.552219;0.62728083;8.897153;
-0.74823356;0.34384078;0.6802748;22.619999;7.08;-32.399998;-4.223372;0.22026655;7.532458;
-0.61995184;0.35972327;1.3784938;22.68;8.28;-32.219997;-5.3633113;0.22505496;8.746318;
-1.0628291;0.868574;1.4627932;22.859999;7.68;-31.14;-7.5564;0.019153614;7.5875244;
-0.98219496;0.5839108;3.004617;24.3;8.5199995;-31.98;-8.985738;-0.30406362;10.743082;
-1.0787116;1.0658835;3.4560466;25.26;8.22;-32.88;-9.227552;0.079008654;12.679992;
-0.63766694;0.7897724;4.5104;27.539999;6.66;-32.34;-9.8955345;-0.59855044;13.798083;
-0.07383834;0.6474408;5.375996;28.019999;2.46;-31.38;-7.0440407;-0.89543146;16.678608;
0.6989062;0.47456592;5.247103;28.14;-3.24;-32.46;-4.6016555;0.20829555;18.232445;
2.1790328;-0.06727154;4.11517;25.8;-9.84;-33.78;-1.541866;0.1364695;17.775152;
2.1179461;-0.17783815;3.1756594;23.64;-17.64;-34.98;-4.1659107;1.103727;14.796765;
2.0568597;-0.7166213;3.4413857;18.72;-27.96;-33.3;-4.010288;3.0095115;11.118972;
1.8412242;-1.651856;3.6148715;12.059999;-35.52;-29.039999;-0.24181437;5.614702;14.540286;
1.7703638;-2.344577;3.4731507;1.56;-39.54;-22.859999;2.6671407;4.1826706;14.097359;
1.9945514;-2.9108493;2.3754258;-9.78;-41.399998;-16.32;6.8979945;2.5785553;14.607324;
1.7068338;-2.7990608;0.7584656;-16.619999;-40.2;-9.48;5.348946;1.2904748;8.140585;
1.1674398;-3.1661909;0.3375794;-19.56;-39.84;-1.38;2.7700913;1.0773908;6.7471595;
0.38186714;-3.5742488;0.7731263;-20.34;-39.78;5.58;2.918532;1.2042835;3.2513258;
-0.41958806;-3.5174384;0.11339186;-21.0;-39.78;8.5199995;4.3143516;2.1092918;4.9419317;
-0.383547;-2.8607583;-0.85727304;-18.96;-39.18;12.179999;2.7269957;2.4756045;2.384625;
-0.9033933;-2.7453048;-0.9928851;-16.74;-40.559998;13.86;1.6759412;3.0621839;2.5187001;
-0.22472206;-2.7556894;-0.5921575;-11.46;-42.66;15.599999;0.79248077;4.3382936;1.1109096;
-0.7561748;-2.7147615;-0.32276592;-7.98;-42.719997;16.56;2.6072857;5.0496707;-0.89782566;
-0.76839215;-2.55838;-0.340481;-5.04;-43.8;17.22;1.6472107;5.574001;-0.11731588;
-1.1233048;-2.2786038;0.02603813;-2.22;-44.46;15.599999;1.043872;5.466262;-2.372654;
-1.6272687;-2.2614994;0.024816401;-1.5;-45.059998;13.62;1.7980455;5.2412066;-1.1899183;
-1.4824936;-2.0409772;0.04008803;1.38;-45.3;10.2;1.4101849;5.815815;-0.260968;
-1.6504816;-1.5645022;-0.038713586;0.96;-45.42;7.3199997;1.0941502;5.2747254;-0.89303726;
-1.933923;-1.2682326;-0.21219932;1.68;-45.239998;1.62;1.103727;5.8301806;-0.29448682;
-1.9693532;-0.98112595;-0.5976553;2.3999999;-45.36;-2.1599998;0.12210429;5.5811834;1.5251064;
-2.5728881;-1.3360387;3.8179077E-4;2.9399998;-44.82;-8.28;-0.40222588;3.8235402;1.1348516;
-2.1532235;-0.4649448;-0.38568506;2.04;-42.18;-13.799999;0.60094464;5.585972;4.8027687;
-2.6657395;0.081779584;-0.47487137;3.78;-38.94;-18.539999;-2.1380222;6.083966;3.145981;
-2.8575513;0.4715116;-1.0496956;4.44;-36.3;-24.48;-1.8866309;7.759907;9.684845;
-3.0255392;1.2350931;-1.0857366;6.6;-32.579998;-30.0;-6.1893106;7.1398087;6.644209;
-2.9436831;0.99685574;-0.69478285;11.099999;-26.4;-34.32;-4.5298295;8.217199;10.8987055;
-2.8428905;1.9491947;-0.85605127;13.32;-19.5;-37.44;-6.586748;7.8844056;11.056723;
-2.6284769;1.829465;-0.2738967;18.6;-10.08;-38.52;-7.2595186;7.1517797;13.218687;
-2.4855344;1.9724075;0.31497738;23.279999;-4.08;-38.52;-5.174169;7.3912;15.857396;
-2.2961662;2.133676;1.2025646;27.359999;0.59999996;-34.32;-8.523658;5.6314616;13.893851;
-1.8758909;1.5331954;2.220877;28.98;3.12;-31.74;-2.9352913;5.822998;18.72565;
-0.995634;2.2515728;1.6637678;31.5;2.9399998;-30.539999;-2.6288335;3.3446999;14.85662;
-0.16974418;1.2112694;1.5641968;33.6;2.46;-27.599998;-1.6424223;3.2369606;14.150031;
-0.47762027;1.2668581;1.9472094;36.36;-0.06;-26.88;-3.3877954;0.49559975;10.419865;
-1.0677161;0.16119206;2.8158598;37.32;-3.12;-25.74;-0.58897364;-1.5921441;10.750265;
-0.8410851;-0.6176611;2.4078016;35.16;-5.8199997;-26.279999;2.111686;0.39983168;10.072706;
-0.188681;0.33223432;-0.2897792;33.42;-7.44;-29.16;1.6184803;2.2170308;11.11179;
0.38919753;0.08239045;-0.7912996;33.54;-6.3599997;-28.56;-3.7445314;-0.107739076;7.6354084;
-0.035353824;-0.8058076;0.12072224;34.32;-6.7799997;-27.599998;-3.7588966;0.89064306;7.9921446;
