gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
0.21265747;-0.23525947;0.26244298;3.06;-3.0;-45.899998;-1.6424223;0.37349546;9.548376;
-0.17157678;0.106214195;0.41027236;2.34;-2.04;-45.539997;-3.1794999;-0.0023942017;8.138191;
-0.60223675;0.21433735;0.83421284;2.58;-2.9399998;-46.2;-6.644209;0.36391866;8.406342;
-0.34445164;0.26320657;2.6179395;3.6;-1.86;-44.399998;-9.811738;0.1364695;9.337686;
-0.42203152;1.2821298;3.3705254;4.3199997;-3.54;-45.36;-13.699922;0.8523358;11.133337;
-0.14408784;1.4690546;5.099274;5.7;-4.62;-45.36;-13.245023;-1.3335704;14.525921;
0.13507758;1.186224;6.890331;4.14;-6.8399997;-43.92;-10.242694;-2.3774424;18.90282;
1.0452667;0.9376018;7.247076;1.3199999;-8.34;-43.86;-1.7860745;-1.4293385;22.443846;
3.0354657;0.036575556;4.264221;-3.9599998;-9.96;-44.34;4.0318356;1.5705963;25.573366;
4.0152936;-0.08620836;2.9667435;-6.42;-13.5;-43.559998;-0.31364042;-1.6543933;21.15337;
3.750789;-1.0367147;3.0620384;-10.8;-18.72;-39.719997;-0.770933;-1.3359646;19.144636;
2.988429;-2.190639;3.47254;-17.46;-25.14;-36.059998;0.6488287;0.18435353;11.291354;
2.3286946;-3.4728453;3.1897092;-26.76;-26.22;-29.88;3.2249897;1.8004397;10.620978;
1.661019;-4.5504117;2.7217865;-36.719997;-26.58;-20.039999;6.2755017;0.9648633;7.891588;
0.58895046;-4.1912227;0.47441322;-41.82;-22.98;-9.78;7.855675;-0.17956513;5.4590793;
0.4618905;-3.6634352;-1.6880498;-42.66;-21.84;0.06;2.420538;-1.0295067;12.926594;
1.3152692;-3.7990472;-1.6660585;-38.879997;-26.099998;7.9199996;-3.6990416;-2.0829554;5.5332994;
0.5510768;-4.5235333;-0.22930354;-31.619999;-28.199999;18.66;-3.727772;-0.9624691;2.2649148;
-0.14775303;-4.1026473;0.05719226;-27.3;-28.08;24.9;-3.5984852;-0.9504981;-0.20350714;
-1.5832864;-3.946266;0.2935971;-18.119999;-28.019999;30.9;-2.9496565;-1.091756;-3.7612908;
-3.021874;-3.9242747;0.90934926;-12.66;-30.84;30.9;-4.0222588;-1.4508862;-1.4221559;
-4.591798;-3.106937;0.069409564;-7.5;-34.32;28.619999;-4.3646297;1.3958195;3.2321723;
-3.874031;-1.5498415;-1.0851258;-2.6399999;-39.84;21.18;-11.413459;5.040094;8.921095;
-5.197776;-0.84245956;-1.3429109;0.42;-43.559998;11.639999;-9.543588;6.1629744;3.2393548;
-5.0829334;0.5411503;-1.8841375;4.44;-44.94;-0.84;-11.880328;6.9123597;11.075876;
-5.2674146;1.0096838;-1.1620947;8.04;-44.399998;-15.42;-10.661679;10.470143;14.001591;
-4.449466;1.8184695;-0.32643113;13.2;-34.92;-30.96;-12.375928;11.418247;14.897322;
-3.796451;1.4550047;0.8458193;15.54;-26.279999;-37.14;-5.358523;12.102989;20.392014;
-2.423837;1.1251374;2.0339522;18.359999;-16.38;-39.719997;-3.098097;8.480561;20.080769;
-0.9143889;1.4006376;0.44264823;19.199999;-14.04;-39.78;1.6136919;6.5340757;14.418182;
-0.922941;0.78427464;1.3485614;21.48;-12.84;-39.42;-4.4963107;1.7501614;9.962572;
-0.91011286;0.17402023;1.209895;22.14;-11.94;-37.86;-0.33997664;2.8083985;12.37114;
-0.2674826;0.80687666;0.33391422;22.08;-12.12;-38.34;-2.0638018;2.0231004;10.551546;
-0.29741502;-0.08987355;0.78839797;22.56;-11.46;-39.3;-3.6727054;1.103727;9.239524;
-0.45929432;0.27603474;0.42432228;22.08;-12.12;-38.46;-3.466804;0.60094464;8.03524;
-0.43241623;-0.22304218;0.46647197;21.9;-12.0;-38.46;-2.5091233;0.94810385;8.571542;
-0.39576432;0.02985604;0.030314188;21.3;-11.7;-38.219997;-3.7134068;0.842759;9.239524;
-0.34322992;-0.1698969;0.1567633;21.0;-10.679999;-39.54;-4.0797195;1.1971009;8.784625;
-0.29863673;-0.09292787;0.14393513;20.46;-11.88;-39.84;-4.175488;1.5346833;9.641749;
-0.015806139;-0.14668402;0.14210252;20.279999;-10.26;-39.78;-3.9432502;1.4197617;9.170092;
-0.10865766;-0.0819323;-0.058872137;20.039999;-9.84;-39.719997;-3.952827;1.1372458;8.236353;
-0.16119206;-0.040393464;-0.04665483;19.56;-10.5;-39.12;-4.3239284;0.8595184;8.442254;
-0.051236324;-0.3488804;0.23434319;19.5;-9.059999;-39.84;-4.4723687;0.7541735;8.803779;
-0.21128301;-0.14790575;0.10178542;19.26;-9.96;-39.78;-3.775656;0.9672575;9.134179;
0.04466952;-0.19677497;-8.399397E-4;17.88;-10.139999;-40.32;-3.928885;0.92655605;9.80695;
0.08437576;-0.19066632;0.012599096;17.82;-9.54;-40.62;-3.86903;0.8523358;8.763078;
-0.03718642;-0.040393464;-0.060704734;17.279999;-9.599999;-40.559998;-3.8594532;0.91219085;9.2347355;
0.04772385;-0.03611741;-0.015500706;17.1;-9.3;-40.62;-3.608062;0.8882488;8.605061;
-0.026801713;-0.008628472;-0.035659257;16.5;-9.12;-39.6;-4.000711;0.878672;9.213187;
-0.028023442;-0.056886826;0.040698897;17.1;-9.54;-40.86;-4.050989;0.8355764;8.976161;
