gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
0.74097955;0.04925101;1.0877982;-39.42;13.2;-25.199999;5.552453;2.0590134;7.249942;
1.1368202;0.04008803;1.0151054;-37.5;12.9;-25.92;5.8493342;2.695871;8.300997;
1.4972308;0.14821118;1.2765557;-36.12;12.78;-26.699999;5.5716066;3.2944214;12.4190235;
3.0518827;2.8971047;0.7432703;-34.739998;12.42;-28.619999;3.0789435;2.822764;15.926828;
4.0152173;2.017459;1.7047722;-31.679998;9.719999;-32.219997;6.8165917;3.1651347;17.080833;
5.1324897;2.446897;1.5795448;-27.119999;2.82;-37.44;10.774207;5.4279547;11.492468;
4.7531424;2.2947917;0.29978213;-22.439999;-3.6599998;-39.18;12.454937;7.9059534;12.215516;
5.04086;1.867186;-0.6403395;-18.06;-15.12;-37.559998;15.115194;7.843704;6.7256117;
4.536896;1.3491722;-1.132086;-13.559999;-22.74;-35.34;15.2732115;6.6418147;6.3856354;
4.491081;0.04802928;-1.6690365;-9.719999;-32.399998;-27.3;14.806342;7.8844056;2.6048915;
4.796514;-0.71066535;-1.1436925;-7.62;-37.68;-19.68;7.791032;3.9791632;1.0821792;
4.3450847;-2.0655644;-0.1815797;-6.7799997;-42.12;-9.42;7.3026147;4.4580035;-4.9419317;
3.0396655;-2.9843059;0.38347065;-6.2999997;-44.94;0.48;7.048829;5.2866964;-5.126285;
2.6847527;-3.459559;1.0114402;-6.2999997;-44.52;7.7999997;4.8386817;4.1060557;-4.501099;
2.1600194;-3.967188;1.4854716;-5.64;-43.86;15.36;4.9012303;3.9264908;-6.1749454;
1.1246029;-3.885943;2.182469;-5.52;-41.579998;21.119999;4.343082;3.1723173;-3.739743;
1.3335189;-3.713068;2.1616993;-4.2599998;-39.78;25.56;4.6279917;3.739743;-3.0885203;
0.9089675;-3.44612;2.3345742;-2.58;-38.04;28.38;1.7932571;3.016694;-4.865018;
1.0146471;-3.3581553;2.4451408;-1.38;-36.899998;31.26;0.81642276;3.4237084;-4.51307;
0.42149702;-2.6727645;2.3168592;1.1999999;-36.899998;32.76;0.016759412;3.8163576;-3.940856;
0.44715336;-2.3373995;2.1733057;2.46;-35.88;32.46;-0.5410896;4.3837833;-4.8937483;
-0.38728857;-1.8829157;2.1849122;2.8799999;-37.079998;32.219997;-2.336741;4.5394063;-5.2771196;
-1.1294898;-1.7204256;1.8434386;3.1799998;-38.1;30.24;-0.34237084;6.7806783;-3.2345665;
-0.9804387;-1.360626;1.2411255;2.76;-40.079998;28.019999;-2.135628;7.034464;-2.633622;
-0.12095132;-1.40583;1.4231633;1.68;-42.239998;24.66;-2.5785553;6.1629744;-1.508347;
-0.5296202;-0.9348529;1.5642731;-0.17999999;-42.059998;23.88;-2.789245;6.6896987;-3.5936968;
-0.6377433;-0.94645935;1.3040446;-2.28;-41.879997;23.279999;-2.5187001;6.9578495;-2.468422;
-0.6658431;-0.7430412;1.623527;-4.08;-43.02;21.24;-3.1723173;6.383241;-1.9177556;
-0.6597345;-0.7198283;1.75975;-5.8799996;-42.3;18.96;-0.50038815;7.4438725;-0.7038953;
-0.43310347;-0.41378483;1.7982346;-9.36;-42.18;18.18;-1.8052281;7.1613564;-0.7589619;
-0.83199847;-0.16760615;1.7383698;-11.58;-41.579998;18.0;0.5793968;8.746318;-0.47644615;
-0.3475823;-0.15050192;1.8739818;-15.12;-42.18;16.8;-0.095768064;7.994539;-0.1412579;
-0.41172317;-0.064369924;2.0334177;-18.24;-40.8;16.02;2.0278888;9.067142;-1.3503298;
-1.3390167;0.402942;1.6387987;-23.519999;-39.059998;15.299999;2.3295584;8.406342;-0.06464344;
-0.4428773;0.5202281;1.8330538;-25.859999;-38.64;12.179999;3.3327289;8.437466;2.4947581;
-0.9841039;0.67783135;1.5984817;-30.779999;-35.88;10.38;5.3752823;8.614637;3.4117374;
-0.46731192;1.0779481;1.5636623;-34.02;-34.68;7.7999997;4.606444;7.7694836;2.4349031;
-0.54305923;1.0492374;1.7133243;-37.14;-32.399998;5.64;6.5699887;7.249942;3.4117374;
-1.1172725;1.6112335;1.6974418;-38.82;-29.279999;2.3999999;6.9434843;7.3983827;2.5881321;
-0.72326446;1.191569;1.9985983;-40.559998;-26.699999;-2.58;8.08073;6.694487;5.030517;
-0.3866777;1.3839916;2.1482604;-42.54;-21.66;-5.46;11.442189;8.415918;2.870648;
-1.2284501;1.3998741;1.587486;-43.32;-16.26;-9.179999;10.259454;7.67611;4.7620673;
-0.29993483;1.1182652;1.669342;-43.68;-12.9;-12.599999;11.303326;7.4893622;5.296273;
-0.32070425;1.4884496;1.5661057;-44.52;-8.099999;-15.48;11.569082;6.830957;5.8780646;
0.07880162;1.3943763;1.2472341;-43.86;-3.72;-19.68;10.589853;6.3760586;5.861305;
0.52595496;1.1365912;1.0969613;-42.78;-0.96;-21.359999;10.149321;5.360917;4.2042184;
0.54733527;1.2105058;0.9637926;-41.879997;2.3999999;-24.06;9.763854;4.994604;4.709395;
0.2180789;0.6662249;0.7115053;-41.1;4.2599998;-25.08;9.170092;3.6894648;4.197036;
0.5540548;0.39316815;0.50320023;-39.78;5.1;-26.64;9.565135;3.2561142;3.5122938;
0.5180137;0.7706829;0.22831088;-39.059998;5.58;-27.96;8.5260515;2.4372973;5.552453;
