gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.14126259;-0.13057245;0.28168523;-11.5199995;-10.08;-39.12;2.801216;-0.22266077;9.349657;
0.034055736;-0.018784106;0.3720933;-10.74;-9.78;-39.059998;2.5067291;-0.007182605;9.364022;
-0.13820826;-4.5814895E-4;0.47105345;-11.58;-10.32;-39.899998;1.7860745;-0.18914193;9.486126;
0.21853705;-0.517861;0.9560805;-11.88;-10.8;-39.36;-1.2401965;-1.0151415;10.980108;
1.1788172;-1.0230466;1.5834391;-13.559999;-10.5;-39.36;-0.6775591;-0.19871874;13.07264;
2.0114264;-1.2454015;2.3005948;-16.92;-10.98;-37.079998;-0.25139117;0.110133275;17.406445;
2.7786732;0.25244007;2.1295526;-21.66;-14.58;-35.64;-0.045489833;3.347094;15.570092;
3.3449454;1.195616;2.182087;-22.98;-18.119999;-33.12;5.234024;3.7660792;17.138294;
3.9393172;1.1888965;1.6952274;-23.58;-22.56;-31.56;6.060024;3.4596214;19.733608;
5.052314;1.0483974;1.8320612;-24.66;-26.76;-27.599998;6.5412583;4.5777135;17.564463;
6.161034;0.68371093;1.0153344;-27.0;-31.38;-22.02;12.23467;5.1909285;16.771982;
6.061463;0.6372852;-0.20395264;-26.46;-35.1;-13.62;13.723864;4.3406878;10.738294;
5.4683127;-0.5355761;-0.99257964;-27.599998;-37.14;-1.38;11.808502;3.301604;6.598719;
5.082857;-0.82818055;-0.58146733;-25.32;-37.559998;9.719999;9.033623;2.7030537;3.6248214;
4.3461537;-2.0535762;-0.49472448;-23.939999;-34.02;20.16;7.558794;4.0533834;-2.8419175;
3.0114129;-2.5343273;-0.2308307;-19.199999;-28.56;31.26;7.520487;3.8546648;-4.1491513;
2.585029;-3.7896552;-0.05062546;-15.12;-24.18;36.66;6.1917048;2.9616275;-2.56419;
1.510517;-3.7102427;0.24930938;-5.04;-18.72;42.0;4.3957543;2.554613;-3.928885;
1.8519907;-4.4188466;0.76854485;3.6;-15.48;43.379997;2.0374656;1.673547;-1.6112977;
2.3516784;-4.225202;1.7392097;11.82;-9.66;41.82;0.7733272;2.0925324;-4.879383;
1.6888897;-4.430453;2.1350503;19.5;-4.02;39.059998;0.48362875;2.3439236;-5.3657055;
1.1873693;-4.035834;2.331749;24.48;-1.68;35.64;0.79248077;3.5434184;-5.0353055;
0.28695396;-4.1152463;1.9670625;29.76;-3.6;32.76;0.5267244;4.285621;-3.833117;
-0.4277584;-3.5660787;1.6542995;34.38;-9.36;27.66;-1.5945383;3.169923;-1.7118542;
0.04932737;-3.9845214;2.1106157;39.239998;-17.88;18.42;-1.7860745;3.1890767;-0.36631286;
-0.34590244;-3.2264376;2.3561835;39.899998;-22.32;11.04;-2.1452048;2.6192567;0.79487497;
-0.4363105;-3.3272302;2.9071841;36.899998;-26.76;3.12;-0.35194764;3.4165258;2.633622;
-0.6397286;-2.1470387;2.9933162;31.56;-33.84;-3.6599998;-0.29927522;3.6128504;3.1292217;
-1.0997101;-2.322357;2.6457338;23.34;-36.6;-8.88;2.5498247;5.317821;5.9738326;
-1.3153456;-1.2038627;2.3005948;15.42;-35.28;-12.84;4.0701427;6.038476;5.9858036;
-1.2841915;-1.0859656;2.6665032;9.719999;-35.34;-16.5;2.3558946;4.2880154;6.5316815;
-1.5120442;-0.7292204;3.174132;4.08;-32.94;-18.119999;4.309563;3.8355112;8.260295;
0.56001073;-0.3846924;4.1918335;-2.1599998;-32.16;-21.3;9.335292;4.8937483;10.47972;
-1.6226108;0.039858956;3.3525047;-8.7;-30.72;-21.539999;10.841245;6.646603;7.022493;
-1.6684257;0.030085113;3.0941088;-13.44;-28.68;-27.18;12.258612;6.3377514;7.975385;
-0.5169447;0.22983804;3.981085;-18.9;-24.6;-30.96;12.02398;3.6846764;13.762171;
-0.56092703;0.64828074;3.583412;-23.34;-20.22;-33.36;14.890139;6.083966;11.8779335;
0.6424775;0.9640981;3.6249506;-25.38;-16.199999;-34.32;15.105618;6.65618;10.201993;
1.129948;1.0465649;3.1142673;-26.34;-13.08;-35.1;14.7824;6.6035075;7.7982144;
2.7896688;1.300074;3.2370512;-27.3;-11.34;-35.88;16.266806;4.9275665;6.0073514;
0.5954409;1.3214543;1.5528958;-27.779999;-11.4;-35.34;13.0558815;4.8458643;2.0446482;
2.5825856;0.56214875;2.1613176;-26.279999;-10.8;-36.36;9.641749;-2.6144683;9.593865;
4.556902;0.78022766;2.6176338;-27.66;-12.3;-36.059998;14.197915;0.89543146;-0.20350714;
0.944245;0.41431937;0.73067117;-28.5;-15.0;-32.88;10.137349;1.1755531;1.7286136;
-0.042913284;0.5694791;0.05933029;-29.039999;-15.78;-32.64;8.293814;0.533907;2.4181437;
-0.8553641;0.34529158;-0.12454015;-27.599998;-16.5;-34.02;5.9977746;-0.5554548;6.071995;
0.2667954;0.22556199;0.672639;-27.3;-14.46;-34.92;6.1270614;-0.22026655;7.3361335;
0.18493946;-0.26618454;0.60666555;-27.42;-14.04;-34.32;7.63062;0.91219085;6.4694324;
-0.05513059;-0.13607024;0.27252227;-29.46;-13.679999;-34.86;7.8724346;1.3599066;6.7854667;
-0.37827832;0.10277808;-0.18379408;-29.34;-12.599999;-34.02;8.061577;1.0175357;6.953061;
