gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
0.258396;0.005879578;0.5795584;-42.78;-15.36;-19.14;4.9155955;1.8052281;7.922713;
0.66767573;-0.20059288;0.8037459;-42.66;-15.48;-18.779999;4.4580035;2.0231004;8.030452;
1.065349;-0.16821702;1.306488;-43.44;-13.799999;-19.14;3.1747115;1.3311762;10.0751;
2.1789563;-0.42050436;1.8385516;-45.539997;-12.3;-16.68;2.791639;1.1228806;10.5802765;
3.001181;0.089568116;2.1959078;-46.92;-11.4;-16.619999;6.8979945;2.4013844;10.2139635;
2.4367414;0.9667706;1.4903585;-46.079998;-8.28;-14.759999;7.472603;3.7541082;10.446201;
3.1606169;1.1152109;1.3217597;-46.2;-7.14;-17.1;7.7551184;3.6391866;12.2634;
4.2143593;1.6362789;1.5086844;-44.64;-7.62;-18.539999;9.131784;4.175488;12.471696;
4.828279;1.4670693;0.88132584;-43.32;-7.56;-20.22;11.027992;5.8110266;9.517251;
4.783075;1.345507;0.40240747;-43.02;-9.78;-22.199999;11.229105;6.1031194;9.246706;
5.798944;0.87147564;0.22036964;-41.1;-13.5;-21.6;13.280936;6.3162036;9.591472;
4.8789806;0.43531784;-0.70814556;-40.44;-16.98;-19.92;14.569016;8.037635;1.0941502;
4.0054436;-0.46326494;-1.6110044;-39.239998;-22.859999;-15.599999;15.096041;7.1493855;-0.12689269;
3.5155294;-0.89392495;-1.4967725;-36.719997;-26.16;-8.28;11.703157;3.809175;2.5139117;
4.439769;-2.1797962;-0.09972375;-34.68;-29.76;0.78;9.543588;3.1148565;-5.782296;
2.6181684;-2.6672668;0.38774672;-33.66;-29.16;8.5199995;9.395146;3.7205894;-7.666533;
1.745242;-3.278132;0.8232936;-30.3;-26.64;18.24;9.081507;2.918532;-3.7708676;
1.409877;-3.7973673;1.5092953;-27.359999;-23.1;26.939999;5.291485;1.376666;-6.94109;
0.33108896;-4.1137958;2.1012237;-22.26;-20.1;33.239998;5.7008934;1.6448165;-4.201824;
0.10751228;-3.9977312;2.598468;-16.32;-17.88;38.16;5.5596356;1.9656396;-2.4660277;
0.5131268;-3.8315759;2.8342621;-9.84;-15.9;41.04;4.201824;2.566584;-3.3446999;
0.22724187;-3.8547888;3.06578;-4.62;-13.139999;43.559998;3.1292217;2.7269957;-3.4524388;
-0.03481932;-3.445509;3.173903;1.74;-11.58;45.059998;2.1859062;3.217807;-3.5434184;
0.055588737;-2.819983;3.1861205;7.56;-12.24;44.219997;1.9847932;4.0318356;-2.1787236;
0.24862215;-2.5340981;3.3840408;11.94;-13.139999;43.92;1.5945383;4.5202527;-2.492364;
-0.35185838;-1.9495001;3.070056;15.78;-15.54;42.84;1.2186487;4.9539027;-4.048595;
-0.4111123;-1.5365552;3.012024;18.18;-16.68;41.1;1.5035586;4.9299607;-1.0342951;
-0.44959682;-1.2054662;2.9967523;18.119999;-21.48;38.04;1.9895816;6.024111;-3.4356794;
-1.2302825;-0.8224537;2.6155722;19.8;-24.96;36.6;2.1092918;6.8381395;-2.195483;
-1.246776;-0.594601;2.4714081;16.74;-29.519999;33.54;2.3654714;7.0153103;-1.103727;
-1.6676621;-0.18837558;2.3278546;14.28;-32.52;29.64;2.8179753;7.6617446;0.21787235;
-1.2822062;-0.25434902;2.562427;9.12;-35.88;27.06;4.8722005;8.619426;1.328782;
-0.97249746;0.45975244;2.5178337;5.7;-38.94;24.66;4.6399627;8.619426;3.2752678;
-1.1386528;0.8348237;2.6332874;-0.59999996;-39.3;21.779999;5.1406503;7.340922;7.000945;
0.63529986;1.1219304;2.997363;-5.4;-39.899998;20.88;9.012074;8.775048;1.8148049;
-0.6713409;1.7639498;2.2288945;-14.16;-36.48;19.619999;10.017639;8.942642;1.508347;
-0.38423425;1.4829518;1.6662877;-19.56;-36.84;17.52;11.209951;9.292196;0.5482722;
-0.51251596;1.871462;1.5563319;-25.8;-34.98;13.08;11.7678;8.140585;2.7581203;
-0.571159;1.8574121;1.2209669;-30.359999;-34.26;9.96;11.401487;7.190087;3.2824504;
-0.24923302;2.0315087;1.297936;-34.14;-32.399998;2.58;12.450149;6.7495537;2.5713725;
0.2321288;1.740126;1.2460123;-34.559998;-28.439999;-2.6399999;12.627319;5.660192;2.8395233;
0.18081611;1.6136769;0.7603745;-34.62;-25.5;-3.12;12.943354;6.004957;0.93373865;
0.021991149;1.486006;0.7487681;-35.76;-23.279999;-4.2;11.581053;4.1180267;3.1723173;
0.15515977;1.4004849;0.48792863;-37.86;-21.539999;-4.98;12.335226;4.4556093;1.8507179;
0.21746802;1.1048262;0.3743077;-37.44;-19.98;-8.22;9.720758;2.9496565;5.1526213;
0.36102137;0.9508881;0.11835514;-38.7;-19.68;-9.36;8.81575;3.8594532;3.4165258;
0.2510656;0.6124688;0.019394971;-38.7;-18.06;-10.32;9.555558;2.7509377;4.072537;
-0.012217305;0.6540076;-0.22495113;-39.42;-18.0;-11.82;8.8444805;3.0190883;3.2369606;
-0.35185838;0.3833943;-0.33001995;-38.16;-18.06;-12.78;8.063971;2.4588451;5.0353055;
-0.021380283;0.14210252;-0.13209961;-38.219997;-18.48;-13.259999;7.546823;2.1092918;5.8636994;
-0.16920967;0.06269005;0.020005837;-38.1;-18.96;-14.58;6.052841;2.480393;4.1276035;
0.22968534;0.15920675;-0.013591751;-38.64;-18.06;-14.34;8.107066;2.633622;6.426337;
