gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.6987535;0.011530082;1.1170435;0.42;-3.36;-44.399998;-5.9020066;0.10534488;8.15495;
-0.61139977;0.20945042;1.8635207;0.42;-2.34;-45.12;-5.873276;0.62488663;10.178051;
-0.7616726;0.58329993;1.6442201;0.17999999;-0.65999997;-44.34;-5.8517284;0.5793968;8.734347;
-0.6883688;0.39515346;2.619772;-0.78;1.86;-44.76;-10.206781;0.82599956;12.306496;
-0.12331842;0.5246569;3.476205;-1.38;3.8999999;-44.04;-10.956166;0.93134445;13.829208;
0.35254562;0.30352366;4.866534;-1.56;5.52;-44.1;-7.4702086;0.37349546;15.357008;
1.13934;0.47395507;4.2629995;1.0799999;6.8399997;-44.219997;-4.3167458;1.7597382;16.329054;
1.6988926;-0.10819951;3.956345;0.96;6.06;-45.42;-2.6120741;2.9616275;17.475876;
2.3958898;-0.32566753;3.4303901;2.46;2.04;-45.899998;-1.8555063;2.0207062;18.174984;
2.6958246;-1.0043389;3.0528755;2.58;-3.48;-46.2;1.1180922;1.5777789;16.123154;
2.9462795;-1.4606552;2.2648592;-1.62;-9.599999;-47.52;3.1771057;0.50278234;15.991471;
2.9633837;-1.588326;1.3284029;-7.7999997;-16.859999;-43.5;3.3423057;-0.7062895;10.673651;
2.0831268;-3.0360765;1.8109864;-13.679999;-22.56;-40.559998;5.358523;0.29209262;8.353669;
0.7850382;-4.062941;1.9997437;-23.039999;-24.539999;-34.32;8.832509;0.45729253;6.208464;
0.97929335;-3.8106537;-0.34658965;-30.84;-23.22;-28.5;9.383176;1.400608;9.5795;
0.09292787;-3.4215326;-0.9702831;-33.66;-25.68;-19.08;2.4660277;-0.02873042;6.5460467;
-0.22288945;-4.2608614;-0.5054146;-33.12;-26.82;-13.92;1.7908629;0.08140286;3.6655228;
-1.0469466;-3.6616027;-0.934242;-32.94;-30.179998;-6.54;0.6823475;0.8690952;4.7189717;
-1.1550698;-3.8063776;-0.5585599;-31.92;-30.96;-3.84;-0.45250413;1.5634137;3.098097;
-1.8502345;-3.237662;-0.5658903;-30.72;-32.94;-0.17999999;-0.2753332;2.4756045;2.087744;
-2.047544;-2.807002;-0.67767864;-28.68;-33.96;0.96;-1.5155296;2.291251;3.0119057;
-2.4757605;-2.4209354;-0.47914743;-27.18;-35.64;1.74;-2.066196;3.1603463;3.3877954;
-2.7139978;-1.7410423;-0.6843982;-25.98;-35.52;0.65999997;-3.5745432;2.9735985;2.6144683;
-2.8380036;-1.1234576;-0.87315553;-24.06;-37.68;-2.28;-3.3758245;4.9132013;6.4981627;
-2.949792;-0.34521523;-1.3203089;-23.039999;-37.32;-7.62;-2.6431987;6.6992755;9.059958;
-2.6156485;0.39515346;-1.5713745;-20.76;-38.219997;-12.179999;-6.9219365;6.038476;7.355287;
-2.5716662;0.49716794;-1.4449254;-16.74;-37.739998;-18.6;-6.548441;6.3114147;8.662521;
-2.994385;0.43608144;-0.4253913;-14.34;-37.26;-22.5;-6.704064;6.332963;10.573094;
-3.0194306;1.2143238;-0.3197116;-11.219999;-34.26;-30.119999;-7.6114664;7.0631943;11.956943;
-2.5722773;1.1697305;0.4273766;-8.82;-31.859999;-35.219997;-7.206846;6.9219365;15.038579;
-2.3584743;1.244867;1.0803915;-7.56;-26.22;-43.379997;-4.2880154;5.63625;16.28117;
-2.0121138;1.5240325;1.345507;-2.58;-20.58;-47.46;-4.297592;4.0222588;13.908216;
-1.2845732;1.5325845;1.1830169;-0.35999998;-15.0;-48.12;-2.5689783;3.3734303;14.796765;
-1.5313628;1.0170143;2.0168478;3.4199998;-10.679999;-46.8;-4.9754505;1.0390835;13.867516;
-0.7231881;0.66087985;2.3699281;4.08;-7.2599998;-45.3;-0.8331822;0.94570965;13.240234;
-0.7183012;0.71219254;2.1261928;3.3;-4.98;-43.62;-0.023942016;0.16759412;12.426206;
-0.41836634;0.5350416;1.4120914;2.46;-3.3;-44.28;1.2114661;-0.36391866;10.671256;
-0.37927097;0.43547055;0.83665633;3.36;-2.28;-44.52;0.90500826;-0.581791;10.728717;
-0.2674826;0.596739;0.24228443;3.72;-1.38;-44.28;-0.33997664;-0.60094464;9.586683;
-0.4489096;-0.14912748;0.73280925;3.84;-1.26;-43.92;-1.9847932;-0.1436521;9.292196;
-0.3731623;-0.7380016;1.0339658;3.84;0.06;-43.26;-1.2617443;0.50517654;10.513239;
-0.071394876;-0.022678372;0.07246389;2.1;1.4399999;-44.1;-1.6927006;0.8882488;9.933842;
-0.0035888334;0.19478965;-0.3386484;1.62;0.96;-44.28;-3.3973722;0.2657564;8.578724;
-0.20761782;0.067118816;-0.094913185;1.56;1.56;-44.52;-3.8738184;0.22744916;8.564359;
-0.23816109;-0.21876612;0.21601722;2.04;1.3199999;-44.76;-3.727772;0.29688102;9.014469;
-0.1605812;-0.004352415;0.1249983;1.86;2.04;-44.579998;-3.193865;0.31603462;9.5292225;
-0.17585284;-0.0037415496;-0.022831088;2.28;2.28;-44.94;-2.9759927;0.41180268;9.490914;
-0.02313652;0.026190847;-0.09857838;1.38;2.3999999;-44.219997;-3.169923;0.58418524;9.402329;
0.0067958757;0.09094256;-0.16882788;2.1599998;2.7;-44.28;-3.394978;0.6655881;9.663298;
0.04344779;0.025579982;-0.115071744;2.1;3.1799998;-44.46;-3.6008794;0.39264908;9.433454;
