gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.30779973;0.19906572;0.30642527;-9.059999;-4.2;-42.059998;-1.5227122;1.1683705;8.049605;
-0.5075527;0.04024075;0.32658383;-8.5199995;-3.6599998;-42.66;-2.0901382;0.8643068;8.2794485;
-0.5826891;0.610178;0.24839307;-8.22;-3.0;-42.66;-2.813187;0.59376204;7.3217683;
-1.2045499;0.22472206;0.811;-7.5;-1.74;-42.96;-5.624279;-0.6584055;6.01214;
-1.5423584;0.29741502;1.4750105;-6.18;0.59999996;-42.78;-8.538023;-1.0462662;3.98874;
-2.1232913;0.8001571;3.0540972;-6.7799997;4.74;-42.48;-13.515568;-0.47644615;9.799767;
-2.2485187;1.6400968;4.587369;-5.7;10.139999;-40.26;-16.590023;-1.1851299;11.652879;
-1.7347809;0.7183012;7.3289323;-0.71999997;17.82;-38.94;-15.155895;-2.0398598;21.881208;
-0.3768275;0.14958562;7.9660645;7.44;22.08;-37.26;-10.568306;-2.3056161;23.068731;
1.6854535;-0.63781965;7.632532;15.36;19.68;-36.48;-9.129391;1.5514427;29.825468;
4.181449;-2.3604596;6.601392;16.68;9.599999;-38.579998;-4.709395;-1.9752164;33.42156;
4.584009;-3.8674643;5.2697053;13.32;-1.3199999;-42.48;-0.93134445;-8.521263;29.212553;
4.1509056;-3.8167624;2.1738403;-0.78;-15.96;-40.68;0.07182605;-8.957007;17.763182;
2.5455518;-4.6224937;1.948431;-9.78;-23.82;-35.52;0.4309563;-6.929119;14.066235;
1.1772137;-5.5222983;2.1225276;-22.92;-28.74;-26.34;3.8498764;-5.456685;7.010522;
-0.5955173;-6.0116014;0.7767915;-32.28;-27.539999;-17.46;7.319374;-4.0533834;8.657733;
-2.1190152;-5.7299924;-0.7399869;-37.98;-27.18;-8.639999;3.8474822;-5.502175;7.6617446;
-2.4714844;-5.3482018;-1.3936127;-36.84;-28.68;-0.59999996;-0.09816227;-6.3257804;8.837297;
-3.475136;-4.9169307;-1.3600152;-32.94;-31.32;4.2;-4.980239;-6.8165917;8.233959;
-3.7817903;-5.4673204;0.52816933;-29.34;-33.12;4.74;-5.360917;-4.0940847;5.4279547;
-4.7750573;-3.6121225;-0.15661058;-27.66;-33.84;4.2;-3.8379054;-2.966416;10.83885;
-4.3914337;-2.2175171;-1.2421181;-27.119999;-34.68;0.53999996;-7.946655;-1.5107412;10.46296;
-4.4177012;-0.9750173;-1.119945;-24.18;-34.559998;-5.22;-12.976872;0.9864111;10.455778;
-4.046295;0.15263996;-0.9293551;-23.22;-34.2;-14.34;-14.60493;3.0573955;14.30326;
-4.811098;1.3279446;0.14943291;-21.779999;-31.74;-19.68;-13.259388;2.870648;11.88751;
-5.0713267;1.6883552;1.0974958;-20.16;-23.4;-30.0;-7.192481;3.9456444;21.349695;
-4.686482;1.9711858;1.3656656;-18.359999;-15.299999;-37.62;-1.2401965;5.734412;28.566118;
-2.721939;2.3016639;0.34429893;-12.78;-6.6;-42.78;0.7206547;6.2348003;24.524706;
-1.9950095;1.9626337;0.60697097;-7.08;-0.96;-43.62;-1.7477672;3.821146;20.20766;
-1.4776067;1.2961797;0.87819517;-1.38;2.76;-43.26;1.1061212;2.8323407;18.055273;
-0.8862891;0.9479865;0.901408;1.5;6.54;-41.64;-1.2976574;1.3192052;14.188338;
-0.36033413;0.33345607;0.88491464;2.58;8.16;-41.16;1.3623008;1.1372458;13.000814;
-0.18623754;0.42264238;0.47685668;3.0;10.08;-40.86;-0.60333884;0.055066638;11.796531;
-0.3114649;-0.6518696;1.4249195;4.02;11.099999;-41.579998;2.743755;-0.047884032;13.951313;
0.3476587;0.08239045;-0.21219932;3.24;11.58;-40.8;-1.3215994;-0.9720459;9.680057;
0.023289237;-0.3751476;-0.16088663;3.24;10.92;-41.76;-5.454291;-1.7764976;7.451055;
-0.038408153;-0.2260965;0.36629006;1.68;10.8;-41.46;-4.3622355;-1.163582;8.43986;
-0.1324814;-0.15340354;0.3308599;2.22;9.66;-41.28;-3.0358477;-0.7182605;9.56753;
-0.0139735425;-0.26580274;0.14515686;2.1;10.5;-41.34;-2.3056161;-0.60094464;9.665691;
-0.06528623;-0.015958855;-0.023441954;2.1;11.28;-41.399998;-2.7581203;-0.7781156;9.273043;
0.046502117;-0.22670737;0.14332426;1.38;11.5199995;-41.46;-3.004723;-0.7733272;9.620202;
6.872234E-4;-0.10819951;0.017486017;1.1999999;11.34;-41.16;-2.789245;-1.0726024;9.031228;
-0.15935947;0.0011453723;-0.009392053;0.84;10.679999;-41.28;-3.442862;-1.0199299;9.067142;
-0.12820534;-0.047112983;0.0846812;0.78;11.16;-41.16;-3.41892;-1.0654198;8.523658;
-0.2008983;-0.08071057;0.19280434;0.48;11.7;-41.28;-3.2704794;-0.93613285;9.773431;
-0.04879286;-0.036728274;0.17814358;0.71999997;12.0;-41.16;-2.96881;-0.81163436;9.629779;
-0.112322845;0.029245174;0.09567677;0.48;12.0;-41.16;-2.9712043;-0.8882488;9.170092;
-0.14103352;-0.050778173;0.14515686;1.4399999;12.54;-41.46;-3.0095115;-0.89543146;9.313744;
-0.086055644;-0.15279266;0.2129629;0.84;13.32;-41.28;-3.0573955;-0.94810385;9.347262;
-0.086055644;-0.070936725;0.1530981;0.42;12.059999;-40.86;-3.0023289;-1.0989386;9.273043;
