gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.13263412;-0.10224357;0.11636983;-54.059998;-2.8799999;-2.1599998;7.4558434;3.8762126;2.9113493;
0.41103595;-0.85482955;-0.1591304;-52.079998;-4.56;-2.82;7.862858;3.8259344;3.5529952;
0.6474408;-1.1688143;-0.43463063;-50.46;-5.16;-0.9;8.341698;2.9233203;4.0294414;
1.8453475;-2.2683718;-1.779756;-50.399998;-6.2999997;2.28;7.295432;1.4317327;5.2412066;
1.9889009;-1.8535942;-1.8799378;-48.42;-10.139999;7.68;7.2355766;1.0654198;3.550601;
2.5240188;-0.76503235;-0.50915617;-45.18;-14.16;12.179999;15.723321;4.0222588;3.4644098;
3.3535738;1.9392681;-0.92149025;-44.1;-15.96;15.48;13.40304;3.2441432;3.5649664;
2.704835;2.818914;-1.7351627;-44.7;-15.9;13.2;18.70889;9.371204;-2.4540567;
2.3994024;4.0583596;-1.9300288;-45.96;-17.34;8.639999;15.594034;8.523658;-0.45010993;
1.9669098;4.233678;-2.9733865;-47.219997;-19.439999;2.04;12.986449;11.626543;-6.0935426;
0.7903833;3.5965455;-2.473088;-45.84;-24.42;-4.14;11.221923;12.464514;-5.8206034;
0.31940615;2.850068;-3.0558534;-41.1;-31.019999;-10.5;10.338462;12.881104;-5.722441;
-0.58895046;2.2825744;-3.4266486;-32.16;-34.62;-12.179999;9.854834;13.726257;-7.1398087;
-0.6885215;1.840308;-3.6905425;-23.88;-39.96;-15.96;4.498705;10.649709;-7.022493;
-0.563905;1.0584004;-3.5091155;-16.02;-43.02;-18.6;4.0581717;11.9018755;-8.681675;
-0.19127718;0.15065464;-3.719253;-6.12;-44.52;-20.34;0.8810662;10.33128;-7.4438725;
-0.32016975;-1.0270935;-3.0112603;1.38;-44.399998;-20.64;-1.553837;9.081507;-7.0655885;
0.07383834;-1.7240908;-3.035084;7.62;-44.219997;-22.02;-2.0757728;6.5795655;-3.526659;
0.8056549;-2.6355016;-2.9404;11.94;-42.66;-22.74;-2.3870192;6.502951;-3.2561142;
1.1025354;-3.3972507;-2.8915308;16.14;-42.6;-22.859999;-2.195483;6.0696006;-2.303222;
0.90522593;-3.7692676;-2.250122;19.439999;-41.16;-24.6;-0.8403648;5.219659;-1.9321208;
1.6785814;-3.9739075;-2.6160305;19.74;-40.98;-26.58;-0.320823;3.8786068;0.94092125;
2.2314143;-4.071035;-3.1175508;20.4;-40.92;-28.14;-1.0175357;4.4723687;0.35434186;
2.1813235;-3.9366448;-2.4022276;19.8;-39.54;-27.359999;-1.5466543;4.429273;0.50038815;
1.5545757;-3.8315759;-1.7052304;19.14;-40.5;-27.06;-1.5705963;3.7708676;1.484405;
1.3511575;-3.72162;-0.21777347;16.08;-39.3;-26.34;-1.910573;3.4955344;1.1563994;
1.4537829;-3.794924;-0.31245756;10.92;-40.98;-26.699999;2.918532;3.1794999;3.5242648;
2.8538861;-3.073492;-1.294118;8.22;-40.98;-23.279999;2.6886885;3.5793316;3.2225955;
2.2613468;-2.5872433;-0.43096542;7.2;-42.78;-18.84;2.908955;4.747702;1.5921441;
1.9235383;-1.7124844;0.5500842;6.18;-43.86;-13.0199995;4.5082817;3.0933087;1.9057846;
3.0224848;-1.926898;-0.043066;5.16;-45.0;-9.36;5.099949;4.173094;-0.36152446;
3.093956;-1.555492;0.37843102;3.8999999;-45.719997;-3.6;5.408801;5.4638677;0.37588966;
3.593644;-1.2005793;1.1175779;3.54;-45.36;3.78;7.819762;7.9682026;-4.697424;
3.312646;-0.35880697;1.0729848;2.46;-44.579998;11.46;10.209175;8.229171;-5.7751136;
3.7188714;0.2587778;1.2385293;-0.06;-42.899998;19.38;11.1692505;9.696816;-4.76925;
2.6083183;0.6472881;1.3381003;-2.46;-37.86;26.46;8.746318;9.548376;-6.869264;
2.6406941;1.2202797;1.3106114;-6.2999997;-33.3;31.8;12.201151;11.226711;-9.658509;
3.3260849;1.526934;0.62949663;-9.96;-27.84;37.38;13.80766;11.24347;-7.549217;
2.3651938;2.0412827;0.042455133;-14.219999;-21.18;40.92;9.182063;9.933842;-10.336068;
2.540512;2.4713316;-0.025350908;-19.199999;-16.199999;42.239998;10.745477;9.950602;-10.134955;
1.3297772;2.3406065;0.24831672;-23.88;-11.7;40.8;8.933065;8.396765;-10.632949;
2.0683134;2.5721245;-0.8579602;-28.32;-8.7;38.219997;7.747936;8.734347;-10.76463;
1.2320389;1.8879554;-0.24465153;-33.84;-7.02;35.28;4.223372;8.075942;-10.64492;
0.43241623;1.2801445;-0.56779927;-36.18;-4.7999997;34.68;4.4580035;6.799832;-9.632173;
1.1440742;1.0730611;-0.9111055;-36.899998;-4.92;31.439999;5.44232;5.722441;-6.3521166;
1.0200686;0.5190064;-1.1872166;-37.62;-5.64;30.9;3.0262709;4.891354;-6.790255;
-0.47532952;0.17508925;0.96852684;-38.04;-5.8799996;30.84;5.0688243;4.2042184;-5.0712185;
-0.45944703;0.15615243;0.8750645;-39.18;-4.8599997;29.699999;8.578724;3.7541082;-2.8874073;
0.24243714;0.035811976;-0.29779682;-39.36;-3.6;29.22;8.561965;4.6112323;-3.8235402;
0.20945042;9.92656E-4;-0.45845437;-39.12;-4.38;29.76;7.226;4.747702;-4.2425256;
