gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
0.01947133;0.09445504;0.3539964;-38.16;16.98;-30.0;5.346552;-0.04309563;7.8484926;
0.13614659;-0.9030879;0.22082779;-37.14;18.0;-29.76;3.7804444;-0.29209262;7.75033;
1.3236686;-3.1797826;-0.44073927;-39.36;17.52;-29.16;4.685453;0.21547815;7.628226;
1.5344172;-2.36611;-0.16218472;-43.92;14.7;-25.14;0.545878;-3.9600096;12.65605;
4.2332196;-2.739349;0.3576616;-46.62;12.84;-20.46;8.748713;-0.7062895;11.518804;
4.2338305;-0.5768859;0.88422745;-48.539997;11.34;-17.16;13.484444;-0.7158663;8.715194;
4.376162;-1.2696071;-1.1572843;-47.52;11.46;-16.44;15.780782;1.9393034;4.876989;
3.9027417;0.833602;-2.16399;-46.32;5.64;-15.96;13.845967;5.4040127;2.9137435;
2.3248768;1.1976776;-2.9165761;-44.94;-2.1;-18.359999;15.359403;7.439084;-0.58657944;
1.1972195;1.6032922;-3.0430253;-43.559998;-10.74;-21.24;14.777612;7.252336;0.6703765;
1.0084622;1.1524737;-3.742466;-39.18;-18.84;-22.619999;16.32187;9.854834;-1.6089035;
1.5496888;0.9374491;-5.25619;-32.04;-29.16;-25.14;11.071088;9.179668;-5.2388124;
2.3047183;0.16836974;-4.5304823;-23.22;-39.84;-23.22;4.0174704;10.027216;-9.407118;
1.0640509;-1.6116916;-4.248873;-13.259999;-46.26;-19.5;2.5187001;9.98412;-11.078271;
0.0041996986;-2.2243893;-3.2635477;-4.2599998;-48.0;-15.42;1.8483237;9.182063;-10.259454;
-0.14973834;-2.760729;-2.3845124;2.76;-48.719997;-14.58;-0.25857377;7.1038957;-7.6234374;
-0.39774963;-3.6574793;-1.9984456;8.16;-50.039997;-15.96;-1.0654198;4.9155955;-5.406407;
-0.050778173;-4.289725;-2.0680842;11.16;-49.26;-18.24;-1.3694834;4.0581717;-3.8738184;
0.20334177;-4.268955;-1.7809776;13.259999;-47.579998;-21.539999;-0.79487497;4.2784386;-4.247314;
0.5796348;-4.107076;-1.2794572;15.059999;-47.7;-24.18;-0.40462008;3.3375173;-1.4796166;
1.2008847;-4.0545416;-1.0662653;14.46;-47.34;-27.0;-0.107739076;3.8474822;-0.7015011;
1.0493901;-3.9977312;-1.1707232;12.42;-47.28;-27.18;-0.81402856;4.4795513;0.0;
1.1807262;-4.004451;-1.0338894;10.0199995;-47.399998;-26.82;0.035913024;4.7070007;1.2904748;
1.5741234;-3.6709182;-0.92149025;7.2599998;-46.68;-25.98;2.492364;4.510676;3.1675289;
2.0005074;-3.4968216;-0.8549059;6.6;-47.16;-22.859999;1.1109096;3.9600096;2.3798366;
1.7860936;-2.9714775;0.2764165;6.0;-48.48;-18.06;1.3575124;2.8562827;3.2944214;
1.4342352;-2.2378285;1.1609493;4.08;-47.879997;-14.7;1.9440918;2.9735985;1.316811;
1.8031979;-2.0728948;1.058324;0.78;-48.78;-11.28;5.3800707;3.3758245;2.2960393;
1.9754618;-1.8413769;1.1859949;-1.26;-47.94;-7.44;7.072771;3.6607344;0.40222588;
2.6296985;-1.9171243;0.4456262;-3.9599998;-48.66;-1.86;9.833285;5.6170964;-1.685518;
3.3376913;-1.1260537;-0.014966198;-3.9599998;-46.8;4.2;7.25473;5.1645923;-1.8339585;
3.1703143;0.0052687125;1.4651603;-3.24;-44.82;11.88;9.713575;8.205229;-5.9594674;
3.361515;0.7749589;2.0039434;-5.8799996;-40.62;18.9;11.21474;9.560347;-5.758354;
3.2375095;1.5770249;2.097406;-13.08;-33.66;26.699999;12.893075;11.880328;-7.9921446;
3.2197943;1.5751925;1.6655241;-19.02;-26.88;29.82;11.269807;12.102989;-9.347262;
1.9803488;1.6668222;1.5457945;-23.34;-19.26;32.82;13.084612;12.586617;-8.753501;
2.4617107;1.5055537;0.15424347;-28.439999;-13.5;32.52;11.1931925;11.542746;-10.216358;
2.0823634;1.8861228;-0.29168814;-31.08;-8.099999;31.98;9.931448;9.656115;-9.5052805;
1.1324677;1.7114153;-0.23976462;-33.36;-5.8799996;30.24;6.479009;6.7304;-8.664915;
1.0157925;2.2141573;0.5946773;-38.16;-4.2;26.58;8.250718;5.5213284;-6.9602437;
1.1294135;1.2117276;-0.6954701;-40.68;-1.9799999;23.46;7.91553;5.0257287;-6.574777;
0.92416275;1.3571135;-0.9166033;-42.48;-1.62;21.42;6.5939307;4.280833;-6.7327943;
1.1110876;1.7914387;0.11453723;-42.48;-1.26;18.42;7.460632;6.0815716;-7.807791;
0.8288678;1.1121565;-0.33750305;-45.719997;0.84;15.78;7.2834606;4.197036;-5.746383;
0.40248385;-0.16210836;-0.26419923;-45.719997;1.38;13.86;7.10629;3.9504328;-4.498705;
-0.49793154;0.27832547;0.61422503;-46.68;2.04;15.179999;8.384793;3.5984852;-3.679888;
-0.5767332;-0.044211373;0.45356745;-46.8;2.28;14.219999;8.612243;2.9592333;-2.8754363;
-0.10514518;0.04925101;0.27091873;-46.5;2.9399998;14.4;8.542811;3.2106245;-2.4277205;
0.08483391;0.061468314;0.19883664;-46.14;3.1799998;13.32;8.67928;3.8043866;-3.490746;
-0.11369729;0.07429648;0.160963;-47.399998;3.54;12.9;8.825327;3.1244333;-2.6144683;
