gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
0.5277112;-0.47914743;0.18967366;-52.079998;-7.8599997;-8.099999;7.0655885;2.7389667;4.1371803;
1.1697305;-0.33681583;0.26297748;-50.879997;-8.28;-8.639999;6.9578495;1.922544;5.1191025;
1.7421113;-0.61964643;0.31673363;-51.6;-7.7999997;-7.56;7.0320697;1.9488802;5.8206034;
1.8141934;0.018707749;0.42302418;-50.579998;-8.04;-5.1;9.703999;3.2321723;7.75033;
2.6101508;0.80794567;0.2837469;-50.52;-6.8999996;-6.24;11.892299;3.3518825;8.490138;
3.334637;1.2899183;-0.37720928;-50.1;-8.16;-6.42;12.732664;4.390966;7.6497736;
3.4213798;2.2471442;-0.9825767;-49.68;-10.74;-9.36;13.529933;7.1398087;4.867412;
2.34137;2.7126236;-1.0955868;-47.7;-15.719999;-12.36;14.34875;8.578724;4.367024;
1.969964;2.7114017;-1.6734654;-45.719997;-17.76;-17.279999;15.646707;9.574712;3.4691982;
2.4311674;2.9441414;-2.631302;-41.76;-23.1;-20.22;14.645631;10.786178;-0.08140286;
1.6816356;2.329611;-3.4510832;-34.739998;-30.48;-23.039999;12.603377;12.402264;-4.6279917;
1.0542771;1.1298716;-3.8609738;-27.539999;-37.02;-23.76;9.464579;12.727876;-6.7351885;
1.2350931;0.017486017;-4.137696;-18.96;-42.3;-22.26;7.5276694;11.109395;-5.777508;
1.1581241;-0.79496473;-3.9300015;-9.96;-45.539997;-18.9;4.6591167;9.445425;-7.1948752;
1.213102;-1.6715564;-3.6318994;-1.14;-48.6;-16.619999;2.9041667;8.463802;-6.1510034;
1.0469466;-2.920165;-3.0192015;5.3399997;-49.02;-14.04;-1.9800048;6.2467713;-5.92116;
1.0426706;-3.6703074;-2.068695;11.28;-48.539997;-12.0;0.1436521;5.51654;-5.4830213;
1.1373547;-4.107076;-1.93797;13.92;-49.2;-11.88;0.82121116;5.3872533;-4.6902413;
1.0164034;-4.4088435;-1.5225816;17.699999;-48.239998;-14.219999;0.7637503;5.696105;-3.3638535;
1.045725;-4.188932;-1.5763378;17.88;-47.64;-15.9;1.1348516;5.2412066;-0.90500826;
1.4067463;-4.144339;-1.398576;16.98;-47.46;-16.92;0.23702596;4.7668557;-0.47405192;
1.2320389;-3.91221;-0.8775079;15.9;-46.86;-17.94;0.6560113;3.3518825;0.07182605;
1.6999617;-3.3630424;-0.5702427;13.139999;-46.26;-18.48;1.4293385;2.4349031;1.9847932;
1.9620228;-3.6141078;-0.5158757;9.9;-47.34;-16.68;1.4867992;1.6065093;2.4061728;
2.020055;-2.8627436;0.45845437;8.58;-48.539997;-12.66;3.7349546;2.1930888;2.755726;
1.5319737;-1.9061286;1.0906999;5.22;-49.02;-10.26;4.759673;2.9735985;3.787627;
1.5429692;-1.9165133;1.4914275;2.52;-49.379997;-6.6;3.335123;2.3654714;2.743755;
1.2919036;-1.1510992;2.5616634;-1.62;-49.559998;-3.12;9.2107935;3.667917;4.249708;
2.4623215;-1.2402855;1.6545285;-7.08;-49.98;0.65999997;8.478168;3.5434184;5.2292356;
2.6932285;-0.78458005;1.8982637;-11.88;-48.48;7.74;10.034399;6.682516;1.3215994;
2.4855344;0.55443656;3.2330043;-15.36;-45.48;15.179999;12.11496;9.787796;0.7517793;
2.3089943;0.47868928;3.098614;-22.8;-41.76;17.699999;13.848362;11.018415;1.5346833;
2.491643;0.8794169;2.8334985;-29.519999;-36.239998;22.56;15.139136;13.0079975;-1.5227122;
1.902158;1.4444672;2.958726;-35.7;-29.46;24.6;16.32666;13.170803;0.5315128;
2.5197427;1.7590629;1.3753631;-39.54;-22.5;24.18;14.190733;13.175591;-2.954445;
1.9125427;2.225153;1.2599095;-43.8;-16.44;22.68;13.563452;11.403882;-2.5115175;
1.9394208;2.085265;0.32162055;-46.559998;-11.94;19.199999;11.236288;9.701605;-6.2036757;
1.0890964;2.1371884;0.7156286;-49.02;-10.0199995;15.78;10.647314;6.2587423;-3.964798;
1.0261773;1.9056705;0.4633413;-49.379997;-8.22;10.86;9.495703;4.3526587;-4.9251723;
2.219197;1.7505107;-0.08277224;-50.1;-6.3599997;7.14;9.119814;4.3406878;-4.5441947;
1.575956;0.6185774;-0.48899764;-50.579998;-5.4;4.02;6.4694324;5.135862;-4.27365;
0.34384078;0.22823453;-0.042455133;-51.84;-6.18;2.76;6.751948;4.7979803;-2.492364;
-0.098425664;0.24167356;0.50976706;-51.48;-6.8399997;2.1;8.14298;3.9384618;-0.17717093;
0.34261903;-0.015500706;0.0290161;-51.78;-6.3599997;1.0799999;9.141361;4.1491513;0.581791;
0.41225767;-0.2457969;-0.23671028;-51.78;-5.2799997;1.56;8.751106;4.5801077;0.11252748;
-0.033673946;-0.10285444;0.063224554;-51.66;-6.18;1.92;9.095872;5.3250036;-0.6607997;
-0.53824866;-0.030161472;0.31490102;-50.94;-6.6;3.06;9.045593;4.745308;0.31603462;
-0.4264603;0.1793653;0.34238997;-50.34;-6.24;3.6;9.507674;4.1826706;1.1180922;
-0.18333593;0.14149167;0.03145956;-49.02;-5.7599998;2.34;9.31135;3.9959226;1.0390835;
-0.23342688;0.489074;0.19639318;-49.379997;-5.22;1.62;9.289802;3.7924154;1.4293385;
