gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.030695979;-0.04932737;0.0110719325;-39.0;-13.799999;-14.34;8.731953;1.745373;3.6607344;
-0.20234911;-0.21303925;0.350713;-39.059998;-13.62;-14.28;8.224382;1.388637;3.4739866;
0.7096727;-0.4512767;-0.24793494;-39.66;-13.139999;-15.24;9.766248;1.9800048;5.4231663;
1.007775;-0.894154;0.15890132;-39.3;-13.799999;-12.66;6.4957685;1.0821792;5.782296;
1.5184582;-0.28695396;1.0507646;-40.32;-13.679999;-10.8;7.570765;1.9895816;7.702446;
2.7621799;-1.0157162;0.58528525;-40.8;-13.98;-8.16;8.554782;2.7030537;8.856451;
3.7212384;0.33857206;0.52053356;-42.18;-15.42;-4.02;12.493244;4.1659107;8.257901;
4.4823766;0.40882155;-0.029245174;-42.84;-15.179999;-1.38;12.4429655;4.0916905;7.678504;
4.512309;0.81016004;-0.9040042;-43.32;-15.24;1.9799999;12.816461;3.892972;5.406407;
4.439005;0.8547532;-1.2094368;-43.739998;-16.5;4.7999997;14.3774805;5.5835776;3.5122938;
4.973512;-0.11957687;-1.652925;-43.559998;-17.34;7.56;14.8829565;6.6298437;4.9658737;
3.9429824;-0.2667954;-2.632753;-40.8;-17.64;13.5;17.995419;8.233959;-2.2864625;
4.3107233;-1.4243851;-3.2057445;-38.28;-18.9;17.699999;17.892467;5.9738326;-1.3479356;
3.1714597;-1.83733;-3.184364;-33.899998;-19.38;24.06;15.716139;4.3287168;-7.4654202;
2.5746443;-2.448806;-2.863049;-26.4;-18.24;30.84;13.496414;3.8043866;-2.906561;
1.7389807;-2.6729937;-2.5466208;-16.92;-16.26;37.26;11.176433;3.5793316;-6.0576296;
1.7053831;-3.1806226;-1.9968421;-11.7;-14.16;40.079998;7.3720465;2.1906946;-5.708076;
1.7511979;-3.5941784;-0.5949064;-0.78;-10.98;42.239998;3.490746;1.0079589;-8.552388;
1.2173017;-3.700469;0.40935606;6.0;-7.7999997;42.54;3.9815574;0.79966336;-5.195717;
1.7664696;-4.159229;1.039769;17.1;-4.68;40.26;2.303222;0.90500826;-7.4342957;
1.682781;-4.306447;1.610928;25.8;-1.3199999;35.46;2.2816741;0.5410896;-4.630386;
2.2337816;-4.352873;2.095955;31.98;-0.59999996;27.3;0.4285621;0.78769237;-4.3023806;
1.637577;-4.145179;2.6829965;36.12;1.9799999;20.1;0.09816227;1.6065093;-4.3502645;
2.0102048;-3.9063306;2.580982;38.28;2.58;11.88;-0.9888053;2.3918076;-3.608062;
0.99067074;-3.5563047;2.554715;40.14;-1.9799999;8.58;-1.7190368;2.528277;-3.2561142;
1.1586586;-3.3205109;2.8033369;42.899998;-10.679999;4.2599998;-1.733402;2.243367;-2.1212628;
0.37797287;-3.3889277;3.2266667;40.559998;-22.38;-2.6399999;-0.7541735;1.5059528;-1.043872;
1.6662877;-3.1177034;3.482619;35.28;-29.46;-9.719999;1.0726024;2.2266076;1.3838485;
1.1782063;-2.2056818;3.7813323;25.859999;-35.64;-12.54;4.343082;2.6408045;2.6527755;
2.09145;-2.0212004;4.2193227;15.78;-39.48;-11.639999;3.454833;1.8962077;2.6839;
1.8629863;-0.44089198;3.940768;5.7599998;-42.3;-6.96;8.408735;5.030517;0.31603462;
1.1623238;-0.022449298;3.9743657;-4.68;-42.54;-4.2599998;9.905111;6.098331;-0.17956513;
1.5239561;0.5578727;3.7532325;-12.78;-39.899998;-1.86;13.474867;5.5093575;1.6831238;
2.095726;0.79000145;3.668322;-19.199999;-37.739998;-0.17999999;14.286501;5.30585;1.8459295;
3.065169;1.7209601;2.698879;-26.76;-33.84;2.04;15.914857;6.464644;-4.970662;
0.61743206;2.9200885;2.1350503;-31.619999;-29.699999;3.84;16.963518;6.289867;-1.8555063;
1.0334313;2.0581577;2.3189209;-34.98;-25.74;0.78;16.53735;3.1507695;3.9001546;
3.9069414;1.5505288;1.5504524;-38.879997;-22.5;-2.3999999;17.068863;4.3742065;-7.214029;
1.206917;3.1522174;1.3787992;-41.579998;-19.5;-3.4199998;18.227655;2.542642;-0.033518825;
2.8312078;1.7606664;0.3580434;-42.059998;-17.4;-8.22;15.622765;1.9488802;-5.612308;
1.1244502;3.1790955;0.39225185;-41.64;-17.34;-8.28;15.795147;0.4189853;-1.283292;
2.5642595;1.1779009;0.34521523;-41.7;-16.26;-12.12;14.317625;-0.78050977;-1.1444284;
3.4854443;1.4955509;0.3262784;-42.059998;-16.92;-13.92;14.322413;-2.3870192;-0.81163436;
3.577074;0.46074513;-0.50022227;-42.12;-17.64;-12.48;12.524368;-1.8555063;-5.698499;
2.5251641;0.20662516;-0.55886537;-41.879997;-20.039999;-9.48;10.039187;-1.6927006;-4.474763;
1.4146112;-0.0627664;-0.30657798;-41.219997;-20.64;-6.96;8.724771;0.22505496;-4.944326;
-0.31230485;0.08750644;-0.41775545;-41.04;-22.56;-6.0;7.5516114;0.16280572;-1.4413095;
-0.3727805;0.15409076;0.09353874;-39.54;-22.619999;-6.2999997;7.865252;0.021547815;1.6496049;
0.313832;-0.32177326;0.33605224;-40.02;-22.32;-6.72;8.746318;0.9744401;1.7262194;
-0.1479821;-0.30589077;0.30611986;-41.399998;-21.539999;-6.06;9.706393;2.099715;0.050278235;
