gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.29497156;-0.14790575;0.6711118;9.54;7.8599997;-42.18;-3.095703;-0.8690952;9.282619;
-0.14897476;-0.05749769;0.79756093;10.08;6.66;-41.82;-3.098097;-0.9624691;8.985738;
-0.92538446;0.4818963;0.9930378;10.559999;7.2599998;-42.36;-5.4255605;-1.4532804;6.3281746;
-1.897271;0.8881217;1.8317558;11.46;6.54;-41.34;-12.794913;-1.283292;9.380781;
-1.0109056;0.6559929;4.7419176;12.599999;8.58;-40.2;-14.011168;-1.8076223;11.715128;
-1.0970377;1.4098006;5.3185744;15.9;6.24;-39.18;-13.154043;-1.4700398;13.750199;
-0.18196149;0.87407184;5.919666;16.44;3.3;-38.82;-12.363956;-2.2337902;14.521132;
0.24258986;0.0048105638;6.9660783;13.799999;-1.62;-39.719997;-11.906664;-1.0965444;19.350536;
1.3329843;-1.1026881;6.215325;9.54;-5.4;-41.1;-2.5689783;3.4380736;26.43049;
3.2144492;-1.792355;4.89891;0.35999998;-8.7;-42.719997;-4.8482585;-1.316811;22.71439;
3.8760164;-2.6793313;3.9777255;-7.7999997;-13.86;-42.78;-0.46208093;-5.11192;19.226038;
2.9090166;-3.452076;2.5415812;-17.16;-20.52;-41.04;0.7398083;-3.8905778;11.911452;
1.833283;-4.4282384;2.374815;-27.96;-26.099998;-30.599998;2.4899697;-1.9393034;10.422259;
0.9566913;-4.9034915;1.3284029;-34.62;-25.14;-21.779999;4.6782703;-0.8331822;9.498097;
-0.0603993;-4.797201;0.24656048;-39.719997;-23.64;-10.0199995;2.9592333;-0.47165772;8.207623;
-0.39576432;-5.039104;-0.199982;-41.04;-23.34;-3.3;2.5450363;-0.17956513;8.044817;
-1.3010666;-4.44351;-1.0802388;-40.5;-24.539999;7.68;1.4628572;-1.5346833;3.6822822;
-2.4580455;-3.7434585;-1.8083901;-34.079998;-27.66;14.4;-0.7589619;-2.1332338;4.010288;
-1.756772;-3.7202456;-1.256168;-28.08;-32.52;15.839999;-3.4644098;-0.79008657;4.819528;
-1.9418643;-4.13258;-0.38690677;-22.08;-36.059998;18.66;-2.1260512;0.2873042;1.0749966;
-2.999883;-3.9248855;-0.071700305;-16.44;-38.579998;18.42;-2.516306;0.40462008;2.3511062;
-3.1599295;-2.373288;-0.35392004;-12.3;-41.16;14.46;-4.0940847;2.6719291;4.853047;
-3.764686;-1.8766544;-0.18715385;-9.48;-43.079998;8.7;-4.9658737;3.7612908;6.268319;
-3.3743432;-0.51809007;-1.0826823;-7.5;-44.52;1.68;-3.7493198;4.644751;7.108684;
-3.492851;0.27420214;-1.5866461;-4.92;-45.059998;-6.12;-6.2467713;4.0198646;10.5707;
-3.652287;0.3823253;-0.87010115;-2.1599998;-42.84;-14.94;-6.502951;5.0975547;10.786178;
-3.2466724;0.8667414;-1.2555572;-0.53999996;-40.86;-21.779999;-5.1071315;6.622661;12.545917;
-3.4183257;1.2308171;-1.0350348;3.24;-34.86;-33.0;-7.522881;6.050447;15.498266;
-3.0957887;1.5594627;-0.79679734;4.62;-29.4;-40.92;-8.88997;5.4973865;15.713744;
-2.473928;1.2558626;0.024816401;6.8999996;-18.3;-47.879997;-4.7381253;5.803844;19.491795;
-2.2851706;1.6950747;0.1689806;9.059999;-9.42;-48.6;-6.1773396;4.122815;15.35222;
-1.6749161;0.53931767;0.919734;14.04;-0.48;-47.1;-0.51235914;3.7373488;17.03295;
-1.4317918;1.2308171;0.73219836;16.199999;3.24;-44.34;-3.335123;1.9057846;13.893851;
-0.6150649;0.19601138;0.88491464;19.32;4.44;-41.579998;1.5466543;1.958457;12.773365;
-0.4818963;0.60590196;0.004046982;21.18;4.98;-39.96;-1.6400281;-0.009576807;12.047922;
-0.17524196;-0.20532708;0.82199556;21.539999;5.04;-39.42;-1.8746599;-0.44532153;10.49648;
-0.5991824;0.08666651;0.8977428;22.439999;5.04;-39.48;-0.076614454;-0.007182605;9.976937;
-0.24426974;-0.27130052;0.2514474;21.42;3.54;-38.76;-1.5825673;-0.14604631;10.74787;
-0.4366923;-0.4741078;0.6851617;22.32;4.44;-39.54;-5.686528;-1.400608;8.703222;
-0.4629595;-0.826577;1.3723851;20.939999;4.5;-39.6;-3.4093432;-0.79248077;9.364022;
-0.12515102;-0.5248096;0.6008623;18.9;3.54;-40.559998;-1.8315643;-0.45489833;9.601048;
-0.09582949;-0.114308156;0.10728321;18.0;4.38;-41.28;-2.9903579;-0.8882488;8.904335;
0.17661642;-0.015347989;-0.2140319;18.48;3.12;-41.46;-2.846706;-0.9935937;9.862016;
0.16256651;0.09399689;-0.23907739;18.539999;3.78;-41.76;-3.5218706;-1.6304513;8.899547;
-0.15997034;0.113544576;0.17753272;17.94;4.5;-41.579998;-3.4572272;-1.7046716;8.784625;
-0.22472206;-0.24686591;0.5629887;19.619999;3.72;-41.1;-2.2960393;-1.400608;9.277831;
-0.20212004;-0.23403774;0.31803173;18.24;3.1799998;-41.76;-1.7932571;-0.6847417;10.158897;
-0.104992464;-0.0819323;0.03214678;17.22;3.78;-40.8;-2.9041667;-0.8499416;9.107842;
-0.083001316;0.01947133;-0.011224649;17.699999;3.6599998;-41.64;-3.514688;-0.90979666;9.1150255;
-0.14897476;-0.10819951;0.24533875;17.4;3.9599998;-41.219997;-3.7972038;-1.0223241;8.973767;
