gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.014508039;-0.12690715;0.17883067;5.45625;-14.681251;-32.25;-2.7996025;5.9820566;6.4031935;
0.10644319;-0.12935062;0.14950916;5.3625;-15.187501;-32.381252;-2.498107;5.8097734;8.250452;
0.123547405;-0.08170316;0.04444041;9.262501;-14.437501;-34.95;-2.3114667;6.9726853;6.0921264;
0.4411971;-0.6388118;-0.38438666;9.58125;-14.512501;-34.3125;-2.9240294;8.456235;8.059027;
0.6232348;-1.1433861;-0.21945317;9.31875;-15.281251;-34.631252;-4.4075794;8.451449;7.4033933;
1.4014765;-2.2759295;-0.33063057;9.243751;-17.6625;-35.11875;-3.5413775;9.016156;7.676175;
0.7673989;0.14920372;0.51236284;8.887501;-18.375;-34.66875;-2.0003998;6.2404814;10.916057;
2.8370087;0.35445428;0.97295487;6.525;-18.65625;-32.60625;1.6941184;9.001799;7.585248;
2.3409865;-0.0377209;-0.92439115;5.7375;-19.612501;-27.243752;-2.9862428;10.313066;-2.6321049;
1.1498002;-0.9418008;0.43050694;7.8562503;-19.3125;-21.5625;-4.493721;10.470992;-0.7322037;
0.14309508;-0.71089387;0.696844;8.8125;-19.987501;-18.581251;3.6897326;11.609976;1.1294123;
0.42409286;-1.2374593;-0.82298756;7.51875;-20.212502;-16.875;-0.7082755;7.2215385;6.096912;
0.9616539;-2.5569272;0.9338595;7.89375;-20.19375;-16.5;2.8139594;6.4414787;0.95712906;
0.69165164;-2.5495968;0.3205513;6.1687503;-19.44375;-14.437501;4.23051;4.776074;4.005585;
0.55115277;-2.119548;1.6644539;4.6875;-17.8875;-13.35;6.6424756;5.0823555;4.618148;
0.8260419;-1.5880957;1.3480258;2.34375;-18.69375;-9.075001;9.561719;7.207182;4.6037908;
-0.21609342;-1.0468695;0.93752474;0.13125001;-18.150002;-8.325001;4.924429;7.456035;1.0241281;
-1.184925;-0.30894485;0.38530296;-1.66875;-16.931252;-6.9;6.15434;9.341579;4.6707897;
-0.3773617;0.10522146;0.1556178;-2.4375;-16.612501;-8.71875;5.4412785;9.035298;4.709075;
0.56092656;0.1357647;0.0016798781;-2.4375;-16.425001;-10.8;3.182454;7.8580294;0.3062813;
0.06368265;-0.107359484;0.20693044;-1.7437501;-16.7625;-10.6875;4.910072;9.298509;1.038485;
-0.062155493;0.3678933;-0.32085672;-2.41875;-16.800001;-9.731251;5.7188463;10.250853;2.6943183;
0.28970262;0.79549867;-0.5041162;-2.625;-16.5375;-9.712501;4.1922255;8.709874;2.6512475;
0.39477137;0.41309732;-0.7838922;-1.6125001;-16.7625;-8.868751;6.350551;9.858429;2.4071796;
-0.26251915;0.9958623;-0.9989166;-1.3312501;-16.425001;-8.118751;5.1493545;8.6141615;3.1633115;
-0.17577635;0.8688024;-0.92561287;2.1750002;-16.44375;-8.75625;5.029713;8.327023;1.6558332;
-0.8440624;1.2756383;-0.93905187;3.4125001;-17.400002;-8.887501;3.455236;7.5661054;3.6131623;
-0.36147922;1.2011129;-0.68126696;3.6000001;-18.337502;-9.543751;2.914458;7.1306114;3.7998023;
-0.59849477;1.1070397;-0.5566505;4.9500003;-19.237501;-11.043751;0.76570326;7.5182486;3.3547373;
-0.37858346;0.7673989;-0.30619597;6.61875;-19.518751;-11.94375;-0.46899325;8.523234;2.9671001;
-0.46043932;0.4082104;-0.20601414;4.8;-20.0625;-11.418751;0.32542387;9.135797;3.67059;
-0.44333512;0.23228133;-0.29764387;6.9;-19.66875;-13.106251;-2.091327;7.479964;3.67059;
-0.68035066;0.4424188;0.15073088;6.99375;-19.612501;-13.856251;-1.564906;9.035298;3.3164523;
-1.0651954;0.25671592;-0.093615025;5.625;-19.7625;-14.475;-2.8570302;8.805588;3.4217365;
-0.84528416;-0.0010690134;-0.0044287695;7.2187505;-19.40625;-17.5125;-1.5026926;9.212367;5.804988;
-0.29061893;-0.0035124724;0.02611447;6.95625;-19.518751;-19.050001;-3.1776686;9.150154;3.6514473;
-0.3358229;-0.09025527;0.24358234;6.6937504;-19.800001;-21.09375;-2.0051854;10.112068;3.1537402;
-0.9650136;0.47296205;-0.03252855;7.3500004;-19.612501;-22.893751;-1.4931214;10.073783;4.7712884;
0.10644319;0.15042545;0.18982624;7.3875003;-19.3875;-24.6375;-1.18684;9.30808;5.460421;
-0.0035124724;0.16142102;-0.10216714;7.14375;-19.425001;-24.88125;-0.47856453;8.690732;4.8765726;
0.11255184;-0.07315106;0.038331766;6.99375;-19.48125;-24.16875;-0.8039884;7.556534;5.4412785;
-0.09392046;-0.020616686;-0.015424335;7.18125;-19.3125;-24.075;-0.047856454;7.8053875;5.3790655;
-0.089033544;0.09666935;-0.010537418;5.45625;-19.331251;-22.96875;-0.5168497;7.685746;5.666204;
-0.047494736;0.0820086;0.012675445;6.6937504;-19.143751;-23.493752;-0.27756742;7.958528;5.8097734;
-0.16478078;0.28115052;-0.009315688;6.4687505;-20.268751;-23.00625;-0.07178468;7.9537425;5.6997037;
-0.10491603;0.022143848;-0.025198173;7.5000005;-19.96875;-23.19375;-0.9523434;7.6331043;5.6279187;
-0.049938194;0.006261364;0.099418245;6.61875;-20.85;-22.331251;-0.40677986;7.728817;5.9676995;
-0.08170316;-0.03527744;0.021227552;5.3625;-21.375;-23.5125;-0.35413775;7.719246;6.1639113;
-0.025503604;0.016035201;0.037110034;7.0687504;-19.800001;-24.4125;0.2632105;8.030313;5.9294147;
-0.10002911;-0.049938194;-0.008093959;6.1875005;-19.518751;-23.681252;-0.9762716;7.3986077;5.5513487;
-0.1989892;0.01725693;0.13240494;4.9875;-20.41875;-23.025002;0.13878371;7.6666036;6.384051;
-0.08170316;-0.026725333;-0.027641632;3.7687502;-21.225;-23.1375;-0.28713873;7.7814593;6.178268;
