gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
0.2083814;0.07933612;0.22762366;-1.38;-42.96;-12.059999;-2.0159178;8.317756;3.7852328;
-0.21128301;0.48678324;0.41271582;-1.3199999;-42.96;-12.42;-2.1547816;8.739136;4.024653;
-0.36827537;0.65660375;0.07735081;-2.28;-43.14;-12.66;-3.2010477;9.457396;3.7445314;
0.4881577;0.6333909;-0.34109187;-1.62;-43.559998;-13.139999;-5.779902;9.888352;3.2680852;
1.2932781;0.2326633;-0.28916833;-1.14;-43.98;-12.78;-8.413524;10.647314;1.7860745;
-0.014584408;0.55886537;-0.3930154;-1.38;-43.92;-9.3;-7.4414783;11.676821;2.4181437;
1.7300467;-0.12224941;-1.7088192;0.42;-43.26;-7.7999997;-3.3901896;11.33445;4.783615;
3.039131;-1.1045207;-2.152918;4.02;-43.68;-3.9599998;-8.241141;9.636961;-0.25617957;
3.6286159;-1.9743928;-1.0038806;9.059999;-40.739998;3.36;-6.0073514;4.99221;-3.5793316;
0.73677987;-2.1759784;3.1530573;12.54;-38.82;9.24;3.3734303;4.2640734;-5.234024;
-1.5918385;-2.1955261;4.106618;7.02;-39.42;10.2;17.605164;6.890812;0.80205756;
-0.58513254;-2.323197;3.095025;-0.42;-41.04;5.4;15.95077;9.268254;9.198822;
0.14118622;-0.20166188;0.30825788;-7.7999997;-41.64;3.4199998;7.597101;14.418182;7.6138606;
1.4423292;1.3438271;-0.6379724;-7.7999997;-41.879997;3.78;3.7469256;7.072771;4.177882;
1.842446;1.5344172;-0.60315305;-7.56;-43.02;6.66;4.1299977;6.893206;-3.3901896;
-0.2149482;1.1312461;-0.58543795;-6.54;-40.86;10.32;4.2305546;8.837297;-5.44232;
-1.426294;1.4317918;-0.8401688;-6.0;-40.98;9.42;7.594707;11.468526;1.364695;
-1.081766;0.7616726;-0.89331406;-5.16;-42.3;6.96;4.7405195;9.32332;3.1316159;
-0.10865766;0.9895253;-1.0417544;-2.34;-42.899998;3.48;5.5309052;11.051934;2.468422;
-0.7922159;1.1788936;-0.5921575;-0.84;-43.2;2.76;0.36391866;8.511686;2.2529438;
0.13568844;1.929647;-0.16210836;1.02;-43.2;2.52;-1.4820108;9.122208;5.334581;
0.80092067;0.41409028;-0.8261189;0.35999998;-43.379997;2.58;-3.6631286;9.739912;-1.8914193;
-0.92843884;-0.06910413;-0.23602305;1.38;-43.62;3.72;-8.030452;9.103054;0.6847417;
0.28535044;-1.3537537;-0.8413905;2.7;-43.44;1.86;-7.0991073;10.853215;-0.7733272;
-0.8936195;-0.25541803;-1.4705818;5.58;-43.44;2.1599998;-10.553941;5.722441;-2.741361;
0.6811911;-1.2358568;-0.24152085;8.34;-42.3;0.29999998;-7.922713;5.44232;-1.1061212;
-0.48311806;-0.43806675;0.42676574;8.94;-43.8;-0.65999997;-4.4723687;10.388741;1.2042835;
0.35315648;-0.43440154;-0.06681339;8.5199995;-42.899998;-1.3199999;-3.347094;9.201217;7.4414783;
0.13935363;0.21006128;0.1811979;9.3;-43.739998;-1.0799999;-2.5881321;9.45979;1.5586253;
-0.7030295;0.4806746;-0.07780896;8.76;-43.559998;-0.96;-4.6662993;7.5037274;2.4947581;
0.23098342;0.025579982;0.4628068;9.059999;-42.719997;-0.9;-4.144363;7.1350203;1.2952632;
-0.24182628;0.059788436;0.70898545;7.74;-44.16;-1.26;-1.5227122;9.34008;2.207454;
-0.49411362;0.4611269;0.20990857;5.22;-43.32;-1.4399999;-1.5442601;10.357615;2.4468741;
-0.35239288;0.15569428;0.7419722;4.38;-44.7;-2.3999999;-2.6719291;8.5978775;2.1978772;
0.070936725;-0.0092393365;0.23556492;3.54;-44.34;-3.54;0.260968;10.6042185;2.7748797;
-0.12454015;0.02069306;-0.019776762;3.06;-44.16;-3.48;-1.3024458;9.677663;2.815581;
-0.02069306;-0.05261077;-0.0081703225;2.34;-44.82;-4.2;-0.8810662;9.69921;2.6862943;
0.09903653;-0.18089247;-0.15783231;2.8799999;-44.82;-3.9599998;-1.5705963;9.289802;2.4756045;
0.036728274;-0.04100433;0.1427134;3.24;-44.64;-4.02;-1.685518;9.261071;2.765303;
0.18272507;-0.061773747;0.20013472;2.3999999;-44.52;-4.3199997;-1.6903064;9.304167;3.25372;
0.1417971;0.036575556;-0.02405282;2.58;-44.34;-3.4199998;-1.1540052;9.356839;2.6910827;
0.06666067;-0.046502117;-0.001450805;3.06;-44.52;-2.1;-1.8531121;8.842086;2.195483;
-0.0023671028;-0.10025826;-0.005726862;2.52;-45.059998;-2.34;-1.352724;9.167698;2.3894134;
-0.08666651;0.11537717;-0.32643113;2.1599998;-43.68;-3.1799998;-1.3072342;9.692028;2.980781;
-0.051847186;0.13309227;0.15370896;2.28;-44.399998;-2.34;-1.9608512;9.17488;2.9831753;
0.16195565;-0.0538325;0.047418416;3.24;-44.64;-3.12;-0.9720459;9.68724;2.885013;
0.0012980887;0.14775303;0.04375322;2.28;-45.059998;-3.12;-1.8650831;9.301773;2.1859062;
-0.002977968;0.032910366;0.18791743;1.92;-44.52;-3.84;-0.9600749;9.464579;3.1675289;
0.10086913;0.070173144;0.048640147;1.92;-44.579998;-2.34;-1.5251064;9.5052805;2.717419;
0.06299548;0.0884991;0.013209961;1.56;-44.64;-2.58;-1.4772224;9.19164;2.4253263;
