gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
0.16752979;0.06269005;0.1559997;-20.039999;-29.82;-30.42;1.1468226;8.150162;5.4111953;
0.081397794;0.2551126;0.07964156;-20.46;-30.179998;-30.0;1.3072342;8.8923645;5.444714;
0.39599338;-0.62453336;-0.04558582;-20.46;-30.539999;-31.199999;0.9648633;9.809343;4.6136265;
-0.12935072;0.53611064;-0.089568116;-20.1;-31.859999;-29.58;-0.62488663;11.071088;5.114314;
-0.033444874;0.8287151;-0.3204752;-18.84;-32.52;-30.96;-2.0590134;13.139678;7.3840175;
2.2456934;0.8806386;-0.5471062;-17.1;-34.8;-31.56;-3.157952;12.675203;8.971373;
2.6836836;0.16287194;-1.0810024;-15.78;-38.34;-28.859999;-3.9217024;11.250653;3.5649664;
1.3935363;1.1799626;-0.7230354;-13.5;-43.079998;-25.74;-6.426337;8.593089;-1.0821792;
0.6409504;0.2270128;-0.8274933;-11.28;-45.239998;-23.82;-2.8802247;9.476549;-0.10295067;
1.2127203;-1.3166437;0.103465304;-9.96;-46.92;-22.08;-4.570531;7.25473;-3.2369606;
-1.1097895;-1.4821881;1.0393108;-10.8;-47.28;-20.58;0.5267244;6.148609;0.6991069;
0.33307427;-1.8242728;1.72348;-14.7;-46.739998;-20.64;4.498705;4.891354;-3.2609026;
0.27076602;-2.1742985;2.0472386;-20.279999;-44.879997;-19.619999;11.037569;4.994604;2.4061728;
1.5102116;-2.3838253;1.8462639;-24.3;-43.739998;-15.839999;12.612954;4.771644;-0.4405331;
-1.6675094;-1.1175016;1.1052843;-29.519999;-40.559998;-10.38;12.80449;8.755895;0.05746084;
-1.7273742;0.12683089;0.40278926;-31.14;-38.64;-11.34;4.4101195;7.10629;6.232406;
0.31108314;0.5574909;0.06498079;-31.199999;-38.94;-13.559999;6.608296;9.253889;1.4269443;
0.56031615;0.42798746;-0.30764702;-32.88;-38.579998;-12.42;4.9993925;8.236353;0.34237084;
1.0532844;0.49335003;-0.6998225;-31.5;-37.98;-13.98;7.2236056;10.10383;-1.3431472;
0.4821254;0.4976261;-0.98387486;-29.76;-39.48;-12.179999;7.474997;9.1868515;-0.1412579;
-0.09392053;1.2563207;-1.6063465;-27.9;-40.32;-12.78;9.232341;7.723994;-0.3184288;
-0.1788308;1.6142877;-1.1231521;-23.76;-43.079998;-13.559999;6.9698205;5.614702;1.6041151;
0.71791935;1.6191747;-0.7370853;-21.18;-44.579998;-15.42;6.0791774;5.243601;-0.79248077;
0.4485278;1.300303;-0.07490735;-18.96;-45.719997;-16.5;3.7972038;7.261913;-1.5634137;
-0.93508196;0.7389179;0.25862506;-18.6;-45.6;-17.699999;1.970428;8.899547;1.4556746;
0.70081514;0.26183212;-0.27282768;-17.76;-45.36;-18.6;2.0901382;11.037569;1.0390835;
0.57436603;-0.36919168;-0.47563496;-17.34;-44.82;-19.08;-1.5705963;11.267412;-0.61770403;
1.2622004;-1.3142002;-0.29848403;-16.44;-45.719997;-16.02;-2.554613;11.399094;-2.4061728;
-1.3938417;-1.3508521;-0.5788712;-17.1;-45.899998;-12.96;-2.6072857;10.242694;-0.5626374;
-2.1739166;-0.48586693;-0.09201158;-16.26;-45.96;-14.04;-2.920926;9.012074;4.7165775;
0.094225965;-1.6226872;-0.20685424;-15.24;-44.94;-18.3;-4.333505;8.715194;4.4675803;
-0.06887506;-0.43883032;0.5658903;-16.68;-44.82;-16.98;-3.1962593;10.33128;-0.10295067;
-0.8550586;-0.61964643;0.050320026;-18.6;-44.879997;-15.48;-2.1906946;10.156503;-0.1412579;
-0.65836;-0.49502993;0.36063957;-17.94;-43.44;-17.1;-1.5011644;10.623372;-0.24181437;
-0.58200186;-0.37713292;0.23419046;-19.02;-43.379997;-18.18;1.2354081;11.468526;4.2042184;
-0.12385293;0.24656048;-0.12683089;-20.039999;-42.239998;-18.539999;1.3718776;9.802161;3.4596214;
0.5352707;-0.25312728;0.20731239;-19.56;-42.719997;-20.1;-0.18435353;8.016087;2.468422;
0.24205536;0.18180877;0.349644;-19.08;-42.96;-18.24;1.8243817;9.447819;2.3319526;
0.23716843;0.12927435;0.28855747;-20.279999;-42.12;-17.4;2.942474;10.666468;2.9903579;
0.3239113;0.120111376;0.06314819;-21.3;-43.2;-17.22;2.1021092;10.225935;2.4971523;
0.27076602;0.15431984;-0.037644573;-22.02;-42.42;-17.46;2.0087352;10.082283;1.2856863;
0.05513059;0.0077121737;-0.24594963;-20.699999;-42.3;-15.42;1.3838485;9.282619;1.7549498;
0.2359467;-0.13889548;-0.0071013086;-19.68;-41.94;-16.38;1.5921441;9.474155;1.9273324;
0.07651087;-0.09430232;0.060704734;-20.039999;-42.42;-15.0;1.3072342;9.390358;1.9273324;
0.14248432;-0.038713586;0.05093089;-21.119999;-42.6;-15.299999;1.8722657;9.701605;1.6328455;
0.12721269;0.08712465;0.106519625;-21.18;-42.42;-15.36;1.8698715;9.481338;1.6496049;
0.20234911;0.017486017;-0.16836974;-21.0;-42.18;-14.88;1.6208745;9.495703;1.3120226;
0.29947668;-0.17921259;0.2054798;-21.24;-41.879997;-14.099999;1.3311762;9.122208;1.2785037;
0.06612616;-0.100410976;0.17615826;-21.119999;-41.94;-13.74;2.0015526;9.754277;0.6344634;
-0.1226312;-0.016111571;0.0332158;-20.939999;-42.54;-14.34;2.3295584;9.850045;1.5705963;
