gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
0.1339322;-0.4356233;-0.45975244;10.62;-38.399998;-18.359999;0.50996494;9.165303;3.514688;
-0.18371773;-0.42035165;-0.14943291;11.04;-38.16;-19.199999;0.4213795;9.07193;3.2345665;
-0.13790283;-0.26335928;-0.30581442;11.94;-37.44;-19.68;0.11731588;9.129391;3.6272156;
-0.035277467;0.028634308;-0.0846812;11.58;-38.46;-20.46;0.12928689;9.232341;4.1635165;
0.16691893;-0.10453431;-0.21235204;12.059999;-37.5;-20.64;-0.20590134;9.325715;4.2544966;
0.37094793;0.038408153;-0.026648996;11.28;-37.079998;-18.96;0.14604631;9.852439;3.1483753;
0.43692136;-6.872234E-4;-0.20868684;12.78;-37.32;-18.539999;1.0079589;10.304943;2.5187001;
0.710589;-0.06421721;-0.26794076;12.179999;-38.1;-17.82;-0.260968;9.775825;1.9153614;
0.6977608;-0.30795243;-0.18058704;12.599999;-37.5;-15.839999;-0.059855044;10.34325;0.24899697;
0.38560867;-0.11491902;-0.1915826;12.96;-38.399998;-15.24;0.18195933;10.836456;2.348712;
0.24327709;0.22105686;-0.42126796;12.66;-37.86;-14.5199995;0.41180268;10.513239;0.61530983;
-0.04444045;-0.48693597;-0.015653422;12.78;-37.26;-14.759999;-0.78050977;10.2618475;1.4939818;
0.17608191;-0.45517096;-0.24228443;14.88;-36.36;-14.46;0.8762778;10.302549;4.1419687;
0.40454552;-0.500375;-0.17081319;14.639999;-37.38;-15.0;0.6440403;10.259454;0.4261679;
-0.2967278;-0.9163742;-0.014431692;14.219999;-36.84;-14.5199995;1.7932571;9.873987;4.024653;
0.57864213;-0.79786634;-0.16409367;13.799999;-35.88;-15.599999;0.1436521;8.6218195;3.0430303;
0.019700404;-1.4166728;0.27878362;13.139999;-36.48;-16.5;1.1731589;8.79899;3.0597897;
0.105832405;-0.8534551;0.13584116;12.3;-36.84;-16.98;1.6903064;8.9163065;2.0685902;
0.47051895;-1.3146584;0.49686253;10.92;-35.76;-17.699999;1.0127473;8.071154;2.1380222;
0.03863723;-0.9646326;0.42355868;9.719999;-36.36;-17.82;2.0446482;8.341698;2.669535;
-0.09086621;-1.0470994;0.68256557;7.44;-36.42;-18.3;3.8307228;8.81575;2.2409728;
0.03313944;-1.1142945;0.62453336;5.7599998;-37.38;-19.8;2.5881321;8.004115;1.7884687;
-0.29733866;-1.0251082;0.5555056;3.6599998;-37.44;-20.46;3.4165258;8.741529;2.8179753;
0.07284568;-0.9200394;0.62514424;1.38;-37.079998;-20.939999;3.8019924;8.569147;2.2026656;
-0.2454151;-0.85467684;0.5982661;-0.29999998;-37.86;-21.42;4.4699745;9.481338;2.0973208;
-0.114689946;-0.12896892;-0.055970527;-2.3999999;-36.42;-22.439999;5.44232;10.259454;5.609914;
0.11804971;0.22288945;-0.40599632;-2.22;-36.96;-21.96;2.1930888;8.870816;-0.12210429;
0.32330042;-0.13629931;-0.19280434;-1.68;-37.92;-21.18;2.9783869;8.298602;0.8331822;
0.034972034;0.074449204;-0.15920675;-1.3199999;-37.5;-21.18;3.323152;9.098266;1.6496049;
0.01786781;0.13920091;-0.17631099;-0.12;-37.32;-20.939999;2.0757728;8.497321;0.4261679;
0.04046982;0.5600871;-0.16042848;0.06;-37.38;-21.119999;3.25372;9.308955;3.0142999;
0.34529158;0.6132324;-0.15431984;1.68;-37.739998;-20.22;3.1292217;9.237129;2.4827871;
0.14553864;0.87712616;-0.3852269;1.4399999;-38.04;-19.5;3.430891;9.5052805;2.5019407;
