gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
0.5608507;0.42019892;0.1793653;-3.6599998;-44.28;-5.64;0.4285621;8.772655;4.015076;
0.71234524;0.39026654;0.11217013;-3.3;-45.719997;-5.8199997;0.9720459;10.072706;2.336741;
0.13141239;-0.01779145;-0.37346774;-3.72;-45.12;-3.3;-0.074220255;10.738294;0.60094464;
-2.7701976;1.5643495;-0.65752006;-2.3999999;-44.28;-3.6;-2.9855695;11.672032;-2.2098482;
-7.1891966;2.5282948;0.3760639;1.0799999;-43.32;-12.0;-7.764695;4.156334;2.0829554;
10.948614;-5.52352;-0.508469;-2.22;-41.52;-22.26;5.502175;4.223372;21.115063;
1.9664515;2.4763713;-0.8945358;-4.2;-44.46;-1.1999999;1.1587936;10.534787;-15.536573;
-6.508082;2.9797244;0.22884539;-3.54;-43.559998;2.46;-1.5346833;9.981726;-0.04309563;
4.965189;-2.6457338;-1.3056481;-3.12;-43.86;-11.759999;3.3734303;8.224382;18.754381;
2.7159832;0.36338845;-0.6996698;-1.86;-43.559998;-3.06;-0.1364695;11.686398;-5.9618616;
-5.4463983;2.092748;-0.6098726;-0.59999996;-42.54;2.1;-2.7389667;7.7982144;-7.688081;
6.0647464;-5.106299;-0.9122509;0.53999996;-42.899998;-5.64;0.770933;1.9416976;20.95465;
6.7629657;0.188681;0.5080108;1.62;-41.28;4.02;2.372654;4.074931;-6.7136407;
-1.7188984;1.9137645;1.3742177;1.02;-36.84;18.96;3.5889084;9.826103;-16.786346;
-1.1581241;-2.2993731;1.7725018;-3.54;-38.46;16.56;6.3090205;5.4949923;-3.4811692;
0.24625506;-2.0269272;3.045545;-5.3399997;-38.879997;14.16;9.969755;4.4699745;5.1669865;
5.004895;-3.2908075;0.38400516;-9.9;-38.52;16.859999;6.277896;12.402264;-3.5051112;
-5.3193383;2.850221;-0.97822434;-7.56;-33.719997;23.519999;7.412748;8.942642;-4.9036245;
2.7465265;-2.1423807;-0.5096907;-8.4;-38.76;15.66;2.4133554;2.542642;11.631331;
8.696965;-1.3983469;-1.6862172;-6.66;-36.0;20.88;2.9376855;3.4500446;-7.120655;
-7.641237;3.3150892;-0.15722144;-2.04;-25.38;33.48;0.02873042;5.183746;-22.436663;
-2.786691;-3.0379093;0.3552945;-6.2999997;-32.64;25.08;5.8541226;4.6160207;10.513239;
6.407442;1.5564083;-1.8389335;-4.62;-37.02;17.94;7.652168;5.076007;5.662586;
-3.5692093;1.1483504;-2.0686188;-3.24;-28.98;30.0;9.229947;11.672032;-24.146122;
-9.382813;1.3426055;-0.60315305;-1.9799999;-35.219997;22.68;6.5316815;1.1923125;1.9512744;
-1.2644147;1.3920856;-0.9489028;-1.1999999;-42.899998;3.36;8.15495;7.166145;11.468526;
0.8430704;1.5881733;-1.9177351;-0.17999999;-43.14;-1.0799999;1.970428;6.7304;-1.42455;
-1.5454127;0.92966056;-1.0124328;4.02;-42.66;0.17999999;-1.661576;10.702381;-5.650615;
-0.051236324;-3.1325934;-1.7448602;6.96;-43.079998;-2.8799999;-5.638644;4.0078936;3.2944214;
3.2730923;-2.7660742;1.0950524;10.38;-42.18;-4.74;-0.4333505;8.305785;12.545917;
-1.7494417;3.2417855;1.2813662;7.8599997;-43.92;-0.65999997;-0.6464345;12.392687;2.621651;
-1.7091246;0.90889114;0.6979899;3.72;-44.64;-4.02;0.48362875;13.376704;3.9671922;
2.5021803;-2.1258874;-0.9067531;2.82;-45.42;-5.8799996;-0.48841715;13.273753;5.0592475;
-0.8478046;-0.1277472;-0.5799402;3.9599998;-44.399998;-2.22;-5.052065;9.902718;-2.5953147;
-2.550897;0.7231881;-0.16577356;5.64;-44.64;-2.9399998;-4.3382936;7.570765;2.4995465;
1.1674398;-0.41668645;-0.28000537;6.72;-45.36;-7.8599997;-4.795586;6.8046207;1.4700398;
-1.36704;0.19417879;0.71081805;5.8199997;-43.98;-6.7799997;-3.5051112;8.236353;-3.3877954;
3.6438875;-2.3812292;0.3094796;5.22;-44.28;-7.62;1.3694834;9.735124;9.842862;
0.6268241;0.39026654;0.24533875;4.14;-44.579998;-2.1;1.4652514;13.094189;-4.256891;
-3.479412;1.0903181;-0.15416712;3.78;-45.48;0.12;0.59376204;9.469367;1.6112977;
0.45333838;-0.40324742;0.015042556;3.78;-44.579998;-6.8399997;-0.37828386;7.3816233;7.8245506;
1.5791631;-0.25114197;-0.13767375;3.84;-45.0;-7.08;0.24181437;9.273043;1.0534488;
-0.44768786;0.23571762;0.3479641;3.8999999;-45.48;-3.24;-0.82599956;9.349657;0.02633622;
-0.8600219;0.5222134;0.1512655;4.02;-45.48;-3.48;1.4317327;10.336068;3.1651347;
0.46127963;-0.14301883;-0.17799085;2.1599998;-45.48;-5.64;0.3854665;10.304943;2.870648;
-0.024969118;0.10010554;0.05047274;3.0;-45.059998;-5.1;-0.24899697;9.361628;1.9680338;
-0.048181996;0.03352123;0.054748796;3.9599998;-44.879997;-4.98;0.29448682;9.124602;2.6312277;
0.23587035;-0.08865182;0.061468314;2.76;-44.34;-4.2599998;0.05746084;9.091084;2.183512;
-0.104992464;0.16668986;0.25450173;1.5;-45.059998;-4.14;0.29688102;9.653721;2.540248;
-0.00786489;0.123929285;0.018707749;0.9;-44.34;-3.8999999;1.2258313;9.9099;3.1124623;
