gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
0.39293906;-0.39538252;0.02695443;17.64;-35.579998;-24.779999;-3.181894;5.9834094;9.842862;
0.18768835;0.79275036;-0.27542385;17.82;-36.6;-25.08;-3.5434184;6.158186;6.1055136;
-0.08475755;0.11713341;-0.29924762;18.779999;-37.44;-24.48;-3.4356794;6.2994437;6.052841;
0.24816401;0.26618454;-0.21922426;19.68;-36.0;-23.939999;-5.832575;6.878841;9.723152;
1.3965907;1.8916969;-0.16852245;19.98;-37.2;-23.88;-4.831499;8.071154;9.81892;
1.4625641;3.446349;-0.43608144;21.96;-36.78;-19.08;-6.3114147;8.236353;6.428731;
2.5273023;-0.882853;2.0861812;22.98;-37.86;-12.179999;-9.730335;8.236353;1.8674773;
1.6342173;0.82818055;1.7428749;20.039999;-40.32;-7.68;-1.1252748;12.3950815;2.5570073;
1.7698293;0.6626361;0.69401926;16.02;-42.96;-3.78;-3.6990416;10.656891;1.2378023;
1.9170479;-0.9628763;1.8283961;14.46;-43.86;0.24;-4.1252093;8.025663;-1.0175357;
1.4595097;-0.70509124;0.56634843;11.639999;-45.0;3.6599998;-0.92176765;8.016087;2.516306;
0.13026701;-0.7405214;0.43989933;10.8;-45.48;6.48;-0.6967127;7.9442606;1.7788919;
0.11071932;-0.4100433;-0.51793736;11.16;-45.66;7.62;-3.4117374;6.634632;4.060566;
1.0196868;-2.0263927;1.1747702;11.28;-45.3;7.56;-1.1971009;7.0560117;0.82599956;
0.00870483;-0.9964739;-0.0322995;10.44;-44.16;8.639999;-0.04309563;9.081507;2.695871;
0.5401576;-1.2224941;0.06421721;10.44;-44.04;8.5199995;-0.24420857;8.578724;3.4596214;
0.17669277;-0.6507242;-0.09094256;11.28;-43.079998;7.9199996;0.34476504;9.668086;3.9719806;
0.15042557;-0.819323;0.24869852;11.88;-42.84;8.58;-0.088585466;9.045593;2.0590134;
0.034972034;-0.8407033;0.061773747;10.98;-42.36;8.22;-0.7469909;8.413524;2.4899697;
0.3129157;-1.2964088;1.1442269;10.74;-42.12;7.3799996;-0.7182605;7.3624697;2.779668;
-0.15622878;-1.3917037;1.6060411;9.66;-41.7;7.3199997;1.7980455;8.212411;1.9967642;
-0.17455475;-1.295187;1.2767848;7.2;-43.2;6.3599997;2.2170308;9.816526;4.280833;
0.116217114;-0.34773505;-1.009073;5.4;-43.379997;4.3199997;1.8890251;12.272977;5.1909285;
0.79733187;-0.6769914;0.79847723;7.5;-44.219997;4.8599997;-3.1411927;6.2515597;1.5562311;
0.5181664;-0.100334615;0.5742897;6.96;-44.399998;5.8199997;4.1491513;10.276213;0.15083471;
-0.060322944;0.075594574;-0.43424883;5.2799997;-44.28;6.42;1.9919758;10.510845;1.079785;
0.019089539;0.66996646;-0.7005861;6.42;-44.52;6.8999996;0.6488287;10.005669;2.5210943;
0.024587326;0.753655;-0.24915667;5.94;-43.92;7.44;1.4460979;9.747094;1.910573;
-0.998612;0.03894266;-0.13187054;7.2599998;-43.739998;7.3799996;-0.2705448;7.376835;-0.6392518;
-1.6278032;0.73655075;-0.36338845;7.2599998;-45.84;4.62;3.9671922;7.79582;5.4016185;
-0.7487681;1.079857;-1.0109056;7.5;-46.739998;2.6399999;2.243367;7.498939;2.8299465;
-1.9161316;0.48915035;0.2138792;8.94;-46.62;1.26;0.079008654;6.3640876;2.767697;
-1.5801557;0.7286095;-0.20334177;8.46;-47.579998;-1.8;0.33758244;8.243536;5.68174;
-0.9662361;0.15806139;-0.015806139;8.22;-47.76;-4.7999997;-0.85473;8.90673;3.8067808;
-0.8605564;0.47998735;0.059941154;7.8599997;-49.559998;-6.6;1.6280571;10.592248;5.880459;
-0.96929044;0.5832236;-0.7494553;7.2599998;-50.34;-8.5199995;-2.0590134;9.22037;4.735731;
-1.2276864;-0.6036876;-0.5063309;9.12;-48.96;-11.219999;-1.283292;9.433454;5.183746;
-0.89843005;0.55756724;-1.0719922;9.9;-49.079998;-13.62;-2.731784;7.10629;7.891588;
-0.6009387;0.33399057;-0.2485458;12.0;-47.94;-16.14;-3.0095115;8.391976;5.858911;
-0.3932445;-0.29336804;-0.038408153;10.8;-46.5;-17.64;-1.3144168;8.456619;7.4055653;
-0.32421672;-0.10644327;-0.28214338;10.86;-46.8;-19.02;-1.2785037;8.3273325;7.4582376;
-0.21670444;-0.066737026;-0.07261661;11.5199995;-45.899998;-21.42;-1.8076223;8.123826;6.218041;
-0.34437528;0.23991732;-0.4806746;12.599999;-44.28;-21.359999;-2.5905263;7.0895305;7.0440407;
-0.013286319;-0.1797471;-0.04512767;14.46;-43.26;-21.359999;-2.801216;6.5077395;7.7072344;
-0.16600263;0.4793765;-0.29863673;15.179999;-42.84;-21.0;-2.966416;5.80145;6.49098;
-0.24480425;-0.0777326;0.7398342;15.24;-42.42;-21.42;-2.5019407;8.016087;6.2587423;
0.24144448;-0.21700987;-0.14347698;13.74;-42.84;-21.96;0.80205756;8.600272;7.25473;
-0.46838093;1.6485726;-0.4556291;14.219999;-42.12;-20.1;-5.1071315;6.7304;3.217807;
